leuk_attr apop_attr apoptosis bid caspase ceramide disc fas fasl fast gpcr gzmb iap ifngt nfkb pdgfr pi3k s1p sphk1 tpl2 tradd
L2.3 A3.11 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A3.12 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A3.13 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A4.1 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.3 A4.2 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.3 A4.3 1 1 1 1 1 1 0 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.3 A4.4 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.3 A4.5 1 1 1 1 1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.3 A4.6 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.3 A4.7 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
L2.3 A4.8 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A4.9 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A4.10 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A4.11 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A4.12 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A4.13 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A4.14 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 -1 0 0
L2.3 A5.1 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 0
