source,target,int,,,,,,,
AKT1,EP300,phosphorylation,,,,,,,
AKT1,EP300,phosphorylation,,,,,,,
AKT1,EP300,phosphorylation,,,,,,,
HDAC1,EP300,deacetylation,,,,,,,
MAPK1,EP300,phosphorylation,,,,,,,
PRKCA,EP300,phosphorylation,,,,,,,
PRKCA,EP300,phosphorylation,,,,,,,
RAD23A,EP300,inhibition;,binding,,,,,,
SIRT1,EP300,deacetylation,,,,,,,
SIRT1,EP300,deacetylation,,,,,,,
EGFR,ERBB2,phosphorylation,,,,,,,
EGFR,ERBB2,phosphorylation,,,,,,,
MAPK1,ERBB2,phosphorylation,,,,,,,
MAPK14,ERBB2,unknown;,phosphorylation,,,,,,
MAPK14,ERBB2,unknown;,phosphorylation,,,,,,
MAPK14,ERBB2,unknown;,phosphorylation,,,,,,
MAPK6,ERBB2,phosphorylation,,,,,,,
MAPK6,ERBB2,phosphorylation,,,,,,,
ERBB2,ERBB3,phosphorylation,,,,,,,
CDK1,FOS,phosphorylation;,regulation,of,protein,activity,,,
CREB1,FOS,increase,of,promoter,activity,,,,
EP300,FOS,inhibition;,binding;,competition,,,,,
EP300,FOS,inhibition;,binding;,competition,,,,,
EP300,FOS,acetylation,,,,,,,
EP300,FOS,acetylation,,,,,,,
MAPK1,FOS,activation;,phosphorylation,,,,,,
MAPK1,FOS,phosphorylation,,,,,,,
MAPK1,FOS,phosphorylation,,,,,,,
MAPK12,FOS,phosphorylation,,,,,,,
MAPK13,FOS,phosphorylation,,,,,,,
MAPK14,FOS,phosphorylation,,,,,,,
MAPK14,FOS,phosphorylation,,,,,,,
MAPK14,FOS,phosphorylation,,,,,,,
MAPK14,FOS,phosphorylation,,,,,,,
MAPK14,FOS,phosphorylation,,,,,,,
MAPK14,FOS,phosphorylation,,,,,,,
MAPK14,FOS,phosphorylation,,,,,,,
MAPK14,FOS,phosphorylation,,,,,,,
MAPK14,FOS,phosphorylation;,activation,,,,,,
MAPK6,FOS,activation;,phosphorylation,,,,,,
PRPF4,FOS,phosphorylation,,,,,,,
PRPF4,FOS,phosphorylation,,,,,,,
RPS6KA1,FOS,phosphorylation,,,,,,,
RPS6KA1,FOS,phosphorylation,,,,,,,
RPS6KA1,FOS,phosphorylation,,,,,,,
RPS6KA1,FOS,phosphorylation,,,,,,,
RPS6KA2,FOS,phosphorylation,,,,,,,
RPS6KA2,FOS,phosphorylation,,,,,,,
RPS6KA3,FOS,unknown;,phosphorylation,,,,,,
SIRT1,FOS,deacetylation,,,,,,,
ERBB2,FOXM1,increase,of,abundance,,,,,
FOXM1,FOXM1,desumoylation,,,,,,,
FOXM1,FOXM1,desumoylation,,,,,,,
PLK1,FOXM1,phosphorylation,,,,,,,
PLK1,FOXM1,phosphorylation,,,,,,,
PLK1,FOXM1,phosphorylation,,,,,,,
SUMO1,FOXM1,sumoylation,,,,,,,
SUMO1,FOXM1,sumoylation,,,,,,,
UBE2I,FOXM1,sumoylation,,,,,,,
UBE2I,FOXM1,sumoylation,,,,,,,
UBE2I,FOXM1,sumoylation,,,,,,,
YWHAZ,FOXM1,increase,of,abundance,,,,,
AKT1,GSK3B,phosphorylation,,,,,,,
AKT1,GSK3B,phosphorylation,,,,,,,
AKT1,GSK3B,phosphorylation,,,,,,,
DKK1,GSK3B,decrease,of,abundance,,,,,
DVL2,GSK3B,inhibition,,,,,,,
MAP2K1,GSK3B,phosphorylation,,,,,,,
