name	MDAMB231_1	MDAMB231_2	MDAMB231_3	MDAMB231_4
TPX2	11.68788875	12.50099707	11.71174006	12.49368163
TNIK	5.04721362	5.21305524	5.15959474	5.26919769
USP22	11.91274694	11.96290587	11.91086698	11.97559162
SIRT1	9.24806155	9.08758221	9.29826084	9.15962424
TARDBP	11.02218871	11.61610174	11.07957736	11.66443952
BACE1	9.9773937	10.07567667	9.93367302	10.03131088
LATS2	9.43927216	9.34416223	9.46646917	9.33644049
SH3YL1	6.97993139	6.74865522	7.15218381	6.66482374
HIPK2	11.67163406	11.34365776	11.69102782	11.36612389
RHOD	8.21457978	7.81714488	8.18894909	7.89902454
RRM2B	9.56644764	9.48425572	9.58132795	9.47455738
EVL	7.97648286	8.00211513	7.9729007	8.03989987
CXXC5	9.06058798	8.49593559	9.08672367	8.43771471
TRIM33	10.30129323	10.26024313	10.3189487	10.32928844
MOCOS	9.32645004	8.57788754	9.17644178	8.53344322
PAG1	9.15013242	9.23986025	9.30423676	9.18961837
PBK	8.79236766	10.08881214	8.7880002	10.03369095
BIRC6	9.76773104	9.67955329	9.75564932	9.68661224
TAOK1	10.84966297	10.71965937	10.12025634	10.48972825
RFWD2	8.94021202	8.97746135	8.95689957	9.00917447
SETD7	11.42165621	11.47775957	11.40059978	11.55264266
CABLES2	8.39778191	8.63202306	8.49740539	8.62751277
NUF2	8.56345196	9.61524324	8.50136887	9.57536964
MEX3B	4.92738677	5.12127165	4.72995804	4.93022487
COMMD1	7.55360878	7.76989357	7.52980813	7.72034498
AMOTL1	9.97088241	10.14094607	9.93948831	10.13945152
RICTOR	10.35277744	9.81316195	10.42199945	9.84729376
TAOK	9.996517145	9.973209145	9.605326845	9.84987283
PPP3C	9.424680613	9.490397913	9.48101213	9.515294433
