name	MCF10A_1	MCF10A_2	MCF10A_3	MCF10A_4	MDAMB231_1	MDAMB231_2	MDAMB231_3	MDAMB231_4
FBLN1	13.73149935	13.57825665	13.70149731	13.55336632	9.73703171	9.71477583	9.73276639	9.70995695
FDPS	10.54508479	10.98102618	10.55953613	11.02173918	10.53165125	10.54864475	10.47901827	10.49880034
FGF13	4.42426613	4.32138847	4.06505513	4.22522711	3.00987819	3.10568611	2.95043689	3.16202414
FOXM1	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859
FMR1	9.7627142	9.5487207	9.71412127	9.59019302	9.82721574	9.8534095	9.86640037	9.83065795
FN1	18.94257055	19.28480228	18.95136008	19.36209801	16.03336269	15.68769406	16.02121845	15.69558416
FOS	4.61371703	5.22203444	5.06974193	4.80326738	4.62183994	4.57400723	4.61901798	4.37055545
MTOR	9.73956716	10.01667918	9.74211733	10.0004773	10.17887596	10.20576694	10.18065501	10.18690083
FYN	7.36856801	7.48497524	7.49826849	7.3182685	9.02970921	8.67696827	8.9919091	8.59806028
KAT2A	8.76371684	8.70064757	8.77917941	8.71792285	9.44558308	9.60000287	9.45639646	9.6453253
GSK3B	10.7007353	10.62804171	10.72389264	10.6917195	10.33503625	9.95142719	10.33347286	9.9496478
GSN	12.33368285	12.26151325	12.28434692	12.21424946	10.47790477	9.76455618	10.42654219	9.70141242
HDAC1	10.27621179	10.24065107	10.29062739	10.1848361	10.34472478	10.51494774	10.2936916	10.4585582
HIF1A	13.03836478	13.52448462	13.00735538	13.52468219	13.64878661	13.40243802	13.72784409	13.42780909
HMGB2	9.91809532	9.98461532	9.87919582	9.94756437	10.22086237	10.98643031	10.23233193	10.96574341
HMGCR	9.45492448	10.5906976	9.47739431	10.55739272	9.68844872	9.85752455	9.75403195	9.5473764
DNAJB2	9.148064	9.13371152	9.16116261	9.04502516	8.39513716	8.05278941	8.45120016	8.08149924
ICAM1	7.65122162	7.56868455	7.71353966	7.61077074	11.03722969	9.58870341	11.01765483	9.6237532
IGF1R	10.41535437	10.52494185	10.42745115	10.52125992	9.58627753	9.1545794	9.51960296	9.18219764
IKBKB	9.23675073	8.96562293	9.28267431	8.87894548	8.82618037	8.60941396	8.74154135	8.53120658
IL4R	8.78784073	8.84978143	8.81743038	8.83653609	9.35751193	9.31431635	9.34653027	8.96390291
IL7R	6.26593056	6.62569889	6.31537119	6.61183925	9.0314193	9.06891326	8.97700825	9.07639596
ITGB8	9.93083969	9.44183074	9.97328703	9.45748585	6.34814248	6.10791965	6.29809289	6.11185924
JUN	9.51122478	10.95592017	9.4903158	10.96094915	9.81710333	10.21395766	9.80478766	10.16384211
LIMK2	9.46967349	9.46862521	9.40335883	9.41680516	7.76645969	8.06550382	7.62149722	8.13127136
LRP1	12.25790566	12.36783409	12.24300592	12.30465683	10.67985237	9.39141131	10.67754902	9.40065456
LTBP3	11.50556272	11.36906287	11.4458302	11.31246322	9.78036592	9.36910579	9.76141542	9.284823
SMAD4	10.37030773	10.31619833	10.33377619	10.31809621	9.96282582	9.74476197	9.94157407	9.8086556
MAPT	5.72226194	5.70391848	5.64773883	5.55890489	4.66456332	4.52147547	4.64260227	4.49505556
MDM2	9.53494636	9.95775253	9.70791346	10.43389375	9.13152445	9.24026179	9.76076287	9.92127282
MAP3K1	8.12289827	8.05549424	8.09850452	8.02675085	8.84428136	8.65323259	8.96911616	8.65034542
MAP3K4	9.18761036	9.38340584	9.19082241	9.34690869	8.79551142	9.06722282	8.88518021	9.10875854
MVD	8.03917649	9.30026287	8.00944628	9.25267862	8.019997	7.7317093	8.03687171	7.71003128
MVK	7.16395746	8.22749941	7.16158847	8.24418924	7.94026283	7.90984504	7.86944861	7.85896232
NFKBIA	10.09398643	9.73743005	10.11294115	9.70220348	10.52698189	10.2534076	10.54377633	10.18045918
NOTCH1	8.94292348	8.77340914	8.87655284	8.73224505	9.75907457	9.07752982	9.68426167	9.13548044
PAK1	8.38469107	8.5482541	8.54760241	8.52562094	8.27265258	8.57833707	8.27846002	8.53643499
PAK2	11.36108194	11.48349378	11.36638538	11.48051887	11.59588488	11.80883693	11.59984957	11.79903635
PDPK1	9.53234028	9.65072711	9.5585587	9.60755285	9.47110656	9.37713586	9.46938969	9.3851438
SERPINA1	8.81858913	9.01504886	8.81620553	9.00236769	10.99438374	9.99570573	10.95844878	9.95283441
PKM	14.78716336	15.39330997	14.77473115	15.36667435	14.64335283	14.77712492	14.64193722	14.75892646
PLK1	9.07657298	8.93608346	9.06242006	8.95192879	9.95703175	10.84936189	9.83426435	10.81291355
PPM1A	9.95990855	9.93772884	10.14065688	10.11211496	9.90769628	9.69638278	10.18673142	9.72791626
PPP2CA	11.27745341	11.51111008	11.32743081	11.57795736	11.34045496	11.64246657	11.33779714	11.7134389
PPP3CA	10.9614743	10.95441694	11.03254965	10.54167607	10.75326057	10.83316767	10.79174058	10.84470811
PPP4C	9.35233107	9.59541233	9.35386375	9.54272642	9.69112386	9.78424566	9.74933519	9.76768289
PPP3CB	10.0278208	10.22529635	10.16398656	10.20934125	10.1434241	10.05588755	10.14292306	10.19553142
PPP3CC	7.6804738	7.82814737	7.61690819	7.86833754	7.37735717	7.58213852	7.50837275	7.50564377
PRKACA	10.78332729	11.06922727	10.81910769	10.99734451	10.6516871	10.7209326	10.62004651	10.6883914
PKIA	7.31953648	7.56582233	7.4069213	7.60641083	5.65494007	5.89125805	5.34298079	5.82278875
PRKCA	11.35004456	11.659721	11.33083334	11.6093591	11.17744335	11.19331986	11.13379557	11.20085473
PRKCD	8.67437155	8.76871577	8.69122774	8.76712971	9.22548468	9.07409295	9.16143718	9.07838936
PKN1	10.82171797	10.98295128	10.81915105	10.90958814	11.81353649	11.22925523	11.7795584	11.22327694
MAPK1	11.04388966	11.19875118	11.12124377	11.22272887	10.93552864	11.01103932	10.94906267	11.07718612
MAPK3	9.19183927	9.14190096	9.22009955	9.12044795	9.02287524	8.80751917	8.95134146	8.85374311
MAPK6	10.48095161	10.7359147	10.48537254	10.76720252	10.468852	10.49150714	10.52795693	10.52223839
MAPK8	8.71634634	8.55622329	8.97760584	8.72826151	8.83517727	8.91899786	8.64383427	9.177832
MAPK11	4.57846852	4.94588676	4.74901894	5.12312337	4.26638813	4.3215962	4.39546355	4.57768194
MAPK9	9.96533176	10.17793985	10.00779312	10.15383302	9.7959196	9.9697139	9.79101229	10.01275665
MAPK13	6.69690904	6.4791029	6.52593467	6.43603187	9.89275611	9.10362803	9.90663837	9.08906608
MAP2K1	9.72738152	10.16536521	9.65439592	10.13450589	10.01552314	10.32301701	10.04158301	10.23845824
MAP2K3	8.31260148	8.2379101	8.2560641	8.04907785	9.22949868	9.45160819	9.25256576	9.37941379
MAP2K6	4.69484459	4.56320612	5.03422882	4.35759111	3.82922972	3.78459663	3.96723664	3.64993524
MAP2K7	9.13517556	8.9816762	9.21396519	8.86305288	9.29999049	9.19312932	9.32233906	8.89483733
EIF2AK2	9.72432209	9.65884866	9.73193408	9.73084206	9.87635387	9.94275975	9.91229722	9.95542313
PTK6	4.95496725	4.88060089	5.05483262	4.40734229	6.44254366	5.76683787	6.48396055	5.91741108
PTPN1	10.83319601	11.13810188	10.862154	11.11454976	11.22140523	11.64407416	11.20468363	11.6057875
PTPN11	11.42310663	11.5650386	11.35380146	11.22744177	11.60012639	12.1395744	12.02978968	12.1796584
PTPRA	11.34512329	11.33298277	11.32813018	11.30919775	10.91843635	10.73143336	10.89294707	10.77021842
RAC1	12.26842726	12.47338628	12.28740856	12.48960681	12.56158651	12.4974218	12.56530226	12.53454517
RAD23A	10.74780347	10.95429751	10.68430373	10.90689018	11.23983556	11.36702487	11.1820247	11.30558892
RAF1	10.34421931	10.30397295	10.40395143	10.33236897	10.40674276	10.53627766	10.4184752	10.56229604
RARA	9.37733022	9.72979274	9.52439086	9.71604728	9.35723056	9.07104243	9.0286269	8.94320833
RASGRF1	4.8430555	4.72637475	4.90116704	4.61617047	7.12270635	6.51918939	7.14474432	6.42009375
RB1	10.63176759	10.76135859	10.62856068	10.83926609	10.3151539	10.57921904	10.24442557	10.59460606
RELA	10.47203188	10.68921492	10.52993798	10.65811428	10.73675295	10.53768567	10.65865677	10.67072988
ROCK1	11.01881824	11.03435708	11.06935893	11.06651919	10.63405411	10.73857501	10.64207224	10.73016452
RPS6KA1	8.09060191	8.07687665	8.05948348	8.11790992	8.47998992	8.89423562	8.50250297	8.8148604
RPS6KA2	12.42706714	11.82256847	12.40316804	11.37509759	11.47256627	10.20058092	11.4906736	10.55194374
RPS6KA3	10.08233314	10.12559153	10.09501197	10.17808164	10.57042112	10.57022028	10.58973999	10.59254735
RPS6KB1	9.79299284	9.57331586	9.77243397	9.59265082	9.70243193	9.74964236	9.7478607	9.77384874
S100A2	11.51395308	11.4334506	11.50010964	11.39102888	9.38994054	9.56179399	9.40208909	9.55370322
MAPK12	6.81708101	7.02988549	7.0072411	7.02950254	7.09800697	7.10019623	7.07532941	7.24357171
SELPLG	4.88691478	5.14961849	5.02731067	4.96594426	7.68369483	6.48248357	7.54967119	6.34371131
MAP2K4	9.4875393	9.33299079	9.52568955	9.55409636	9.601479	9.62524534	9.80216632	9.61966527
SHC1	13.43076384	13.44123841	13.39208375	13.43826975	12.55026297	12.1101596	12.555828	12.11190504
SKIL	10.80202847	10.87285809	10.80556156	10.89499846	9.2880175	9.00465439	9.41503211	8.7784494
SKP2	8.3996288	8.44801838	8.42139484	8.40802762	8.11575496	9.47960002	8.24740638	9.4728625
SNAI1	3.62565224	4.96624096	3.55789237	4.95589027	4.57236446	4.37059965	4.51695118	4.54677495
SNRPA	9.75202706	9.78450351	9.71683578	9.74622355	10.12556361	10.41144302	10.11868186	10.41470817
SREBF2	11.01247766	11.37912686	10.98116416	11.35441178	11.31700445	10.47658705	11.27224538	10.36692905
SRPK1	10.74743399	10.84500911	10.74365711	10.88548367	11.87608559	12.22525628	11.921514	12.26711277
STAT3	10.56428801	10.96178244	10.96925717	11.0879189	11.16121217	10.91066701	11.16668464	10.91759214
AURKA	9.06755978	9.10139478	9.11889841	9.039134	10.07625999	11.02582441	10.15813787	11.02671988
STK10	10.11147061	10.57031181	10.12733584	10.5407893	11.14189424	10.9186483	11.12832492	10.85964398
STK11	9.38060554	9.12925972	9.31348899	9.07929348	9.5390478	9.44084595	9.48248334	9.35769019
TACC1	11.10942117	11.18473075	11.14463574	11.13711919	10.56340241	10.8187512	10.50536345	10.82101978
TAF12	8.33390392	8.30951998	8.41479426	8.29300813	7.15977846	6.59399321	7.16454653	6.61137625
MAP3K7	10.22143267	10.2832806	10.24771641	10.28349323	9.6079233	9.7192143	9.64445311	9.74824177
TBL1X	8.56691748	8.66728924	8.61035988	8.76342005	10.01154219	9.69345637	10.00111721	9.71179022
ELOC	8.98425056	9.21462093	9.04268828	9.28297236	9.13252661	9.45703732	9.14889799	9.4929855
TCF3	10.64874633	10.77559343	10.5523821	10.64619397	10.19490836	10.60056882	10.24625873	10.54881364
TGFA	6.88908722	7.02221148	6.72261055	7.04452954	9.32585269	9.4901994	9.39043472	9.47736127
TGFB1	11.45491031	11.42473528	11.45494041	11.37707817	10.95415746	10.22711734	10.90689243	10.14568543
TOP2A	11.5407135	11.49095104	11.55324402	11.49959731	12.20034291	13.02230899	12.2156097	13.04255429
TP53	9.97207858	9.96825343	9.95442374	9.92550264	10.68878512	10.16467823	10.69670021	10.17786866
TPR	12.15219639	12.15939536	12.19896465	12.14611605	11.68570337	11.89113192	11.69653166	11.89382698
UBE2D3	12.37012859	12.36215532	12.42540997	12.41107362	12.3020909	12.36902199	12.34907593	12.41201513
UBE2I	10.89490648	11.03916505	10.9187955	11.0398641	11.06162004	11.21545846	11.08250782	11.23783185
SUMO1	10.51515033	10.54168538	10.59469025	10.63746663	10.53404005	10.56845728	10.59684079	10.65761015
VDR	8.73621682	9.03996949	8.63267301	9.04224851	8.62906473	8.74306202	8.59779342	8.72455881
VIM	15.54729566	15.53858246	15.53737064	15.50618782	14.91051981	14.9283795	14.89815008	14.93748026
WNT5A	10.57211025	10.20408964	10.54795489	10.1873721	7.27943098	7.05354835	7.32592828	6.98595373
YWHAZ	13.57557959	14.05094011	13.64742357	14.11462603	13.71356787	14.00468125	13.78280567	14.07331698
ZBTB17	8.02114045	7.86987418	7.89722453	7.81287589	7.70546597	7.76036154	7.78558574	7.68416989
MAPKAPK3	9.47654712	9.58323767	9.44801884	9.57879854	10.16135851	10.44640892	10.15149271	10.35920422
HMGA2	11.59934121	11.70685274	11.61503329	11.71709181	10.15414979	10.44031877	10.12957795	10.42903337
CUL2	9.72807092	9.88708035	9.77446669	9.94409698	10.00468357	10.37414165	10.08318839	10.25628083
OGT	10.99144737	10.60052344	11.01716669	10.51502322	11.0400896	10.63863733	11.04957979	10.64859566
PPM1D	8.33007391	8.37532321	8.43199979	8.42097402	7.9815259	8.03178156	7.85666132	8.037379
IKBKG	7.89544899	8.07641749	7.98209726	8.00738935	8.50671909	8.3412343	8.43368077	8.2899985
PIAS1	10.08320282	9.90076822	10.11744676	9.74628329	9.48901681	9.5292538	9.50232263	9.38705458
ADAM9	13.19285552	13.14697038	13.18212719	13.14791096	12.61122305	12.57029723	12.59126617	12.5620578
IQGAP1	13.23596873	13.52156015	13.24250923	13.50733986	13.12996793	12.97948348	13.12872321	12.98765982
HDAC3	10.07136987	10.02308142	10.00478498	10.01184598	9.84842798	10.02732455	9.80683273	9.99109486
KAT2B	9.19651094	8.63394133	9.21077291	8.57903217	8.4250292	8.74178568	8.4714171	8.72809997
TAF1B	8.19924971	8.24748072	8.23208645	8.25191474	8.78935208	9.06723578	8.8529473	9.09869806
PRPF4	9.25896159	9.54086647	9.24993601	9.57522227	9.89569949	10.55073206	9.89241052	10.56359256
RPS6KA5	5.53974127	5.26930965	5.61666148	5.17583249	6.39561298	6.38122616	6.66840521	6.63123771
MAPKAPK2	11.0966287	11.33148878	11.09156519	11.30652199	11.01113273	10.89588309	10.9425122	10.87189513
SNAP29	9.77849096	9.80205653	9.7945886	9.79436928	9.45329029	9.4612066	9.46507202	9.38818545
TAOK2	9.45201749	9.52040893	9.41097523	9.51915957	9.14337132	9.22675892	9.09039735	9.21001741
CKAP5	11.59043415	11.60229482	11.61102713	11.55107943	11.98959295	12.4180547	11.97429651	12.42422611
HUWE1	11.60316694	11.61320438	11.63542415	11.61159949	12.20578702	11.93633774	12.20364458	11.94959744
TRIM28	11.62046295	11.54183438	11.57646353	11.52788148	11.58364197	11.99235009	11.52211843	11.96425845
TNK2	9.1168786	9.04985175	9.05513183	9.03841231	8.51793913	8.54859576	8.59566871	8.48196314
STX6	10.05836161	10.09264699	10.11465599	10.0783327	9.73951034	9.63436671	9.83488934	9.61040654
PIAS3	10.99523946	10.95969201	11.0008895	10.91598163	10.24354568	10.10997313	10.23908586	10.15555486
NDC80	7.80829626	7.90750378	7.83775803	7.87397925	8.62731661	9.50133149	8.52874152	9.47593791
YAP1	11.9711555	11.93351873	11.96252877	11.95658566	11.98133922	11.98782551	11.99623729	12.01955676
PRMT5	10.13985826	10.43718693	10.14854429	10.46466073	11.10898263	11.4133153	11.10619933	11.39409242
TAB1	8.85970536	8.62370483	8.78856072	8.56270816	8.35603095	8.2286231	8.24842248	8.21770727
MAD2L2	7.85604047	7.93743906	7.91005086	7.95295949	8.50951978	8.67585363	8.46922819	8.77190986
PMVK	7.81885103	8.14555835	7.78848557	8.13657027	7.86935154	7.74863493	7.95057324	7.89242724
MAP3K2	10.45082429	10.50087259	10.49882503	10.56113002	10.21697763	9.87982852	10.16691183	9.99555373
COPS5	9.08276793	9.09734344	9.17544083	9.10767314	8.94327152	9.26222639	9.00733478	9.25176257
TRIOBP	11.01198276	10.95309652	10.93466594	10.88436022	10.06868671	9.6814374	9.93770481	9.67818635
CDC37	10.93103214	11.19182247	10.88847992	11.13534179	11.41560169	11.74081143	11.37910807	11.70449286
CHEK2	5.64385735	6.02294499	6.01744594	5.71999597	6.30397029	6.52340142	6.46349368	6.77854243
DKK1	12.68902219	12.9160377	12.69395964	12.90349912	11.9934999	12.2428136	11.99032888	12.26843577
TPX2	10.89827039	11.02495845	10.92312064	11.01511735	11.68788875	12.50099707	11.71174006	12.49368163
TNIK	3.92551018	3.83672029	3.7659018	3.6256717	5.04721362	5.21305524	5.15959474	5.26919769
USP22	12.16238547	12.04931219	12.15549583	12.02210068	11.91274694	11.96290587	11.91086698	11.97559162
SIRT1	9.29614651	9.10003356	9.2423019	9.05779351	9.24806155	9.08758221	9.29826084	9.15962424
TARDBP	11.09749294	11.23854623	11.11431223	11.27276263	11.02218871	11.61610174	11.07957736	11.66443952
BACE1	10.53492813	10.59235852	10.57641093	10.59663868	9.9773937	10.07567667	9.93367302	10.03131088
LATS2	9.6820066	9.66324589	9.68157346	9.73285721	9.43927216	9.34416223	9.46646917	9.33644049
SH3YL1	8.26306625	8.21966307	8.32025846	8.32092549	6.97993139	6.74865522	7.15218381	6.66482374
HIPK2	12.97641773	12.13871312	13.0002915	12.11303459	11.67163406	11.34365776	11.69102782	11.36612389
RHOD	9.0491968	9.05006155	9.08606095	9.00977595	8.21457978	7.81714488	8.18894909	7.89902454
RRM2B	11.12655433	11.23575196	11.36542262	11.25673222	9.56644764	9.48425572	9.58132795	9.47455738
EVL	8.67781961	8.65163551	8.62644512	8.60034964	7.97648286	8.00211513	7.9729007	8.03989987
CXXC5	9.97760381	10.00487624	9.99474079	9.94322182	9.06058798	8.49593559	9.08672367	8.43771471
TRIM33	10.07658008	10.07895423	10.06980257	10.0988976	10.30129323	10.26024313	10.3189487	10.32928844
MOCOS	8.29443636	8.26047913	8.18833719	8.25063102	9.32645004	8.57788754	9.17644178	8.53344322
PAG1	7.95850235	8.01291839	8.04928475	8.01718186	9.15013242	9.23986025	9.30423676	9.18961837
PBK	8.29005291	8.47880195	8.34655431	8.56442365	8.79236766	10.08881214	8.7880002	10.03369095
BIRC6	10.11292053	10.17485977	10.1279925	10.1602752	9.76773104	9.67955329	9.75564932	9.68661224
TAOK1	10.99839353	10.4218967	10.23011402	11.09547239	10.84966297	10.71965937	10.12025634	10.48972825
RFWD2	9.38406246	9.32379703	9.36192345	9.35866986	8.94021202	8.97746135	8.95689957	9.00917447
SETD7	11.57907736	11.52402422	11.61448669	11.55577319	11.42165621	11.47775957	11.40059978	11.55264266
CABLES2	7.86871338	7.95187157	7.85602931	7.89099162	8.39778191	8.63202306	8.49740539	8.62751277
NUF2	8.25632684	8.17184178	8.16875634	8.17315401	8.56345196	9.61524324	8.50136887	9.57536964
MEX3B	6.65614104	6.88127088	6.77308606	6.98038225	4.92738677	5.12127165	4.72995804	4.93022487
COMMD1	7.61115582	7.65311493	7.55754602	7.74223326	7.55360878	7.76989357	7.52980813	7.72034498
AMOTL1	10.29690676	10.33559167	10.26634056	10.47211682	9.97088241	10.14094607	9.93948831	10.13945152
RICTOR	9.9823742	9.51543287	9.77201843	9.60725473	10.35277744	9.81316195	10.42199945	9.84729376
TAOK	10.22520551	9.971152815	9.820544625	10.30731598	9.996517145	9.973209145	9.605326845	9.84987283
PPP3C	9.556589633	9.669286887	9.604481467	9.539784953	9.424680613	9.490397913	9.48101213	9.515294433
