ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
V$HSF5_02	0.10416666666666667	0.018050541516245487	5.770833333333334	0.7926	0.017099017917665934
V$MINI20_B	0.10416666666666667	0.018050541516245487	5.770833333333334	0.942	0.017099017917665934
V$OLIG3_04	0.10416666666666667	0.018050541516245487	5.770833333333334	0.9444	0.017099017917665934
V$OLIG3_07	0.10416666666666667	0.018050541516245487	5.770833333333334	0.9383	0.017099017917665934
V$POU2F1SOX15_01	0.10416666666666667	0.018050541516245487	5.770833333333334	0.9099	0.017099017917665934
V$PRDM6_01	0.10416666666666667	0.018050541516245487	5.770833333333334	0.9868	0.017099017917665934
V$THRB_07	0.10416666666666667	0.018050541516245487	5.770833333333334	0.8728	0.017099017917665934
V$ZFP382_01	0.10416666666666667	0.018050541516245487	5.770833333333334	0.7348	0.017099017917665934
V$ZNF441_03	0.10416666666666667	0.018050541516245487	5.770833333333334	0.7422	0.017099017917665934
V$ZNF692_01	0.10416666666666667	0.018050541516245487	5.770833333333334	0.8883	0.017099017917665934
V$HINFP_01	0.16666666666666666	0.030084235860409144	5.54	0.9775	0.0027169562465405974
V$OLIG2_01	0.16666666666666666	0.030084235860409144	5.54	0.9248	0.0027169562465405974
V$OLIG3_01	0.16666666666666666	0.030084235860409144	5.54	0.9364	0.0027169562465405974
V$PAX3_01	0.16666666666666666	0.030084235860409144	5.54	0.8555	0.0027169562465405974
V$PAX5_15	0.16666666666666666	0.030084235860409144	5.54	0.8477	0.0027169562465405974
V$TFAP2C_02	0.16666666666666666	0.030084235860409144	5.54	0.9839	0.0027169562465405974
V$ZNF342_03	0.16666666666666666	0.030084235860409144	5.54	0.97	0.0027169562465405974
V$NFE2_04	0.22916666666666666	0.0421179302045728	5.441071428571429	0.9265	4.601222287246681E-4
V$THRB_10	0.3541666666666667	0.06618531889290011	5.351136363636365	0.8415	1.4414646626946865E-5
V$AP1_01	0.1875	0.036101083032490974	5.19375	0.9618	0.0018649290130104794
V$AP4_Q6	0.0625	0.012033694344163659	5.19375	1.0	0.07809474575645793
V$CFOS_Q4	0.125	0.024067388688327317	5.19375	0.9995	0.011412477216624934
V$CREB3L1_01	0.125	0.024067388688327317	5.19375	0.848	0.011412477216624934
V$DBP_Q6_01	0.125	0.024067388688327317	5.19375	0.9964	0.011412477216624934
V$EGR2_03	0.0625	0.012033694344163659	5.19375	1.0	0.07809474575645793
V$EGR2_04	0.0625	0.012033694344163659	5.19375	1.0	0.07809474575645793
V$FOXO4_07	0.0625	0.012033694344163659	5.19375	0.9757	0.07809474575645793
V$GATA5_12	0.0625	0.012033694344163659	5.19375	0.8746	0.07809474575645793
V$GRHL2_01	0.0625	0.012033694344163659	5.19375	0.9144	0.07809474575645793
V$HEN2_04	0.0625	0.012033694344163659	5.19375	0.9025	0.07809474575645793
V$HOXB9_01	0.0625	0.012033694344163659	5.19375	0.9571	0.07809474575645793
V$MAFF_08	0.125	0.024067388688327317	5.19375	0.8267	0.011412477216624934
V$NFATC1_07	0.125	0.024067388688327317	5.19375	0.8362	0.011412477216624934
V$NFATC4_03	0.0625	0.012033694344163659	5.19375	0.9918	0.07809474575645793
V$ONECUT2_05	0.125	0.024067388688327317	5.19375	0.8305	0.011412477216624934
V$P300_01	0.125	0.024067388688327317	5.19375	0.9907	0.011412477216624934
V$POU6F1_07	0.125	0.024067388688327317	5.19375	0.9907	0.011412477216624934
V$POU6F1_14	0.0625	0.012033694344163659	5.19375	0.933	0.07809474575645793
V$PPARGRXRA_02	0.0625	0.012033694344163659	5.19375	0.9356	0.07809474575645793
V$R_01	0.0625	0.012033694344163659	5.19375	0.9328	0.07809474575645793
V$SIX6_01	0.0625	0.012033694344163659	5.19375	0.9188	0.07809474575645793
V$SMC3_01	0.125	0.024067388688327317	5.19375	0.9173	0.011412477216624934
V$ZFP3_03	0.25	0.048134777376654635	5.19375	0.8911	3.201844594175065E-4
V$ZFP62_01	0.125	0.024067388688327317	5.19375	0.9332	0.011412477216624934
V$ZIM3_02	0.0625	0.012033694344163659	5.19375	0.8856	0.07809474575645793
V$ZNF266_02	0.0625	0.012033694344163659	5.19375	0.9071	0.07809474575645793
V$ZNF441_04	0.0625	0.012033694344163659	5.19375	0.9018	0.07809474575645793
V$ZNF502_03	0.0625	0.012033694344163659	5.19375	0.8893	0.07809474575645793
V$ZNF615_02	0.0625	0.012033694344163659	5.19375	0.766	0.07809474575645793
V$ZNF772_01	0.0625	0.012033694344163659	5.19375	0.8717	0.07809474575645793
V$ZNF808_02	0.125	0.024067388688327317	5.19375	0.9037	0.011412477216624934
V$BHLHE23_04	0.14583333333333334	0.030084235860409144	4.8475	0.9448	0.0076209161573313
V$HELIOS_02	0.14583333333333334	0.030084235860409144	4.8475	0.8972	0.0076209161573313
V$LEF1_Q3	0.14583333333333334	0.030084235860409144	4.8475	0.9904	0.0076209161573313
