"SUID","consensus_direction","consensus_inhibition","consensus_stimulation","interaction","is_directed","is_inhibition","is_stimulation","name","references","selected","shared interaction","shared name","source","sources","target"
"26632","1","0","1","interacts with","1","0","1","EPAS1 (interacts with) SERPINE1","15039136;15039136;15039136;15039136;15039136","false","interacts with","EPAS1 (interacts with) SERPINE1","Q99814","ARACNe-GTEx;HTRIdb;ReMap;tred_via_RegNetwork;trrust","P05121"
"26633","1","0","1","interacts with","1","0","1","HNF4A (interacts with) F2","12911579;12911579","false","interacts with","HNF4A (interacts with) F2","P41235","PAZAR;tfact","P00734"
"26634","1","1","0","interacts with","1","1","0","HNF1A (interacts with) PROC","11140943;15933209;11140943;15933209","false","interacts with","HNF1A (interacts with) PROC","P20823","oreganno;tfact","P04070"
"26635","1","0","1","interacts with","1","0","1","SP1 (interacts with) PROC","15933209;15933209","false","interacts with","SP1 (interacts with) PROC","P08047","oreganno;trrd_via_tfact","P04070"
"26636","1","0","1","interacts with","1","0","1","NFYA (interacts with) FDPS","7665553;7665553","false","interacts with","NFYA (interacts with) FDPS","P23511","hocomoco_v11;tfact","P14324"
"26637","1","0","1","interacts with","1","0","1","NFYA (interacts with) ACTB","1762920;1762920;1762920","false","interacts with","NFYA (interacts with) ACTB","P23511","ReMap;jaspar_v2018;oreganno","P60709"
"26640","1","0","1","interacts with","1","0","1","ELK1 (interacts with) PSEN1","19687146;12750007;12750007","false","interacts with","ELK1 (interacts with) PSEN1","P19419","reviews;tred_via_RegNetwork;trrust","P49768"
"26641","1","0","1","interacts with","1","0","1","CREB1 (interacts with) PSEN1","11116137;11116137","false","interacts with","CREB1 (interacts with) PSEN1","P16220","tred_via_RegNetwork;trrust","P49768"
"26643","1","0","1","interacts with","1","0","1","TP53 (interacts with) IFI16","18974396;18974396;18974396","false","interacts with","TP53 (interacts with) IFI16","P04637","HTRIdb;tred_via_RegNetwork;trrust","Q16666"
"26644","1","1","0","interacts with","1","1","0","USF1 (interacts with) CYP1A1","9388470;9388470","false","interacts with","USF1 (interacts with) CYP1A1","P22415","tred_via_RegNetwork;trrust","P04798"
"26645","1","0","1","interacts with","1","0","1","AHR (interacts with) CYP1A1","10359656;17785579;9698073;12213390;16972788;9865727;10359656;17785579;9698073;12213390;16972788;9865727;10359656;17785579;9698073;12213390;16972788;9865727","false","interacts with","AHR (interacts with) CYP1A1","P35869","HTRIdb;hocomoco_v11;trrust","P04798"
"26646","1","0","1","interacts with","1","0","1","PPARA (interacts with) CYP1A1","15521013;15521013;15521013","false","interacts with","PPARA (interacts with) CYP1A1","Q07869","HTRIdb;tred_via_RegNetwork;trrust","P04798"
"26647","1","0","1","interacts with","1","0","1","ELK1 (interacts with) FOSL1","19687146;15806162;19687146;15806162;19687146;15806162","false","interacts with","ELK1 (interacts with) FOSL1","P19419","fantom4;reviews;trrust","P15407"
"26649","1","0","1","interacts with","1","0","1","PPARG (interacts with) CD36","11795270;11795270;11795270;11795270;11795270","false","interacts with","PPARG (interacts with) CD36","P37231","ARACNe-GTEx;ReMap;kegg;tred_via_RegNetwork;trrust","P16671"
"26651","1","0","1","interacts with","1","0","1","CTCF (interacts with) RPP30","22951020;22951020;22951020","false","interacts with","CTCF (interacts with) RPP30","P49711","ARACNe-GTEx;PAZAR;oreganno","P78346"
"26653","1","0","1","interacts with","1","0","1","SOX4 (interacts with) NCAM1","20049565;20049565","false","interacts with","SOX4 (interacts with) NCAM1","Q06945","jaspar_v2018;trrust","P13591"
"26654","1","0","1","interacts with","1","0","1","PAX8 (interacts with) NCAM1","8071351;8071351;8071351","false","interacts with","PAX8 (interacts with) NCAM1","Q06710","ReMap;tred_via_RegNetwork;trrust","P13591"
"26655","1","0","1","interacts with","1","0","1","RELA (interacts with) NCAM1","19091137;19091137","false","interacts with","RELA (interacts with) NCAM1","Q04206","jaspar_v2018;trrust","P13591"
"26656","1","0","1","interacts with","1","0","1","TP53 (interacts with) BBC3","11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391;11756653;17280505;18431400;17719542;11463391","false","interacts with","TP53 (interacts with) BBC3","P04637","HTRIdb;IntAct;PAZAR;ReMap;hocomoco_v11;jaspar_v2018;kegg;reviews;tfact;tred_via_RegNetwork;trrust","Q96PG8"
"26657","1","1","0","interacts with","1","1","0","TCF3 (interacts with) BBC3","23684607;23684607;23684607","false","interacts with","TCF3 (interacts with) BBC3","P15923","ARACNe-GTEx;ReMap;trrust","Q96PG8"
"26658","1","0","1","interacts with","1","0","1","TP73 (interacts with) BBC3","17700533;17700533;17700533;17700533","false","interacts with","TP73 (interacts with) BBC3","O15350","hocomoco_v11;jaspar_v2018;kegg;trrust","Q96PG8"
"26660","1","0","1","interacts with","1","0","1","MYC (interacts with) NPM1","11085504;14519204;11983916;12145275;16857742;11085504;14519204;11983916;12145275;16857742;11085504;14519204;11983916;12145275;16857742;11085504;14519204;11983916;12145275;16857742","false","interacts with","MYC (interacts with) NPM1","P01106","fantom4;reviews;tfact;tred_via_RegNetwork","P06748"
"26662","1","0","1","interacts with","1","0","1","MYC (interacts with) RPL19","11085504;12695333;11085504;12695333;11085504;12695333","false","interacts with","MYC (interacts with) RPL19","P01106","HTRIdb;tfact;tred_via_RegNetwork","P84098"
"26663","1","0","1","interacts with","1","0","1","NFE2L2 (interacts with) GCLC","22459801;15629866;22459801;15629866;22459801;15629866;22459801;15629866","false","interacts with","NFE2L2 (interacts with) GCLC","Q16236","PAZAR;ReMap;tfact;trrust","P48506"
"26665","1","0","1","interacts with","1","0","1","NFE2L2 (interacts with) MTHFR","16551619;16551619","false","interacts with","NFE2L2 (interacts with) MTHFR","Q16236","ReMap;trrust","P42898"
"26666","1","0","1","interacts with","1","0","1","NFE2L2 (interacts with) NQO1","11013233;11013233;11013233;11013233","false","interacts with","NFE2L2 (interacts with) NQO1","Q16236","hocomoco_v11;jaspar_v2018;kegg;trrust","P15559"
