ID	Ensembl ID	Average Intensity	UniProt ID	Gene symbol ID
MO000131905	ENSG00000172270	1891.3649875705958	P35613-2	
MO000131908	ENSG00000172270	1891.3649875705958	P35613-2	
MO000131945	ENSG00000167468	46.62115021986645	P36969-2	
MO000131946	ENSG00000167468	46.62115021986645	P36969-2	
MO000131960	ENSG00000001630	24.683001989966016	Q16850	
MO000131961	ENSG00000001630	24.683001989966016	Q16850	
MO000131975	ENSG00000119844	0.5219858347964255	Q6ULP2-5	
MO000131983	ENSG00000189143	219.23785748468754	O14493	
MO000131984	ENSG00000189143	219.23785748468754	O14493	
MO000132019	ENSG00000160360	0.29856225748293	Q86YR5-4	
MO000132021	ENSG00000160360	0.29856225748293	Q86YR5-4	
MO000132343	ENSG00000106853	219.13824099656364	Q14914	
MO000132370	ENSG00000140043	27.118549492997644	Q8N8N7	
MO000132418	ENSG00000104408	953.9361672582877	P60228	
MO000132419	ENSG00000104408	953.9361672582877	P60228	
MO000132446	ENSG00000124795	1111.1516398195636	P35659	
MO000132449	ENSG00000124795	1111.1516398195636	P35659	
MO000132459	ENSG00000149485	4.71794435145941	O60427	
MO000132461	ENSG00000149485	4.71794435145941	O60427	
MO000132470	ENSG00000134910	135.3049436572009	P46977	
MO000132471	ENSG00000134910	135.3049436572009	P46977	
MO000132483	ENSG00000147955	35.8969931140566	Q99720	
MO000132485	ENSG00000147955	35.8969931140566	Q99720	
MO000132501	ENSG00000168497	140.05264174449655	O95810	
MO000132502	ENSG00000168497	140.05264174449655	O95810	
MO000132505	ENSG00000204568	141.98401830472588	Q9Y676	
MO000132508	ENSG00000204619	191.3349424801836	O60927	
MO000132514	ENSG00000070814	118.40933865604553	Q13428-3,Q13428-4	
MO000132516	ENSG00000168522	21.548861678775435	P49354	
MO000132517	ENSG00000168522	21.548861678775435	P49354	
MO000132522	ENSG00000070814	118.40933865604553	Q13428-3,Q13428-4	
MO000132525	ENSG00000213934	823.7384906001507	P69891	
MO000132528	ENSG00000103966	387.0197682973819	Q9H223	
MO000132530	ENSG00000140332	18.604482301300976	Q04726,Q04726-3	
MO000132531	ENSG00000103966	387.0197682973819	Q9H223	
MO000132539	ENSG00000113407	1880.3898589606906	P26639	
MO000132540	ENSG00000113407	1880.3898589606906	P26639	
MO000132541	ENSG00000140332	18.604482301300976	Q04726,Q04726-3	
MO000132543	ENSG00000100591	588.5738019498958	O95433	
MO000132545	ENSG00000100591	588.5738019498958	O95433	
MO000132554	ENSG00000114850	276.93098797828594	Q9UNL2	
MO000132561	ENSG00000139131	17.572150236020214	Q9Y2Z4	
MO000132562	ENSG00000108671	1119.0993515001446	O00231	
MO000132563	ENSG00000139131	17.572150236020214	Q9Y2Z4	
MO000132564	ENSG00000108671	1119.0993515001446	O00231	
MO000132572	ENSG00000125445	121.75066280855961	Q9Y2R9	
MO000132574	ENSG00000107581	768.795650675687	Q14152	
MO000132577	ENSG00000107581	768.795650675687	Q14152	
MO000132579	ENSG00000116747	90.65109171676963	P10155	
MO000132581	ENSG00000145907	4017.1446371871757	Q13283	
MO000132582	ENSG00000145907	4017.1446371871757	Q13283	
MO000132601	ENSG00000175390	2424.927803071357	O00303	
MO000132603	ENSG00000175390	2424.927803071357	O00303	
MO000132604	ENSG00000089693	6.498117614397616	Q15773	
MO000132607	ENSG00000001497	9.296179440919412	Q9Y4W2-2	
MO000132610	ENSG00000057149	105.33888669428555	P29508	
MO000132614	ENSG00000158710	14168.83921742231	P37802	
MO000132615	ENSG00000158710	14168.83921742231	P37802	
MO000132619	ENSG00000070785	229.2388275118032	Q9NR50	
MO000132622	ENSG00000143222	159.88312343713494	Q9Y3C8	
MO000132625	ENSG00000148484	179.66514617161607	Q15404	
MO000132629	ENSG00000105298	1.1282329643367188	Q8WUQ7	
MO000132634	ENSG00000233927	7410.31154733642	P62857	
MO000132638	ENSG00000001497	9.296179440919412	Q9Y4W2-2	
MO000132639	ENSG00000118705	896.2141340476375	P04844,P04844-2	
MO000132640	ENSG00000118705	896.2141340476375	P04844,P04844-2	
MO000132645	ENSG00000163902	1827.0800124877678	P04843	
MO000132646	ENSG00000163902	1827.0800124877678	P04843	
MO000132647	ENSG00000152795	1742.6719995293172	O14979	
MO000132648	ENSG00000152795	1742.6719995293172	O14979	
MO000132652	ENSG00000145592	15.065860299141661	P61927	
MO000132658	ENSG00000161970	3585.758691628456	P61254	
MO000132659	ENSG00000161970	3585.758691628456	P61254	
MO000132661	ENSG00000130429	1075.4445838051984	O15143	
MO000132662	ENSG00000099341	425.1932930407696	P48556	
MO000132663	ENSG00000099341	425.1932930407696	P48556	
MO000132668	ENSG00000183258	20.943875822540477	Q9UJV9	
MO000132670	ENSG00000138032	68.24269646748863	O75688,O75688-2	
MO000132677	ENSG00000103035	837.5935445859984	P51665	
MO000132678	ENSG00000103035	837.5935445859984	P51665	
MO000132683	ENSG00000010165	16.171000144839283	Q8N6R0	
MO000132684	ENSG00000013275	1325.5783799185933	P43686	
MO000132686	ENSG00000013275	1325.5783799185933	P43686	
