ID	Ensembl ID	UniProt ID	Average Intensity
MO000134164	ENSG00000179134	Q5PRF9	12.928734618503572
MO000134171	ENSG00000119285	Q9H583	17.74849684991985
MO000134172	ENSG00000119285	Q9H583	17.74849684991985
MO000134175	ENSG00000197785	Q9NVI7-2	351.83592068246276
MO000134184	ENSG00000124614	P46783	4040.418641500404
MO000134185	ENSG00000124614	P46783	4040.418641500404
MO000134189	ENSG00000213741	P62273	4711.7087403623045
MO000134190	ENSG00000014138	Q14181	12.83909563578067
MO000134194	ENSG00000125844	Q9P2E9,Q9P2E9-2	623.2485756993724
MO000134195	ENSG00000125844	Q9P2E9,Q9P2E9-2	623.2485756993724
MO000134210	ENSG00000108010	O76003	986.526070780805
MO000134211	ENSG00000108010	O76003	986.526070780805
MO000134212	ENSG00000031698	P49591	568.8730317455061
MO000134213	ENSG00000031698	P49591	568.8730317455061
MO000134214	ENSG00000105281	Q15758	400.36277348584963
MO000134215	ENSG00000105281	Q15758	400.36277348584963
MO000134218	ENSG00000131876	P09661	444.6863671844386
MO000134219	ENSG00000131876	P09661	444.6863671844386
MO000134221	ENSG00000083937	Q9UQN3	40.03608397857443
MO000134226	ENSG00000125835	P14678-2	2893.7950056741993
MO000134227	ENSG00000125835	P14678-2	2893.7950056741993
MO000134229	ENSG00000125835	P14678-2	2893.7950056741993
MO000134236	ENSG00000143977	P62308	3036.4925492344337
MO000134237	ENSG00000143977	P62308	3036.4925492344337
MO000134240	ENSG00000155561	Q92621	39.10080844536441
MO000134242	ENSG00000180879	P51571	1719.0485443997568
MO000134243	ENSG00000180879	P51571	1719.0485443997568
MO000134247	ENSG00000155561	Q92621	39.10080844536441
MO000134252	ENSG00000148248	O15260	815.9588780137602
MO000134263	ENSG00000070882	Q9H4L5,Q9H4L5-2	218.13547884958206
MO000134264	ENSG00000137815	Q92541	21.0229035637563
MO000134265	ENSG00000137815	Q92541	21.0229035637563
MO000134267	ENSG00000032389	Q53HC9	91.60249305429471
MO000134272	ENSG00000070882	Q9H4L5,Q9H4L5-2	218.13547884958206
MO000134274	ENSG00000178952	P49411	1643.0106841222241
MO000134275	ENSG00000178952	P49411	1643.0106841222241
MO000134285	ENSG00000168397	Q9Y4P1-6	3.4170666019197236
MO000134287	ENSG00000168397	Q9Y4P1-6	3.4170666019197236
MO000134293	ENSG00000039560	Q9P0K7	21.903825040688673
MO000134294	ENSG00000039560	Q9P0K7	21.903825040688673
MO000134297	ENSG00000039560	Q9P0K7	21.903825040688673
MO000134301	ENSG00000198954	Q96EK5	246.40169517526783
MO000134304	ENSG00000163681	Q14BN4-2	1.827561713602929
MO000134305	ENSG00000163681	Q14BN4-2	1.827561713602929
MO000134306	ENSG00000261236	Q14137	101.84165082214551
MO000134308	ENSG00000171490	O76021	385.2998095103229
MO000134309	ENSG00000171490	O76021	385.2998095103229
MO000134312	ENSG00000261236	Q14137	101.84165082214551
MO000134318	ENSG00000168763	Q8NE01	3.8589885162374515
MO000134320	ENSG00000030066	Q12769	28.972038713642633
MO000134322	ENSG00000030066	Q12769	28.972038713642633
MO000134326	ENSG00000150779	Q9Y5J9	187.00226739946396
MO000134337	ENSG00000134697	Q13823	39.95227156187953
MO000134338	ENSG00000134697	Q13823	39.95227156187953
MO000134342	ENSG00000108091	Q16204	89.80173650780947
MO000134344	ENSG00000058262	P61619	482.68929819163645
