EGFR HDAC3 MAPK1 MAPK6 PLK1 PRPF4 RELA ZBTB17 Npert
Perturb_3118 inhibited N inhibited activated N N N inhibited 4
Perturb_3203 inhibited N inhibited inhibited N N inhibited N 4
Perturb_3236 inhibited N N inhibited N N zero activated 4
Perturb_3241 inhibited activated N activated N N inhibited N 4
Perturb_3296 inhibited inhibited inhibited N N N inhibited N 4
Perturb_3787 inhibited N inhibited inhibited N N N inhibited 4
Perturb_3817 inhibited N N activated N N inhibited activated 4
Perturb_3818 inhibited N N inhibited N N inhibited activated 4
Perturb_3842 inhibited activated N activated N N N inhibited 4
Perturb_3893 inhibited inhibited inhibited N N N N inhibited 4
Perturb_4109 inhibited activated N N N N zero activated 4
Perturb_4377 inhibited activated inhibited N N N inhibited N 4
Perturb_4378 inhibited activated N inhibited N N inhibited N 4
Perturb_4402 inhibited inhibited N N N N inhibited activated 4
Perturb_4409 inhibited N inhibited activated N N inhibited N 4
Perturb_4419 inhibited N inhibited N N N inhibited inhibited 4
Perturb_4447 inhibited inhibited inhibited activated N N N N 4
Perturb_4497 inhibited activated inhibited inhibited N N N N 4
Perturb_4807 inhibited N N activated N N zero inhibited 4
Perturb_4904 inhibited inhibited N activated N N zero N 4
Perturb_5115 inhibited inhibited N inhibited N N N activated 4
Perturb_5146 inhibited activated N N N N inhibited inhibited 4
Perturb_5318 inhibited inhibited N activated N N N activated 4
Perturb_5477 inhibited inhibited N inhibited N N zero N 4
Perturb_5734 inhibited N inhibited N N N zero inhibited 4
Perturb_5833 inhibited activated inhibited activated N N N N 4
Perturb_5893 inhibited inhibited inhibited inhibited N N N N 4
Perturb_6179 inhibited N inhibited N N N zero activated 4
Perturb_6203 inhibited inhibited N inhibited N N inhibited N 4
Perturb_0424 inhibited inhibited inhibited inhibited N N N inhibited 5
Perturb_0448 inhibited inhibited N activated N N inhibited activated 5
Perturb_0461 inhibited activated inhibited activated N N N inhibited 5
Perturb_0629 inhibited inhibited N inhibited N N inhibited activated 5
Perturb_0927 inhibited N inhibited activated N N zero activated 5
Perturb_0965 inhibited activated N inhibited N N zero activated 5
Perturb_0966 inhibited activated inhibited N N N zero activated 5
Perturb_1080 inhibited inhibited inhibited N N N inhibited inhibited 5
Perturb_1138 inhibited activated N activated N N inhibited inhibited 5
Perturb_1215 inhibited N inhibited inhibited N N inhibited inhibited 5
Perturb_1247 inhibited activated inhibited inhibited N N inhibited N 5
Perturb_1313 inhibited inhibited inhibited activated N N inhibited N 5
Perturb_1437 inhibited inhibited N activated N N zero inhibited 5
Perturb_1911 inhibited N inhibited activated N N inhibited inhibited 5
Perturb_1955 inhibited activated inhibited N N N inhibited inhibited 5
Perturb_1956 inhibited activated N inhibited N N inhibited inhibited 5
Perturb_2496 inhibited N inhibited inhibited N N zero inhibited 5
Perturb_2543 inhibited activated N activated N N zero inhibited 5
Perturb_2600 inhibited inhibited inhibited N N N zero inhibited 5
Perturb_2808 inhibited inhibited inhibited N N N zero activated 5
Perturb_2871 inhibited activated N activated N N zero activated 5
Perturb_2925 inhibited N inhibited inhibited N N zero activated 5
Perturb_3472 inhibited N inhibited activated N N inhibited activated 5
Perturb_3932 inhibited inhibited N activated N N zero activated 5
Perturb_4144 inhibited N inhibited inhibited N N inhibited activated 5
Perturb_4287 inhibited inhibited inhibited N N N inhibited activated 5
Perturb_4376 inhibited activated N inhibited N N zero inhibited 5
Perturb_4379 inhibited activated inhibited N N N zero inhibited 5
Perturb_4408 inhibited N inhibited activated N N zero inhibited 5
Perturb_4740 inhibited inhibited N inhibited N N inhibited inhibited 5
Perturb_4886 inhibited activated inhibited activated N N N activated 5
Perturb_4905 inhibited inhibited N activated N N inhibited inhibited 5
Perturb_4928 inhibited inhibited inhibited inhibited N N N activated 5
Perturb_5081 inhibited inhibited inhibited activated N N zero N 5
Perturb_5145 inhibited activated inhibited inhibited N N zero N 5
Perturb_5307 inhibited activated inhibited activated N N zero N 5
Perturb_5331 inhibited inhibited inhibited inhibited N N zero N 5
Perturb_5455 inhibited inhibited inhibited activated N N N activated 5
Perturb_5479 inhibited inhibited N inhibited N N zero inhibited 5
Perturb_5501 inhibited activated inhibited inhibited N N N activated 5
Perturb_6391 inhibited inhibited inhibited inhibited N N inhibited N 5
Perturb_6422 inhibited activated inhibited inhibited N N N inhibited 5
Perturb_6437 inhibited inhibited N inhibited N N zero activated 5
Perturb_6439 inhibited activated inhibited activated N N inhibited N 5
Perturb_6459 inhibited inhibited inhibited activated N N N inhibited 5
Perturb_0279 inhibited inhibited inhibited activated N N inhibited activated 6
Perturb_0826 inhibited inhibited inhibited inhibited N N inhibited activated 6
Perturb_1244 inhibited activated inhibited inhibited N N zero inhibited 6
Perturb_1311 inhibited inhibited inhibited activated N N zero inhibited 6
Perturb_4039 inhibited inhibited inhibited activated N N zero activated 6
Perturb_4110 inhibited activated inhibited inhibited N N zero activated 6
Perturb_4478 inhibited activated inhibited activated N N inhibited inhibited 6
Perturb_4535 inhibited inhibited inhibited inhibited N N inhibited inhibited 6
Perturb_5080 inhibited inhibited inhibited activated N N inhibited inhibited 6
Perturb_5143 inhibited activated inhibited inhibited N N inhibited inhibited 6
Perturb_5676 inhibited inhibited inhibited inhibited N N zero inhibited 6
Perturb_5710 inhibited activated inhibited activated N N zero inhibited 6
Perturb_6199 inhibited activated inhibited activated N N zero activated 6
Perturb_6237 inhibited inhibited inhibited inhibited N N zero activated 6
Percent activated 0 30.77 0 33.33 0 0 0 30.77 NA
Percent inhibited 100 34.62 50 33.33 0 0 30.77 34.62 NA
Percent zero 0 0 0 0 0 0 34.62 0 NA
Percent N 0 34.62 50 33.33 100 100 34.62 34.62 NA
basal 1 0 0 0 1 1 1 0 NA
