EGFR FOXM1 HDAC3 MAPK1 MAPK6 PRPF4 RELA ZBTB17 Npert
Perturb_2026 inhibited N activated inhibited inhibited N zero activated 6
Perturb_3021 inhibited N activated inhibited inhibited N inhibited inhibited 6
Perturb_3369 inhibited N activated inhibited inhibited N zero inhibited 6
Perturb_3863 inhibited N activated inhibited activated N zero inhibited 6
Perturb_4110 inhibited N inhibited inhibited activated N zero activated 6
Perturb_4124 inhibited N inhibited inhibited inhibited N inhibited inhibited 6
Perturb_5143 inhibited N inhibited inhibited activated N inhibited inhibited 6
Perturb_5867 inhibited N inhibited inhibited inhibited N zero activated 6
Perturb_6049 inhibited N inhibited inhibited inhibited N zero inhibited 6
Perturb_6291 inhibited N activated inhibited activated N inhibited inhibited 6
Percent activated 0 0 30.77 0 33.33 0 0 30.77 NA
Percent inhibited 100 0 34.62 50 33.33 0 30.77 34.62 NA
Percent zero 0 0 0 0 0 0 34.62 0 NA
Percent N 0 100 34.62 50 33.33 100 34.62 34.62 NA
basal 1 1 0 0 0 1 1 0 NA
