ID	UniProt ID	Average Intensity
ENSG00000101311	Q9BQL6	6.542101199314036
ENSG00000101336	P08631-2	4.876699167309716
ENSG00000101343	Q9BZJ0-2	10.398132988866685
ENSG00000101441	P01036	35.267379831382215
ENSG00000101460	Q9H492	84.53875831990297
ENSG00000101871	O15344	16.202833893513493
ENSG00000101940	Q9H1Z4	7.693882381856034
ENSG00000102606	Q14155-1	41.09328632743282
ENSG00000102921	O75113	0.8207241224027582
ENSG00000103121	Q9NRP2	36.86085212193308
ENSG00000103197	P49815-4	2.4018861239391507
ENSG00000103249	P51798	4.507406956260947
ENSG00000103381	Q9BRF8	75.19517694131815
ENSG00000103460	O15405-2	18.56581818580087
ENSG00000103490	Q9ULZ3,Q9ULZ3-2	4.274252151689604
ENSG00000103510	Q9H7Z6	3.6160168045932926
ENSG00000103888	Q8WUJ3	43.2308002684901
ENSG00000104408	P60228	953.9361672582877
ENSG00000104427	Q96GY0	3.6449995746868025
ENSG00000104490	P61601	206.31393517795283
ENSG00000104518	P57764	52.504314037921546
ENSG00000104613	Q9NVR2	1.5607026847740424
ENSG00000104626	Q8IV48	49.871795732422214
ENSG00000104833	P04350	129732.38491660953
ENSG00000104892	Q6P597	43.670823104011916
ENSG00000105176	O94763	6.9683415878621755
ENSG00000105223	Q8IV08	80.11775083214192
ENSG00000105248	Q9BW85	17.602547453869388
ENSG00000105341	Q9NW81	3.737888737574191
ENSG00000105357	Q7Z406-6	572.993721847062
ENSG00000105373	Q9NZM5	9.494880236111808
ENSG00000105409	P13637	821.47188809138
ENSG00000105426	Q13332-6	0.6602643504788936
ENSG00000105655	Q9NPH2	3.7378684247526826
ENSG00000105679	O14556	4768.18101571669
ENSG00000105793	A4D1E9	11.703342703744607
ENSG00000105835	P43490	2573.3922873381325
ENSG00000106263	P55884	1139.390012979671
ENSG00000106399	P35244	1255.8938048344094
ENSG00000106477	Q9BYV8	30.765882869364074
ENSG00000106799	P36897-3	8.472859760362425
ENSG00000106829	Q04727	12.394402766873345
ENSG00000107099	Q8NF50-3	1.4046033282986272
ENSG00000107104	Q14678	2.374754339824954
ENSG00000107105	Q12926	145.22374453090663
ENSG00000107295	Q99962	130.53971770327735
ENSG00000107566	O75477	363.07441406411306
ENSG00000107738	Q9H7M9	4.1525186716573845
ENSG00000107951	Q9NVV4	14.935494185282248
ENSG00000108417	O76014	155.18409223439727
ENSG00000108465	Q96JB5	10.594929763061021
ENSG00000108561	Q07021	2565.8625337464646
ENSG00000108588	Q96A33	420.10096297774186
ENSG00000108679	Q08380	166.0400319786944
ENSG00000108825	Q9BTE6	75.78824714659082
ENSG00000109072	P04004	279.0239805096452
ENSG00000109452	O15327	10.35854964714748
ENSG00000109511	Q9UJ72	116.62372991267479
ENSG00000109536	Q14331	52.200063850901316
ENSG00000110344	Q14139	28.89049087388261
ENSG00000110696	O00193	523.5212766540303
ENSG00000111052	O14910	71.96401869659508
ENSG00000111077	Q63HR2-5	10.80495786509433
ENSG00000111713	P54840	0.6359291660273128
ENSG00000112379	Q5TH69	0.17340834727725193
ENSG00000112655	Q13308	22.546308506469188
ENSG00000112667	O43598	454.55832863665586
ENSG00000112685	Q96KP1	12.681567677338093
ENSG00000113456	O60671-2	8.213020202048856
ENSG00000113580	P04150	47.34567717900376
ENSG00000113648	O75367-2,O75367-3	2377.0278561014766
ENSG00000113758	Q16643	295.9772725412388
ENSG00000113889	P01042,P01042-2	46.81456303661659
ENSG00000114021	Q9NQR4	394.0508558055345
ENSG00000114374	O00507	34.29159654977839
ENSG00000114742	Q8TAF3,Q8TAF3-4	2.5699526897966365
ENSG00000114779	Q96IU4	453.8318040117251
ENSG00000114993	Q9BST9	2.2620215322238386
ENSG00000115380	Q12805-2	3.6184214745126613
ENSG00000115468	Q9BUP0	192.0170023552398
ENSG00000115561	Q9Y3E7	195.08323278848093
ENSG00000115641	Q14192	424.90675996673224
ENSG00000115685	Q15435,Q15435-2	103.96394893817828
ENSG00000116039	P15313	144.40965862407083
ENSG00000116138	Q9Y2G8	4.654370673270894
ENSG00000116141	Q9P0L2	4.494221239022414
ENSG00000116977	O00214-2	12.59672219768225
ENSG00000117228	P32455	160.37606404824209
ENSG00000117266	Q07002	55.972574833574896
ENSG00000117419	O43414	63.74004706648314
ENSG00000117448	P14550	114.4382208803236
ENSG00000117868	A0FGR8-2,A0FGR8-6	199.53460469402154
ENSG00000118804	O95210	6.796692553314875
ENSG00000119285	Q9H583	17.74849684991985
ENSG00000119421	P51970	368.222094997988
ENSG00000119705	Q9GZT3	971.4109467525982
ENSG00000119782	P68106-2	172.02892803643357
ENSG00000119878	Q9P021	19.381131688119314
ENSG00000119888	P16422	2.64189914697959
ENSG00000119917	O14879	137.76943404236687
ENSG00000120318	Q8WWN8	1.3095091585920233
ENSG00000120549	Q5T5P2	9.956684434293582
ENSG00000120693	O15198-2	99.05459722881189
ENSG00000120896	O60504	10.572232640787654
ENSG00000121413	Q8TBC5-2	1.905448467052299
ENSG00000122378	Q9BRX8	49.14618819310044
ENSG00000122591	Q9BYI3	2.6244648556465036
ENSG00000123130	Q9Y305,Q9Y305-4	625.7389205618363
ENSG00000123146	P48960,P48960-3	701.6983800464923
ENSG00000123178	Q5W111	57.35101271838047
ENSG00000123545	Q9P032	17.10571781470594
ENSG00000123561	P05543	52.93891227020123
ENSG00000124212	Q16647	8.12173375166058
ENSG00000124299	P12955	493.1399570711732
ENSG00000124333	P51809	55.73119299441487
ENSG00000124357	Q9UJ70	103.68627388941167
ENSG00000124596	Q9Y530	132.03469103333055
ENSG00000124610	Q02539	4996.751521118722
ENSG00000124787	O75818-2	20.644125796533533
ENSG00000125037	Q9P0I2	80.3990265127744
ENSG00000125144	P13640,P13640-2	15685.49899511394
ENSG00000125912	Q969V3	134.95111643156508
ENSG00000126107	Q5T447	4.5166188707489034
ENSG00000126249	Q9BRP1	105.90120958744276
ENSG00000126653	Q9H0G5	1.849467074529972
ENSG00000127507	Q9UHX3-4	119.96009020071824
ENSG00000127824	P68366	55157.48358874966
ENSG00000127948	P16435	121.70628912526517
ENSG00000128487	Q5M775,Q5M775-2	8.163890209673522
ENSG00000128510	Q9UI42	3.764790696200299
ENSG00000128731	O95714	0.43243181783304463
ENSG00000129116	Q8WX93-3	137.26130395748484
ENSG00000129158	Q9UGK8	1.0993425637375387
ENSG00000129354	Q9Y6Q5,Q9Y6Q5-2	26.524010110445147
ENSG00000129675	Q15052	2.445285724614951
ENSG00000129680	Q8IWC1	28.66776600052013
ENSG00000130158	Q96HP0	2.1862675214382445
ENSG00000130176	P51911	65.19665476311508
ENSG00000130193	Q8WUY1	35.70352351117434
ENSG00000130303	Q10589	205.966325124602
ENSG00000130340	Q9Y5X1	22.841487698161536
ENSG00000130559	Q5T5Y3	1.1368868039927096
ENSG00000130707	P00966	4.030822085150639
ENSG00000130723	Q5JSZ5	5.472549513668986
ENSG00000130787	O75146	21.923576874296586
ENSG00000130985	P22314	3616.8892954825697
ENSG00000131153	Q9Y248	20.884315572730088
ENSG00000131435	P50479	94.32303019868307
ENSG00000131437	Q9Y496	3.3608356138296487
ENSG00000131558	Q96A65	23.241900767645355
ENSG00000131652	Q86W42	42.955642396906555
ENSG00000131738	Q14525	173.5240304075533
ENSG00000131746	Q8IZW8	3.078768686136767
ENSG00000132361	O75153	41.71451438620648
ENSG00000132698	P57735	34.88002062503617
ENSG00000132792	Q8WYA6	62.42415068153571
ENSG00000133104	Q8N0X7	21.64289327450498
ENSG00000133142	Q96EI5	6.844749934362134
ENSG00000133315	Q9BQ69	15.27766020456642
ENSG00000133316	Q6RFH5	42.25629000570831
ENSG00000133392	P35749-2,P35749-3,P35749-4	472.3838070739372
ENSG00000133433	P0CG30	39.164115712257555
