MO000094946, MO000019344, inactivates
MO000093578, MO000019985, activates
MO000096095, MO000035098, activates
MO000057745, MO000022403, activates
MO000019975, MO000032000, inactivates
MO000079234, MO000098770, inactivates
MO000044267, MO000042920, inactivates
MO000019975, MO000100895, inactivates
MO000019973, MO000057745, inactivates
MO000023577, MO000025267, activates
MO000033978, MO000153681, inactivates
MO000020270, MO000153681, inactivates
MO000056297, MO000102071, inactivates
MO000085632, MO000085634, activates
MO000085634, MO000079234, inactivates
MO000056625, MO000056623, inactivates
MO000030998, MO000058322, inactivates
MO000031000, MO000058322, inactivates
MO000020628, MO000031189, inactivates
MO000056654, MO000058322, inactivates
MO000019985, MO000058322, inactivates
MO000018962, MO000021743, inactivates
MO000019311, MO000057745, inactivates
MO000060084, MO000057745, inactivates
MO000004677, MO000019481, inactivates
MO000019481, MO000082438, inactivates
MO000084676, MO000030904, inactivates
MO000032664, MO000021423, inactivates
MO000096095, MO000020269, activates
MO000044267, MO000020615, activates
MO000022137, MO000020701, inactivates
MO000082840, MO000056625, inactivates
MO000082846, MO000056625, inactivates
MO000119161, MO000089081, activates
MO000044267, MO000019948, activates
MO000019230, MO000119161, activates
MO000092591, MO000023445, inactivates
MO000079049, MO000032352, inactivates
MO000020701, MO000020398, activates
MO000019309, MO000019315, inactivates
MO000200698, MO000019315, inactivates
MO000084601, MO000019315, inactivates
MO000054153, MO000017421, inactivates
MO000042300, MO000020634, activates
MO000088968, MO000020634, activates
MO000088968, MO000021754, activates
MO000044992, MO000056297, activates
MO000021743, MO000056297, activates
MO000020628, MO000018902, inactivates
MO000031189, MO000020397, inactivates
MO000008180, MO000019344, inactivates
MO000057745, MO000057832, inactivates
MO000057745, MO000019780, inactivates
MO000019985, MO000019780, inactivates
MO000016677, MO000018962, inactivates
MO000019309, MO000041170, activates
MO000021736, MO000057832, activates
MO000008180, MO000022211, activates
MO000004677, MO000019481, activates
MO000019309, MO000019315, activates
MO000018901, MO000023578, inactivates
MO000018901, MO000058923, inactivates
MO000018901, MO000023577, inactivates
MO000021423, MO000007821, inactivates
MO000041374, MO000007821, inactivates
MO000022227, MO000031000, inactivates
MO000017421, MO000021423, inactivates
MO000021287, MO000021736, activates
MO000034342, MO000078692, inactivates
MO000034342, MO000032335, inactivates
MO000087811, MO000019548, inactivates
MO000036655, MO000019315, inactivates
MO000007821, MO000058322, inactivates
MO000009086, MO000022227, inactivates
MO000022137, MO000019309, inactivates
MO000060084, MO000084635, inactivates
MO000022137, MO000020436, inactivates
MO000096095, MO000019973, inactivates
MO000021036, MO000020219, activates
MO000016989, MO000032664, inactivates
MO000009339, MO000016989, inactivates
MO000004681, MO000016989, inactivates
MO000137417, MO000016989, inactivates
MO000079049, MO000016989, inactivates
MO000019548, MO000023445, inactivates
MO000103380, MO000019867, inactivates
MO000022529, MO000034342, activates
MO000058322, MO000167543, activates
MO000167543, MO000058322, activates
MO000023365, MO000058322, activates
MO000023365, MO000019469, activates
MO000117253, MO000019481, inactivates
MO000020701, MO000019315, activates
MO000023365, MO000117253, activates
MO000022529, MO000019315, activates
MO000060084, MO000019315, inactivates
MO000096187, MO000088314, inactivates
MO000096187, MO000026496, inactivates
MO000096187, MO000028099, inactivates
MO000022211, MO000022208, inactivates
MO000019341, MO000009339, inactivates
MO000009415, MO000009339, inactivates
MO000106111, MO000186472, activates
MO000079234, MO000019949, inactivates
MO000119207, MO000022137, inactivates
MO000119207, MO000087811, inactivates
MO000085634, MO000019973, inactivates
MO000085634, MO000019975, inactivates
MO000020004, MO000019975, inactivates
MO000085634, MO000059566, inactivates
MO000023615, MO000021036, inactivates
MO000030911, MO000019975, activates
MO000079236, MO000019975, activates
MO000035161, MO000031213, activates
MO000071150, MO000031213, activates
MO000166208, MO000031213, activates
MO000084504, MO000079234, activates
MO000084506, MO000079234, activates
MO000084504, MO000019975, activates
MO000084506, MO000019975, activates
MO000022229, MO000007821, inactivates
MO000083769, MO000007821, inactivates
MO000023578, MO000009339, activates
MO000056491, MO000007821, inactivates
MO000042946, MO000004681, inactivates
MO000084423, MO000004681, inactivates
MO000019352, MO000017447, inactivates
MO000060747, MO000019507, inactivates
MO000082840, MO000019507, inactivates
MO000082846, MO000019507, inactivates
MO000019949, MO000020339, inactivates
MO000103380, MO000019780, inactivates
MO000019481, MO000022403, inactivates
MO000019481, MO000096187, inactivates
MO000019341, MO000034342, activates
MO000009415, MO000034342, activates
MO000016989, MO000054153, inactivates
MO000009253, MO000022403, inactivates
MO000009253, MO000096187, inactivates
MO000016989, MO000057832, inactivates
MO000016989, MO000019780, inactivates
MO000033485, MO000019469, inactivates
MO000193609, MO000022097, activates
MO000166164, MO000023365, activates
MO000023365, MO000042300, activates
MO000215625, MO000057832, activates
MO000020328, MO000057832, activates
MO000020328, MO000019780, activates
MO000020328, MO000057832, inactivates
MO000215626, MO000057832, inactivates
MO000007821, MO000023447, inactivates
MO000019780, MO000020328, activates
MO000023365, MO000019363, activates
MO000193609, MO000017447, activates
MO000193609, MO000083732, activates
MO000020634, MO000017447, inactivates
MO000007821, MO000022408, inactivates
MO000030998, MO000022408, inactivates
MO000153681, MO000022408, inactivates
MO000022137, MO000021242, inactivates
MO000279226, MO000019230, activates
MO000019780, MO000279226, activates
MO000032588, MO000019780, inactivates
MO000056491, MO000017421, inactivates
MO000056654, MO000017421, inactivates
MO000034342, MO000057832, inactivates
MO000034342, MO000019780, inactivates
MO000023365, MO000017421, activates
MO000013123, MO000019070, activates
MO000142942, MO000056713, inactivates
MO000142942, MO000057832, inactivates
MO000142942, MO000019780, inactivates
MO000078692, MO000019792, inactivates
MO000032335, MO000019792, inactivates
MO000032352, MO000019792, inactivates
MO000126134, MO000009339, activates
MO000126134, MO000004677, activates
MO000103285, MO000009339, activates
MO000030859, MO000013123, inactivates
