ID	UniProt ID	average_intensity
ENSG00000053372	Q9UKD2	307.0
ENSG00000053501	Q9NZ43	6.18
ENSG00000053900	Q9UJX5	358.0
ENSG00000054116	O43617	156.0
ENSG00000054118	Q9Y2W1	231.0
ENSG00000054148	Q9NRX4	721.0
ENSG00000054267	Q4LE39-3	3.58
ENSG00000054523	O60333,O60333-2,O60333-3	16.2
ENSG00000054611	Q8WUA7	1.37
ENSG00000054654	Q8WXH0	39.6
ENSG00000054793	O75110	17.5
ENSG00000055044	Q9Y2X3	726.0
ENSG00000055070	Q7Z422-2	110.0
ENSG00000055130	Q13616	100.0
ENSG00000055147	Q9NRY5	66.6
ENSG00000055332	P19525	164.0
ENSG00000055483	Q9P275	36.3
ENSG00000055609	Q8NEZ4	0.66
ENSG00000055917	Q8TB72-3	15.8
ENSG00000055950	Q8N983-4	269.0
ENSG00000055955	Q14624	168.0
ENSG00000056050	Q9NWY4	11.4
ENSG00000056097	Q96KR1	64.6
ENSG00000056277	Q8ND82	4.56
ENSG00000056586	Q9HBD1-4	7.62
ENSG00000056972	O43734-2	19.1
ENSG00000057019	Q96PD2	9.86
ENSG00000057149	P29508	78.1
ENSG00000057252	P35610	56.3
ENSG00000057294	Q99959-2	8.36
ENSG00000057608	P50395	4110.0
ENSG00000057663	Q9H1Y0	15.5
ENSG00000057757	Q9GZP4	67.1
ENSG00000057935	Q9BTC8-2	19.3
ENSG00000058056	Q92995	16.7
ENSG00000058063	Q9Y2G3	0.902
ENSG00000058085	Q13753	1.96
ENSG00000058091	O94921-3	2.35
ENSG00000058262	P61619	542.0
ENSG00000058272	O14974	106.0
ENSG00000058404	Q13554-4	87.1
ENSG00000058668	P23634-7,P23634-8	89.4
ENSG00000058673	O75152	76.2
ENSG00000058729	Q9BVS4	2.24
ENSG00000058804	Q9BTX1-2	38.1
ENSG00000059378	Q9H0J9	3.49
ENSG00000059573	P54886,P54886-2	942.0
ENSG00000059691	O75879	16.9
ENSG00000059758	Q00537	11.3
ENSG00000059769	Q9H1X3	1.54
ENSG00000060069	Q9Y5B0	50.7
ENSG00000060138	P16989,P16989-2	3020.0
ENSG00000060339	Q8IX12-2	142.0
ENSG00000060491	Q9NZT2-2	53.6
ENSG00000060688	Q96DI7	233.0
ENSG00000060749	Q2KHR3	8.58
ENSG00000060762	Q9Y5U8	6.69
ENSG00000060971	P09110	315.0
ENSG00000061273	Q8WUI4-3	2.41
ENSG00000061676	Q9Y2A7	163.0
ENSG00000061794	P82673	179.0
ENSG00000061936	Q12872	1.96
ENSG00000062582	Q96EL2	52.5
ENSG00000062650	Q7Z5K2	8.65
ENSG00000062822	P28340	55.0
ENSG00000063046	P23588	513.0
ENSG00000063241	Q96AB3	633.0
ENSG00000063244	P26368-2	1080.0
ENSG00000063245	Q9Y6I3	94.3
ENSG00000063322	Q9NX70	19.1
ENSG00000063601	Q13613	3.97
ENSG00000063660	P35052	9.71
ENSG00000063854	Q16775	233.0
ENSG00000064012	Q14790	41.9
ENSG00000064102	Q9NVM9	17.9
ENSG00000064313	Q6P1X5	1.44
ENSG00000064419	Q9Y5L0	58.5
ENSG00000064601	P10619	50.0
ENSG00000064607	Q8IX01	7.11
ENSG00000064651	P55011	19.7
ENSG00000064666	Q99439	1430.0
ENSG00000064703	Q9UHI6	28.1
ENSG00000064932	Q9Y2G9-3	8.27
ENSG00000064999	Q92625	0.987
ENSG00000065000	O14617,O14617-5	103.0
ENSG00000065029	P36508-2	8.72
ENSG00000065054	Q15599	9.54
ENSG00000065060	Q6BDS2	239.0
ENSG00000065135	P08754	548.0
ENSG00000065150	O00410	937.0
ENSG00000065154	P04181	1310.0
ENSG00000065183	Q9UNX4	73.2
ENSG00000065243	Q16513	45.1
ENSG00000065268	Q9BV38	118.0
ENSG00000065357	P23743	51.6
ENSG00000065427	Q15046,Q15046-2	1170.0
ENSG00000065485	Q14554	55.6
ENSG00000065518	O95168	494.0
