Initial_state Attr label label2
is_024522 195 Apoptosis Apoptosis_333
is_024555 195 Apoptosis Apoptosis_334
is_024561 195 Apoptosis Apoptosis_335
is_024583 284 Leukemia2 Leukemia2_15
is_024590 195 Apoptosis Apoptosis_336
is_024696 195 Apoptosis Apoptosis_337
is_024833 195 Apoptosis Apoptosis_338
is_024879 195 Apoptosis Apoptosis_339
is_024956 195 Apoptosis Apoptosis_340
is_025098 195 Apoptosis Apoptosis_341
is_025160 195 Apoptosis Apoptosis_342
is_025182 195 Apoptosis Apoptosis_343
is_025209 195 Apoptosis Apoptosis_344
is_025325 195 Apoptosis Apoptosis_345
is_025449 284 Leukemia2 Leukemia2_16
is_025453 195 Apoptosis Apoptosis_346
is_025489 195 Apoptosis Apoptosis_347
is_025510 195 Apoptosis Apoptosis_348
is_025574 195 Apoptosis Apoptosis_349
is_025575 195 Apoptosis Apoptosis_350
is_025657 195 Apoptosis Apoptosis_351
is_025721 195 Apoptosis Apoptosis_352
is_025756 195 Apoptosis Apoptosis_353
is_025773 195 Apoptosis Apoptosis_354
is_025781 195 Apoptosis Apoptosis_355
is_025979 195 Apoptosis Apoptosis_356
is_026059 195 Apoptosis Apoptosis_357
is_026092 195 Apoptosis Apoptosis_358
is_026198 195 Apoptosis Apoptosis_359
is_026202 195 Apoptosis Apoptosis_360
is_026230 195 Apoptosis Apoptosis_361
is_026351 195 Apoptosis Apoptosis_362
is_026456 195 Apoptosis Apoptosis_363
is_026540 195 Apoptosis Apoptosis_364
is_026555 195 Apoptosis Apoptosis_365
is_026592 195 Apoptosis Apoptosis_366
is_026652 195 Apoptosis Apoptosis_367
is_026790 195 Apoptosis Apoptosis_368
is_026839 195 Apoptosis Apoptosis_369
is_027202 195 Apoptosis Apoptosis_370
is_027271 195 Apoptosis Apoptosis_371
is_027280 195 Apoptosis Apoptosis_372
is_027323 195 Apoptosis Apoptosis_373
is_027370 195 Apoptosis Apoptosis_374
is_027447 195 Apoptosis Apoptosis_375
is_027520 195 Apoptosis Apoptosis_376
is_027533 195 Apoptosis Apoptosis_377
is_027614 195 Apoptosis Apoptosis_378
is_027717 195 Apoptosis Apoptosis_379
is_027825 195 Apoptosis Apoptosis_380
is_027840 195 Apoptosis Apoptosis_381
is_027882 195 Apoptosis Apoptosis_382
is_027960 195 Apoptosis Apoptosis_383
is_028003 284 Leukemia2 Leukemia2_17
is_028035 195 Apoptosis Apoptosis_384
is_028069 195 Apoptosis Apoptosis_385
is_028087 195 Apoptosis Apoptosis_386
is_028103 195 Apoptosis Apoptosis_387
is_028116 195 Apoptosis Apoptosis_388
is_028286 195 Apoptosis Apoptosis_389
