attr	F_hierarchical_10	F_km_2	F_km_3
attractor591	3	2	2
attractor592	2	2	3
attractor593	2	2	3
attractor594	1	1	1
attractor595	1	1	1
attractor596	1	1	1
attractor597	2	2	3
attractor598	2	2	2
attractor599	2	2	2
attractor600	2	2	3
attractor601	2	2	3
attractor602	2	2	3
attractor603	2	2	3
attractor604	2	2	2
attractor605	2	2	3
attractor606	1	1	1
attractor607	1	1	1
attractor608	2	2	3
attractor609	2	2	3
attractor610	2	2	2
attractor611	2	2	3
attractor612	2	2	3
attractor613	2	2	2
attractor614	2	2	3
attractor615	2	2	3
attractor616	2	2	3
attractor617	2	2	2
attractor618	2	2	3
attractor619	2	2	3
attractor620	2	2	3
attractor621	2	2	3
attractor622	1	1	1
attractor623	2	2	2
attractor624	2	2	3
attractor625	1	1	1
attractor626	2	2	3
attractor627	1	1	1
attractor628	2	2	2
attractor629	1	1	1
attractor630	2	2	3
attractor631	1	1	1
attractor632	2	2	2
attractor633	2	2	3
attractor634	2	2	3
attractor635	1	1	1
attractor636	2	2	3
attractor637	2	2	3
attractor638	1	1	1
attractor639	2	2	3
attractor640	2	2	3
attractor641	2	2	3
attractor642	2	2	3
attractor643	2	2	3
attractor644	2	2	3
attractor645	2	2	3
attractor646	1	1	1
attractor647	2	2	3
attractor648	2	2	3
attractor649	2	2	2
attractor650	2	2	3
attractor651	2	2	2
attractor652	1	1	1
attractor653	2	1	1
attractor654	2	2	3
attractor655	2	2	2
attractor656	2	2	2
attractor657	2	2	3
attractor658	1	1	1
attractor659	2	2	3
attractor660	2	2	3
attractor661	1	1	1
attractor662	2	2	3
attractor663	2	2	2
attractor664	2	2	2
attractor665	2	2	3
attractor666	2	2	3
attractor667	1	1	1
attractor668	2	2	2
attractor669	2	2	3
attractor670	1	1	1
attractor671	1	1	1
attractor672	2	2	3
attractor673	1	1	1
attractor674	2	2	2
attractor675	2	2	3
attractor676	2	2	3
attractor677	1	1	1
attractor678	2	2	3
attractor679	1	1	1
attractor680	1	1	1
attractor681	2	2	3
attractor682	1	1	1
attractor683	1	1	1
attractor684	2	2	2
attractor685	1	1	1
