attr	D_hierarchical_3	D_hierarchical_4	D_km_2	D_km_3
attractor207	2	2	2	2
attractor208	2	2	2	2
attractor209	2	2	2	1
attractor210	2	2	2	2
attractor211	1	1	1	3
attractor212	2	2	2	1
attractor213	1	1	1	3
attractor214	2	2	2	2
attractor215	1	1	1	3
attractor216	2	2	2	1
attractor217	1	1	1	3
attractor218	1	1	1	3
attractor219	2	3	2	1
attractor220	2	2	2	2
attractor221	2	2	2	1
attractor222	2	2	2	2
attractor223	2	2	2	2
attractor224	2	2	2	1
attractor225	2	2	2	1
attractor226	1	1	1	3
attractor227	1	1	1	3
attractor228	2	2	2	1
attractor229	2	2	2	1
attractor230	2	2	2	1
attractor231	2	2	2	1
attractor232	2	2	2	1
attractor233	2	2	2	2
attractor234	1	1	1	3
attractor235	2	2	2	2
attractor236	2	2	2	2
attractor237	2	2	2	2
attractor238	2	2	2	1
attractor239	2	2	2	1
attractor240	1	1	1	3
attractor241	2	2	2	1
attractor242	2	2	2	1
attractor243	2	2	2	2
attractor244	2	2	2	1
attractor245	1	1	1	3
attractor246	2	2	2	1
attractor247	1	1	1	3
attractor248	2	2	2	1
attractor249	2	2	2	1
attractor250	1	1	1	3
attractor251	2	2	2	1
attractor252	2	2	2	1
attractor253	2	2	2	1
attractor254	1	1	1	3
attractor255	2	2	2	2
attractor256	2	2	2	2
attractor257	2	2	2	1
attractor258	2	2	2	2
attractor259	2	2	2	2
attractor260	2	2	2	2
attractor261	1	1	1	3
attractor262	1	1	1	3
attractor263	2	2	2	1
attractor264	2	2	2	1
attractor265	1	1	1	3
attractor266	2	2	2	1
attractor267	1	1	1	3
attractor268	2	2	2	2
attractor269	1	1	1	3
attractor270	2	2	2	2
attractor271	2	2	2	1
attractor272	2	3	2	1
attractor273	2	2	2	1
attractor274	2	2	2	1
attractor275	1	1	1	3
attractor276	2	2	2	2
attractor277	1	1	1	3
attractor278	2	2	2	1
attractor279	2	2	2	2
attractor280	1	1	1	3
attractor281	1	1	1	3
attractor282	2	2	2	2
attractor283	2	2	1	3
attractor284	2	2	2	1
attractor285	1	1	1	3
attractor286	2	2	2	2
attractor287	2	2	2	1
attractor288	2	2	2	1
attractor289	2	2	2	1
attractor290	2	2	2	1
attractor291	2	2	2	1
attractor292	1	1	1	3
attractor293	2	2	2	1
attractor294	2	2	2	2
attractor295	2	2	2	1
attractor296	2	2	2	2
attractor297	1	1	1	3
attractor298	2	2	2	1
attractor299	2	2	2	1
attractor300	2	2	1	2
attractor301	2	2	2	2
attractor302	2	2	2	2
attractor303	2	2	1	2
attractor304	2	2	1	3
attractor305	2	3	2	1
attractor306	2	2	2	1
attractor307	2	2	2	2
attractor308	2	2	2	1
attractor309	2	2	2	1
attractor310	2	2	2	1
attractor311	2	2	2	2
attractor312	2	2	2	1
attractor313	2	3	2	1
attractor314	2	3	2	1
