B_KM_2	B_KM_3
attractor658	2	1
attractor659	1	3
attractor660	1	3
attractor661	2	1
attractor662	1	3
attractor663	1	2
attractor664	1	2
attractor665	1	3
attractor666	1	3
attractor667	2	1
attractor668	1	2
attractor669	1	3
attractor670	2	1
attractor671	2	1
attractor672	1	3
attractor673	2	1
attractor674	1	2
attractor675	1	3
attractor676	1	3
attractor677	2	1
attractor678	1	3
attractor679	2	1
attractor680	2	1
attractor681	1	3
attractor682	2	1
attractor683	2	1
attractor684	1	2
attractor685	2	1
attractor686	2	1
attractor687	1	3
attractor688	1	3
attractor689	1	3
attractor690	1	2
attractor691	1	2
attractor692	2	1
attractor693	2	1
attractor694	1	3
attractor695	1	3
attractor696	1	2
attractor697	1	3
attractor698	1	2
attractor699	1	3
attractor700	1	2
attractor701	2	1
attractor702	1	2
attractor703	1	2
attractor704	1	3
attractor705	2	1
attractor706	1	3
attractor707	1	3
attractor708	1	3
attractor709	2	1
attractor710	2	1
attractor711	1	2
attractor712	1	3
attractor713	1	2
attractor714	1	3
attractor715	1	2
attractor716	1	3
attractor717	1	2
attractor718	1	2
attractor719	2	1
attractor720	2	1
attractor721	1	3
attractor722	1	3
attractor723	1	3
attractor724	1	3
attractor725	1	2
attractor726	1	3
attractor727	1	2
attractor728	1	2
attractor729	1	3
attractor730	1	3
attractor731	1	2
attractor732	1	3
attractor733	1	3
attractor734	1	3
attractor735	1	3
attractor736	1	2
attractor737	1	2
attractor738	1	2
attractor739	1	3
attractor740	1	3
attractor741	1	3
attractor742	1	3
attractor743	2	1
attractor744	2	1
attractor745	2	1
attractor746	2	1
attractor747	2	1
attractor748	1	3
attractor749	1	3
attractor750	1	3
attractor751	1	2
attractor752	1	3
attractor753	1	2
attractor754	1	2
attractor755	1	3
attractor756	1	3
attractor757	1	3
attractor758	1	2
attractor759	2	1
attractor760	2	1
attractor761	1	3
attractor762	1	3
attractor763	1	3
attractor764	2	1
attractor765	2	1
attractor766	2	1
attractor767	2	1
attractor768	2	1
attractor769	1	3
attractor770	1	3
attractor771	2	1
attractor772	1	2
attractor773	1	2
attractor774	1	2
attractor775	1	2
