                                                       State                                                        Next state  Attr. basin  # trans. to attr.
110110010000100110010000101101001011000010110001110000100100 =>   010110011000100101110010001011000001100000000000100000100100           15                 14
100000101000111101110011010010000101100010000000001000100100 =>   100100001001111000001101110010000000011011001011101000100100           15                 17
100010101000110100111011011011000101001010000000001000100100 =>   110100001001111100101101110011000000001011000001101000100100           15                 25
100010001010110000010001010010001100001011000000001000100100 =>   110100000001111000001011110010010000010011000001101000100100           15                 30
110111000000110000101011010010001100001011000000001000100100 =>   110100000101111000000111110010010000011011000001101000100100           15                 24
110110000000110001101001110000001100101011000000001000100100 =>   110100000001111000000011010010010000011011001010001000100100           15                 17
100000100010111001000011000010011100110011100000001000100100 =>   101000000011111001001111010010011100111010011011101100100100           15                 11
101000000000111001001011000010011100110011100000001000100100 =>   101000000011111001001111010010011100111010011011101100100100           15                 11
100011011111111100100011011011101101000110001000001000100100 =>   110011001101110100101011110011000000001011000001101000100100           15                 25
110000100000111001110001110010010100110011001000001000100100 =>   100100000011111000001001010010011100011011001011101100100100           15                 17
000011000001111111111100011111110011011010000100001000100100 =>   010001001111000100100000001001001100001000001001100100100100           15                 14
010110010001101000110100100010101111110011101100001000100100 =>   110010000000111001000011000000011100111011000011101110100100           15                 13
110000000000111001000011001010010101111010000010001000100100 =>   101000000011111100101101010011001100011011101011101100100100           15                 15
100000001000111101100011000010101101111011000010001000100100 =>   101000001001111000001111010010011100011011101011101100100100           15                 13
100011111101110100110011011010001100011010100010001000100100 =>   110110001101110101101111110011001100101011010001101100100100           15                 25
100001000000111100101011011011001100011011100010001000100100 =>   101000001101111101101111110011011100111011010001101100100100           15                 18
100010001100110001100011010010011101111111010010001000100100 =>   110110000010110000001111110010011100011011101011101100100100           15                 10
100011000010110100100011001010011101011010001010001000100100 =>   111100001111111100101011010011001100001011000001101100100100           15                 11
110100000001111000000011010010010000011011001010001000100100 =>   000001000111000000000000100010011100010001100001100100100100           15                 16
101000000001111000101011010010000100011011001010001000100100 =>   101001000101111000001001110010011100011011100001101100100100           15                 12
100100001000111101101111110011010000111011001010001000100100 =>   000000001011000000000000000010011100011001101011100100100100           15                 12
110110100010111000010110000110011101010010000000101000100100 =>   110110100011111000010110001110001100000010000001101100100100           15                 21
100010010000110101110010011100010000110010000000101000100100 =>   010100001011000100110110001011001100011001001010100100100100           15                 10
100010011100111101110010001000001100101010000000101000100100 =>   110110001001110100111110000011000000011011001010101000100100           15                 13
110010011000110100110010001010000101001110000000101000100100 =>   110100001001111100111110000011000000001011000001101000100100           15                 25
110100001000111001111010001000000000100011000000101000100100 =>   000100000001000100110110000011010000011001001010100000100100           15                 11
100111001000110000011110001000000000001011000000101000100100 =>   010100000101000100110110000011010000010001000000100000100100           15                 18
110100001000111100111010000010000000001011000000101000100100 =>   000100001001000000010110000010010000011001000001100000100100           15                 24
110100000001111000010110000010000001001011000000101000100100 =>   000111000001000000010110000010010000010001000001100000100100           15                 30
110110101000110000011110110110001101001011000000101000100100 =>   110100000001111000010110001010010000010011000001101000100100           15                 15
111100001010111101111010010111101101101011000000101000100100 =>   100000001001111000010110001110010000011011001011101000100100           15                 11
100000100001111000010110000110010001011011000000101000100100 =>   000101000011001000010110001010011100010001000001100100100100           15                  9
110110000000110101111010001110011100111011000000101000100100 =>   110100001011111100110110001011011100011011001011101100100100           15                 10
110110000000111101110010001110000101100111000000101000100100 =>   110110001001111100110110001011010000011011001011101000100100           15                 11
110110000010111001010110000100011101110111000000101000100100 =>   110110100011111000010110001110011100011010001010101100100100           15                  8
100011001000110100111010000111000101001111000000101000100100 =>   110100001101111000011110001010010000011011000001101000100100           15                 12
101000001101111000011110110110010101011111000000101000100100 =>   100011000011110000011110001010011100010011000001101100100100           15                  9
110100001010111100111010000010001100001011100000101000100100 =>   100100001001111001010110000110010000111011000001101000100100           15                  9
110110100010111001010010000110011101111011100000101000100100 =>   110110000011111001010110001110011100111011001011101100100100           15                  8
101000000000111000011010000100011101010111100000101000100100 =>   100000000011111001011110001010011100110010010000101100100100           15                 15
110011011110111100110010001010111101011011001000101000100100 =>   110010001111110100111010000111011100011011000001101100100100           15                  4
000110000101110011111001110101011110111011111000101000100100 =>   110110000110110001010010011010011100111010011010101101100100           15                 11
100010001000110100111010000101000000011011000010101000100100 =>   010100001001000000010110001010011100011001100000100100100100           15                 12
100000011000111100111010010000010000011011000010101000100100 =>   000100001011000000010110000010011100011001100000100100100100           15                 10
110010000010110001111010000010011101111011000010101000100100 =>   110100000011111000011110000110011100011011101011101100100100           15                 10
110110100010111000010110000110011100011010001010101000100100 =>   110110100011111000010010001110001100000011100001101100100100           15                  9
110100001000111100111010000010000001011110001010101000100100 =>   000100001001000000010010000010001100001001100001100100100100           15                 19
110110001001110100111110000011000000011011001010101000100100 =>   010101001101000000010010000010011100011001100001100100100100           15                 12
110110001000110100111110010111010001011011001010101000100100 =>   010100001011000000010010001010011100011001100001100100100100           15                 10
110100001000111000011010001100000101011011001010101000100100 =>   100100000001111100110010001011011100010011100000101100100100           15                 12
100011001010110000111010000000011101011011001010101000100100 =>   110100000111111000011010000110011100011011000000101100100100           15                 10
100100001000111101111010001111010100111011001010101000100100 =>   100100001011111100110010001011011100011011101011101100100100           15                 15
100000001000111001011010000110000001111011001010101000100100 =>   000100000001000000010010001010011100011001101011100100100100           15                 10
110110001001110000011010000010010001011111001010101000100100 =>   010101000111000000010010000010011100010001100001100100100100           15                 16
100100000001111100110110000011010001011111001010101000100100 =>   000111001011000000010010000010011100011001100001100100100100           15                 10
100110000010110000010110000000011101011111001010101000100100 =>   110110100011111000010010000110011100010011100000101100100100           15                 16
100110100010111000010110000110011101011111001010101000100100 =>   110110100011111000010010001110011100010011100001101100100100           15                  9
100111010000110100111010110100001100011010101010101000100100 =>   110100001101111001010010001010001100101011010000101100100100           15                 19
110110101000110100111110001111001101011111101010101000100100 =>   110100001001111101110010001011011100111011100001101100100100           15                 12
100010011100111101110010110100010000111011011010101000100100 =>   010110001010000000010010001010011100011001101010100100100100           15                 10
101000001001111101111010110010000001111111011010101000100100 =>   000001001000000000010010000010011100011001101011100100100100           15                 12
101001011110001100100010001000000101100010001110101000100100 =>   100010001000110100111010000101000000011011000010101000100100           15                 13
100110001110110011101101110111010010010100011110101000100100 =>   010110100010100000010010001100001100001000101001100101100100           15                 13
110110100001111000010110001110000001000010000001101000100100 =>   010111000001101100110110001011000001000000000001100000100100           15                 26
110100100101111000010110001110000001000010000001101000100100 =>   000111000001100100110110001011000001000000000001100000100100           15                 26
110110100101111000010110001110000001000010000001101000100100 =>   010111000001100100110110001011000001000000000001100000100100           15                 26
100111100001110100110110001111000101000010000001101000100100 =>   110111001101111100110110001011000001001011000001101000100100           15                 19
110111100101110100110110001111000101000010000001101000100100 =>   110111001101110100110110001011000001001011000001101000100100           15                 19
110111100001111100110110001111000101000010000001101000100100 =>   110111001101111100110110001011000001001011000001101000100100           15                 19
110111100010110000010110000110001101000010000001101000100100 =>   110110100101111000010110001110000001000010000001101000100100           15                 27
110110100010111000010110000110001101000010000001101000100100 =>   110110100001111000010110001110000001000010000001101000100100           15                 27
100111100010110000011110000110001101000010000001101000100100 =>   110100100101111000010110001110000001000010000001101000100100           15                 27
110000011100111101100001011000000000100010000001101000100100 =>   000010001001100100110010110011000001011101001010100000100100           15                 13
110100001010111101100011010011001100100010000001101000100100 =>   100000001001111000010110110110000001011111001011101000100100           15                 13
100011011100110100110011110010010000010010000001101000100100 =>   010110001111100000010110010010001101001101000001100100100100           15                 17
110110100010111000010110000110011100010010000001101000100100 =>   110110100011111000010110001110001101000110000001101100100100           15                 21
100111100010111100110110000111011100010010000001101000100100 =>   110110101111111000010110001110001101001111000001101100100100           15                  7
110111000101110000010110001110010101010010000001101000100100 =>   110111000111110100110110001011001101000010000001101100100100           15                 14
100111000001110100110110001111010101010010000001101000100100 =>   110111001111111100110110001011101101001011000001101100100100           15                  7
110111000101110100110110001111010101010010000001101000100100 =>   110111001111110100110110001011001101001011000001101100100100           15                  7
110110100010111000010110000110011101010010000001101000100100 =>   110110100011111000010110001110001101000010000001101100100100           15                 21
110111100010110000011110000110011101010010000001101000100100 =>   110100100111111000010110001110001101000010000001101100100100           15                 21
110110000001111101110110001111010100110010000001101000100100 =>   110111001011111100110110001011101101011111001011101100100100           15                  7
111000110000111101111110001111010101110010000001101000100100 =>   100000001011111100111110001011101101011011001011101100100100           15                 10
100110000010110001010110000000011101110010000001101000100100 =>   110110100011111000010110000110001101011010001010101100100100           15                 14
100110000010110001011110000000011101110010000001101000100100 =>   110100100011111000010110000110001101011010001010101100100100           15                 14
100110000010111101110110000011111101110010000001101000100100 =>   110010101011111000010110000110001101011011001011101100100100           15                 10
110110001000110000111010010000000101000110000001101000100100 =>   110100000001111000010110000010000001001011000000101000100100           15                 31
110111100001111100110110001111000101000110000001101000100100 =>   110111001101111100110110001011000001001011000001101000100100           15                 19
110000001010111000100011010010001101000110000001101000100100 =>   101000000001111000011110110110000001001011000001101000100100           15                 16
110110100010111000010110000110001101000110000001101000100100 =>   110110100001111000010110001110000001000010000001101000100100           15                 27
100111100010111100110110000111111101010110000001101000100100 =>   110010101111111000010110001110001101001011000001101100100100           15                  7
110110000101111001010110001110010101110110000001101000100100 =>   110111000011110100110110001011001101011010001011101100100100           15                 14
110110000101111101110110001011010101110110000001101000100100 =>   110111001011110100110110000011001101011011001011101100100100           15                 11
111000101000111101111010000111010101110110000001101000100100 =>   100000001011111000011110001010001101011011001011101100100100           15                 10
110110000001111101110110001111010101110110000001101000100100 =>   110111001011111100110110001011101101011011001011101100100100           15                  7
110110000101111101110110001111010101110110000001101000100100 =>   110111001011110100110110001011001101011011001011101100100100           15                  7
100110000010110001010110000100011101110110000001101000100100 =>   110110100011111000010110001110001101011010001010101100100100           15                 14
100010000010110001011010000110011101110110000001101000100100 =>   110100000011111000011110001110001101011010001011101100100100           15                 14
110100000001111000001011110010010000010011000001101000100100 =>   000001000111100000010110010010011101010100000001100100100100           15                 29
110100000001111000010110001010010000010011000001101000100100 =>   000111000011100100110110000011011101010100000001100100100100           15                 14
100111000001110100110110000111010100010011000001101000100100 =>   110111001111111000010110001010011101011111000001101100100100           15                  5
100100000010111100111010001011011100010011000001101000100100 =>   100100001011111100110110000111111101011111000001101100100100           15                  6
110110100001111000010110001110010001010011000001101000100100 =>   010111000011101100110110001011011101010000000001100100100100           15                 11
110110100101111000010110001110010001010011000001101000100100 =>   010111000011100100110110001011011101010000000001100100100100           15                 11
110111000101110100110110001011010001010011000001101000100100 =>   010111001111100100110110000011011101011001000001100100100100           15                 11
110111100000110000010110000110010101010011000001101000100100 =>   110110000111111000010110001010011101010010000001101100100100           15                 15
110111000001110000010110001110010101010011000001101000100100 =>   110111000111111100110110001011111101010010000001101100100100           15                  8
100101000001111000010110001110010101010011000001101000100100 =>   100111000111111100110110001011111101010010000001101100100100           15                  8
110111000101110000011110001110010101010011000001101000100100 =>   110111000111110100110110001011011101010010000001101100100100           15                  8
100111000001110100110110001011010101010011000001101000100100 =>   110111001111111100110110000011111101011011000001101100100100           15                 11
110111000001110100110110001011010101010011000001101000100100 =>   110111001111111100110110000011111101011011000001101100100100           15                 11
110111000101110100110110001011010101010011000001101000100100 =>   110111001111110100110110000011011101011011000001101100100100           15                 11
100111100001110100110110000111010101010011000001101000100100 =>   110111001111111000010110001010011101011011000001101100100100           15                  5
110111100001110100110110001111010101010011000001101000100100 =>   110111001111111100110110001011111101011011000001101100100100           15                  5
110111100101110100110110001111010101010011000001101000100100 =>   110111001111110100110110001011011101011011000001101100100100           15                  5
110111100001110100111110001111010101010011000001101000100100 =>   110101001111111100110110001011111101011011000001101100100100           15                  5
110111000101110100111110001111010101010011000001101000100100 =>   110111001111110100110110001011011101011011000001101100100100           15                  5
110111100101110100111110001111010101010011000001101000100100 =>   110111001111110100110110001011011101011011000001101100100100           15                  5
110111000010110000010110000100011101010011000001101000100100 =>   110110100111111000010110001110011101010010000000101100100100           15                 15
100111100010111000010010000110011101010011000001101000100100 =>   110110000111111000010110001110011101010010000001101100100100           15                 15
110110100010111000010110000110011101010011000001101000100100 =>   110110100011111000010110001110011101010010000001101100100100           15                 15
110111100010111100110010000111111101010011000001101000100100 =>   110010001111111000010110001110011101011011000001101100100100           15                  6
100110000001111001010110001010010100110011000001101000100100 =>   110111000011111100110110000011111101011110001011101100100100           15                 11
100110100010111001010110000110011100110011000001101000100100 =>   110110100011111000010110001110011101011110001011101100100100           15                  8
100110000010111101110110000011011100110011000001101000100100 =>   110110101011111000010110000110011101011111001011101100100100           15                 10
110110100000111001010110000110010101110011000001101000100100 =>   110110000011111000010110001010011101011010001011101100100100           15                  8
110100000101111001010110000110010101110011000001101000100100 =>   100111000011110000010110001010011101011010001011101100100100           15                  8
110100000000111001011010000000011101110011000001101000100100 =>   100100000011111000010110000010011101011010001010101100100100           15                 17
100110000010111001010110000000011101110011000001101000100100 =>   110110100011111000010110000110011101011010001010101100100100           15                 10
110110000010111001010110000000011101110011000001101000100100 =>   110110100011111000010110000110011101011010001010101100100100           15                 10
110110000010111101110110000111111101110011000001101000100100 =>   110010101011111000010110001110011101011011001011101100100100           15                  8
110111001000110000000111010000000000001011000001101000100100 =>   010100000101100000010110110010010001010101000000100000100100           15                 30
110100001001111100111110000011000000001011000001101000100100 =>   000101001001100000010110000010010001011101000001100000100100           15                 24
110100001001111100101101110011000000001011000001101000100100 =>   000001001101100000010010010010010001011101000001100000100100           15                 24
110011001101110100101011110011000000001011000001101000100100 =>   010111001101100000010110010010010001011101000001100000100100           15                 24
110101001101111000000111110010000100001011000001101000100100 =>   100011000101110000010110010010010001010111000001101000100100           15                 30
101000000001111000011110110110000001001011000001101000100100 =>   000001000001100000010110001010010001010001000001100000100100           15                 15
110111001101110100110110001011000001001011000001101000100100 =>   010111001101100100110110000011010001011001000001100000100100           15                 18
110111001101111100110110001011000001001011000001101000100100 =>   010111001101100100110110000011010001011001000001100000100100           15                 18
110111101101111000010110001110000101001011000001101000100100 =>   110111000101110100110110001011010001010011000001101000100100           15                 12
110111101101110100110110000111000101001011000001101000100100 =>   110111001101110000010110001010010001011011000001101000100100           15                 12
110011101101110100110110001111000101001011000001101000100100 =>   110111001101110100111110001011010001011011000001101000100100           15                 12
110111101101110100110110001111000101001011000001101000100100 =>   110111001101110100110110001011010001011011000001101000100100           15                 12
110011101101111100110110001111000101001011000001101000100100 =>   110111001101110100111110001011010001011011000001101000100100           15                 12
110111101101111100110110001111000101001011000001101000100100 =>   110111001101110100110110001011010001011011000001101000100100           15                 12
111100001010111000111110110000001101001011000001101000100100 =>   100000100001111000010110000110010001011011000000101000100100           15                 10
100110101010111000010110000110001101001011000001101000100100 =>   110110100001111000010110001110010001010011000001101000100100           15                 12
110111101010111000010110000110001101001011000001101000100100 =>   110110100101111000010110001110010001010011000001101000100100           15                 12
110111101010111100110110000111101101001011000001101000100100 =>   110010101101111000010110001110010001011011000001101000100100           15                  9
110100000000111001011010001000001100101011000001101000100100 =>   100100000001111100110110000011010001011111001010101000100100           15                 11
110100000101111000000111110010010000011011000001101000100100 =>   000011000111100000010110010010011101010101000001100100100100           15                 23
110100001101111000011110001010010000011011000001101000100100 =>   000111000011100100110110000011011101010101000001100100100100           15                 11
110011001001110000010110000010010100011011000001101000100100 =>   110101000111111000011110000010011101010111000001101100100100           15                 23
110111001000110000000011000010010100011011000001101000100100 =>   110100000111111000010110010010011101010111000001101100100100           15                 23
100111001000111100110110000111010100011011000001101000100100 =>   110110001111111000010110001010011101011111000001101100100100           15                  5
100010001010111000010110000100011100011011000001101000100100 =>   110100100011111000011110001110011101010111000000101100100100           15                  9
100010001000111000010010010100010001011011000001101000100100 =>   010100000011100000010110001010011101010001000000100100100100           15                  9
110111001101110000010110001010010001011011000001101000100100 =>   010111000111100100110110000011011101010001000001100100100100           15                 11
110100101001111000010110001110010001011011000001101000100100 =>   000111000011101100110110001011011101010001000001100100100100           15                  8
110010101101111000010110001110010001011011000001101000100100 =>   010111000011100100110110001011011101010001000001100100100100           15                  8
110111001101110100110110001011010001011011000001101000100100 =>   010111001111100100110110000011011101011001000001100100100100           15                 11
110111001101110100111110001011010001011011000001101000100100 =>   010111001111100100110110000011011101011001000001100100100100           15                 11
110011001001110000010110001010010101011011000001101000100100 =>   110101000111111100111110000011111101010011000001101100100100           15                 11
110011001101110000010110001010010101011011000001101000100100 =>   110111000111110100111110000011011101010011000001101100100100           15                 11
110011001001110000010110001110010101011011000001101000100100 =>   110101000111111100111110001011111101010011000001101100100100           15                  5
110011001101110000010110001110010101011011000001101000100100 =>   110111000111110100111110001011011101010011000001101100100100           15                  5
110111001101110000010110001110010101011011000001101000100100 =>   110111000111110100110110001011011101010011000001101100100100           15                  5
110111101101110000010110001110010101011011000001101000100100 =>   110111000111110100110110001011011101010011000001101100100100           15                  5
110111101101110000011110001110010101011011000001101000100100 =>   110111000111110100110110001011011101010011000001101100100100           15                  5
110011001001110100110110001011010101011011000001101000100100 =>   110101001111111100111110000011111101011011000001101100100100           15                 11
110111001101110100110110001011010101011011000001101000100100 =>   110111001111110100110110000011011101011011000001101100100100           15                 11
110011001101110100111110001011010101011011000001101000100100 =>   110111001111110100111110000011011101011011000001101100100100           15                 11
110011101101110100110110000111010101011011000001101000100100 =>   110111001111110000011110001010011101011011000001101100100100           15                  5
110111101101110100110110000111010101011011000001101000100100 =>   110111001111110000010110001010011101011011000001101100100100           15                  5
110011001001110100110110001111010101011011000001101000100100 =>   110101001111111100111110001011111101011011000001101100100100           15                  5
110011001101110100110110001111010101011011000001101000100100 =>   110111001111110100111110001011011101011011000001101100100100           15                  5
110111001101110100110110001111010101011011000001101000100100 =>   110111001111110100110110001011011101011011000001101100100100           15                  5
110011101101110100110110001111010101011011000001101000100100 =>   110111001111110100111110001011011101011011000001101100100100           15                  5
110111101101110100110110001111010101011011000001101000100100 =>   110111001111110100110110001011011101011011000001101100100100           15                  5
110111101101110100111110001111010101011011000001101000100100 =>   110111001111110100110110001011011101011011000001101100100100           15                  5
110110001010110000011010010100011101011011000001101000100100 =>   110100000011111000010110001110011101010011000000101100100100           15                  9
110111101010110000010110000110011101011011000001101000100100 =>   110110100111111000010110001110011101010011000001101100100100           15                  9
110111101010111000010110000110011101011011000001101000100100 =>   110110100111111000010110001110011101010011000001101100100100           15                  9
110111101010111100110110000111111101011011000001101000100100 =>   110010101111111000010110001110011101011011000001101100100100           15                  6
