Cluster CCNG2 CDC20 FYN GSK3B HUWE1 MAPK13 SNAI1 STAT3 ADAM9 ANXA1 ATF3 AURKA BACE1 BGN BIRC6 BUB1 CABLES2 CD55 CHEK2 CKAP5 COL13A1 CTNNB1 CXXC5 DNAJB2 EGFR ERBB2 ERBB3 EVL FBLN1 FDPS FGF13 FN1 FOS FOXM1 GSN HDAC3 HIPK2 HMGA2 HMGB2 HMGCR ICAM1 IGF1R IL4R IL7R ITGB8 JUN KAT2A LATS2 LIMK2 LRP1 LTBP3 MAD2L2 MAPK1 MAPK14 MAPK6 MAPKAPK2 MAPT MEX3B MOCOS MVD MVK NDC80 NUF2 PAG1 PIAS1 PIAS3 PKIA PLK1 PMVK PPM1D PRPF4 PTPRA RASGRF1 RELA RFWD2 RHOA RHOD ROCK1 RPS6KA1 RPS6KA5 RRM2B S100A2 SELPLG SERPINA1 SH3YL1 SHC1 SKIL SMAD2 SMAD4 SNAP29 SNRPA SREBF2 SRPK1 STX6 TACC1 TAF12 TAF1B TBL1X TCF3 TGFA TGFB1 TNIK TNK2 TOP2A TP53 TP53:SMAD2 TP63 TPR TPX2 TRIM33 TRIOBP UBE2I VDR VIM WNT5A ZBTB17
attractor22 2 1 1 1 1 -1 1 -1 1 -1 1 -1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 0 1 0 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 -1 0 -1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 0 1 1 1 -1 1 0 -1 1 1 1 1 1 0
attractor25 2 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 1 0 1 1 1 -1 1 1 1 1 1 -1 1 1 1 1 1 1 0 0 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1
attractor32 2 -1 1 1 0 -1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 -1 0 0 1 1 1 1 1 1 1 1 1 1 -1 -1 -1 1 -1 0 0 0 0 -1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 0 1 1 1 1 1 1 0
attractor33 2 1 1 -1 -1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 1 -1 1 1 -1 -1 -1 1 -1 1 1 -1 1 -1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 1 1 0 1 -1 1 1 1 -1 0 0 0 1 -1 1 1 1 1 1 -1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 -1 1 1 1 1 1 1 -1 1 -1 1 1 1 -1 1 -1 1 1 0
attractor37 2 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 -1 0 1 1 1 1 1 -1 1 1 -1 1 1 1 -1 1 1 1 -1 0 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1
attractor46 2 -1 -1 -1 -1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 -1 -1 -1 -1 -1 1 1 1 1 -1 -1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 -1 -1 1 -1 0 1 0 1 1 1 -1 1 1 0 1 0 1 1 1 1 1 1 0 -1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 1 1 1 1 1 -1 1 1 1 1 -1 1 0 1 1 1 1 1 1 0
attractor51 2 1 1 -1 0 -1 1 1 1 -1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 0 1 1 1 1 1 -1 1 1 1 0 1 1 1 -1 -1 -1 0 0 0 0 -1 1 1 1 1 0 1 1 1 1 1 1 1 -1 0 -1 1 1 1 1 -1 1 1 0 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 0 1 1 1 -1 1 1 1 -1 1 1 1 1 0
attractor55 2 1 -1 1 -1 -1 1 -1 1 1 -1 1 1 1 -1 1 1 1 1 -1 1 1 -1 1 -1 -1 -1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 -1 -1 0 1 0 1 -1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 1 1 1 1 1 1 1 1 1
attractor67 2 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 -1 -1 1 1 1 1 1 1 -1 1 -1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 1
attractor71 2 -1 -1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 -1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 1 -1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 1
attractor75 2 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 -1 1 1 -1 1 1 -1 -1 1 -1 -1 1 1 -1 1 1 -1 1 1 1 -1 1 1 -1 -1 1 1 1 1 -1 1 1 1 0 1 -1 1 1 1 1 0 1 1 1 -1 1 1 1 -1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 -1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 0
attractor78 2 -1 1 1 1 -1 1 1 1 -1 1 1 1 1 -1 -1 1 1 -1 1 -1 1 -1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 1 0 1 1 1 -1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 0 -1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 0
attractor81 2 -1 1 1 -1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 -1 -1 1 1 0 1 1 1 -1 1 -1 1 1 1 -1 1 1 -1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 1 1 1 1 -1 1 -1 1 1 1 -1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1
attractor84 2 1 1 1 -1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 -1 -1 1 1 1 0 0 0 1 1 -1 1 1 -1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 0
attractor90 2 -1 -1 -1 0 1 1 1 1 1 -1 -1 1 -1 1 -1 1 1 -1 1 -1 1 -1 1 1 1 1 1 1 -1 1 1 -1 1 -1 -1 0 1 -1 1 1 1 1 1 1 -1 1 1 1 -1 -1 1 -1 0 0 0 0 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 -1 1 -1 1 1 1 1 1 -1 -1 1 -1 1 1 1 1 1 -1 1 1 1
attractor91 2 1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 1 -1 -1 1 -1 -1 1 -1 -1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 -1 1 1 1 -1 0 1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1
attractor92 2 -1 -1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 -1 1 1 1 -1 0 -1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 -1 -1 -1 1 1 1 1 1 -1 1 -1 -1 1 -1 1 1 1 1 1 1 1 1 1
attractor95 2 -1 1 -1 -1 -1 1 1 1 1 1 1 1 -1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 0 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 0 1 1 -1 1 1 1 1 -1 1 1 1 -1 1 1 1 0 -1 1 1 -1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1
attractor98 2 -1 -1 1 1 -1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 -1 1 -1 -1 -1 0 1 1 1 -1 1 -1 1 1 0 0 1 1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 0 1 1 -1 1 1 1 -1 1 1 1 1 0
attractor101 2 1 1 1 1 -1 1 1 1 -1 1 1 1 -1 1 -1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 0 0 1 1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 1 0 1 1 1 -1 1 -1 1 1 1 1 1 1 -1 -1 1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 -1 1 1 1 1 1
attractor102 2 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 -1 0 1 0 1 -1 1 1 1 1 -1 -1 1 1 -1 -1 1 1 1 0 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1
attractor107 2 -1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 -1 1 1 -1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 -1 -1 1 -1 0 1 1 1 -1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 -1 1 1 -1 1 1 1 -1 0 1 1 1 -1 1 0 1 -1 1 1 -1 1 0
attractor113 2 1 1 1 -1 -1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 -1 0 1 1 1 -1 -1 1 1 1 1 0 1 1 -1 1 1 1 -1 0 1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 0 1 1 -1 1 0 1 -1 1 1 1 1 0
attractor118 2 -1 -1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 -1 0 1 0 1 1 -1 -1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 1
attractor122 2 1 1 -1 -1 1 1 1 1 1 1 -1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 0 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 0 1 1 -1 1 1 1 1 1 1 1 1 0
attractor125 2 1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 0 1 0 1 1 1 -1 1 1 -1 1 1 1 -1 -1 1 1 1 0 -1 1 1 -1 1 -1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1
attractor126 2 -1 -1 -1 1 -1 1 1 1 -1 1 1 1 1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 0 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 -1 1 1 -1 -1 1 1 1 -1 1 1 -1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 -1 1 1 1 1 1
attractor130 2 1 1 -1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 -1 1 1 -1 1 1 1 -1 1 1 -1 1 1 1 1 -1 1 -1 0 1 0 1 -1 -1 1 1 1 1 0 1 1 1 -1 1 1 -1 1 -1 1 1 1 1 -1 1 0 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 -1 1 1 1 -1 1 1 1 1 0
attractor131 2 1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 -1 1 -1 -1 -1 -1 -1 -1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 -1 1 1 0 1 -1 1 -1 1 1 -1 -1 1 1 1 1 1 1 -1 0 -1 1 -1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 -1 1 1 1 1 1 -1 1 -1 1 1 -1 1 -1 1 1 1 1 -1 1 1
attractor135 2 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 -1 1 -1 -1 1 -1 -1 0 0 0 0 -1 1 -1 1 1 -1 1 1 1 -1 -1 1 1 1 0 -1 1 -1 1 1 1 1 1 0 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 1 1 -1 1 1 1 1 -1 1 1 -1 1 1 -1 1 -1 1 -1 1 1 1 1 1
attractor138 2 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 0 0 -1 1 1 1 1 1 1 -1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 0 0 -1 1 -1 -1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 -1 -1 1 1 1 1 1 1 1
attractor141 2 1 1 1 0 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 -1 1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 1 -1 0 0 1 1 1 1 1 1 1 1 1 1 -1 1 -1 -1 1 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 0 1 1 -1 1 0 1 -1 1 1 1 1 0
attractor147 2 -1 1 1 -1 1 1 -1 1 1 1 -1 -1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 -1 0 1 0 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 -1 1 1 1 1 1 1
attractor149 2 1 1 -1 -1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 -1 1 0 1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 1 1 0 1 1 1 -1 1 1 1 1 -1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 -1 1 1 1 1 1
attractor151 2 -1 1 -1 1 -1 1 -1 1 1 1 1 1 -1 1 -1 1 1 1 0 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 -1 -1 0 0 1 1 1 1 1 1 1 -1 -1 1 1 1 -1 1 1 0 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1
attractor154 2 -1 1 -1 1 -1 1 1 1 -1 -1 1 1 1 -1 1 1 1 -1 1 1 1 -1 1 1 -1 -1 1 -1 1 1 1 1 1 -1 1 0 1 -1 1 1 1 1 1 1 -1 -1 1 1 1 -1 -1 -1 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 -1 1 -1 0 1 1 -1 1 1 -1 1 0 0 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 0
attractor155 2 -1 -1 1 0 1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 0 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 1 0 0 0 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 -1 1 -1 1 1 -1 1 1 1 1 0 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 1
attractor156 2 -1 1 -1 -1 -1 -1 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 -1 1 0 1 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 1 1 0 1 1 1 -1 1 0 -1 1 1 1 1 1 0
attractor158 2 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 -1 -1 0 1 0 1 1 1 1 1 1 -1 -1 1 1 -1 1 1 1 1 1 1 1 -1 -1 1 -1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1
attractor170 2 1 1 -1 1 -1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 0 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 0 0 1 1 1 1 -1 1 1 1 -1 1 0 1 -1 -1 1 0 1 0 1 1 -1 1 1 1 -1 1 1 1 -1 -1 1 1 0 0 -1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 -1 1 1 1 1 1 1
attractor174 2 1 1 1 -1 -1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 -1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 0 1 1 1 1 1 1 0
attractor180 2 -1 -1 -1 1 1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 0 1 0 1 -1 -1 1 1 1 1 -1 1 1 -1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 1 1 -1 1 1 1 1 1 -1 1 1 -1 1 1 1 -1 1 1 1 1 1
attractor184 2 -1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 0 0 -1 1 1 1 1 1 1 1 1 1 1 -1 -1 -1 1 1 1 1 1 1 1 -1 1 1 1 -1 1 1 -1 -1 1 1 1 0 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1
attractor186 2 1 1 -1 -1 -1 1 1 1 1 -1 1 1 1 1 -1 1 1 -1 -1 -1 1 -1 1 1 1 1 1 1 -1 1 -1 -1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 -1 1 1 1 -1 -1 -1 0 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 0 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 -1 1 1 1 1 0 0 1 1 -1 1 1 1 1 1 1 1 1 0
attractor187 2 1 1 1 0 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 1 0 0 0 1 1 -1 -1 1 1 1 0 0 1 -1 1 1 1 -1 0 -1 1 1 -1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 0 1 1 1 1 1 1 0
attractor188 2 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 -1 -1 0 1 1 1 -1 1 1 1 1 -1 -1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1
attractor191 2 -1 -1 1 -1 -1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 -1 0 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 -1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 0 0 1 1 -1 1 1 1 -1 1 1 1 1 0
attractor192 2 1 1 -1 0 -1 1 1 1 1 1 1 1 1 1 -1 1 1 -1 0 -1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 0 0 1 1 1 1 1 1 1 1 1 1 0 -1 1 1 -1 1 0 0 0 1 -1 1 1 1 -1 1 1 0 1 1 -1 1 0 1 -1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1
attractor193 2 1 1 1 0 -1 -1 1 1 1 1 1 1 1 1 -1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 0 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 -1 0 0 0 0 1 -1 1 1 1 1 1 1 0 1 1 1 1 -1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 -1 -1 1 -1 1 1 1 1 1 0 1 1 -1 1 0 1 1 0 1 1 1 0
attractor196 2 1 -1 -1 1 -1 1 1 1 -1 1 -1 1 1 1 1 1 1 -1 -1 -1 1 1 1 1 1 1 1 1 -1 1 1 1 0 -1 1 0 0 -1 1 1 1 1 1 1 -1 -1 1 -1 -1 1 1 1 0 0 0 0 -1 -1 -1 1 1 -1 1 1 0 -1 1 -1 1 1 0 1 1 -1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 -1 1 1 1 -1 -1 1 1 1 1 1 1 1 1 -1 1 -1 1 -1 1 1 0 1 1 1 1
attractor198 2 -1 -1 1 1 -1 1 1 1 -1 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 -1 0 0 -1 1 1 1 1 1 1 1 -1 1 1 -1 1 -1 1 0 0 0 0 1 -1 1 1 1 -1 -1 1 1 1 1 -1 1 0 0 -1 1 -1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -1 1 -1 1 1 1 1 1 1 1
