A_hierarchical_2 A_hierarchical_3 A_KM_2 B_KM_2 B_KM_3 C_km_2 C_km_3 D_hierarchical_3 D_hierarchical_4 D_km_2 E_hierarchical_2 E_hierarchical_3 E_km_2 F_hierarchical_10 F_km_2 F_km_3
attractor54 1 1 2 1 3 2 3 2 3 2 1 3 2 2 2 2
attractor55 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor56 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor57 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor58 1 1 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor59 1 1 1 1 3 1 3 2 3 2 1 1 1 2 2 2
attractor60 1 1 2 1 3 2 1 2 3 2 1 1 2 2 2 2
attractor61 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor62 1 1 1 2 2 1 3 2 2 2 1 1 1 2 2 2
attractor63 1 3 1 2 2 1 1 2 2 1 1 1 1 1 1 1
attractor64 1 3 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor65 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor66 1 3 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor67 1 3 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor68 1 1 1 1 3 1 1 2 3 2 1 3 1 2 2 2
attractor69 1 1 1 1 3 1 3 2 3 2 2 2 1 2 2 2
attractor70 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor71 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor72 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor73 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 2
attractor74 2 2 2 1 3 2 2 2 3 2 2 2 2 2 2 2
attractor75 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor76 1 1 1 1 3 1 3 2 2 2 1 1 1 5 2 2
attractor77 1 1 2 2 2 2 3 2 2 2 1 1 2 2 1 1
attractor78 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor79 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor80 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor81 1 1 2 1 1 2 1 2 2 2 2 2 2 2 2 3
attractor82 2 2 1 2 2 1 1 1 1 1 1 3 1 6 1 1
attractor83 1 1 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor84 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor85 1 1 2 2 2 2 1 2 2 2 2 2 2 1 1 1
attractor86 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor87 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor88 1 3 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor89 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor90 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor91 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor92 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor93 1 3 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor94 1 1 1 1 3 1 1 3 4 2 1 1 1 1 2 2
attractor95 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor96 1 1 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor97 1 1 1 1 3 1 3 2 2 2 1 3 1 2 2 2
attractor98 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor99 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor100 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor101 2 2 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor102 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor103 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor104 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor105 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor106 1 1 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor107 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
