A_hierarchical_2 A_hierarchical_3 A_KM_2 B_KM_2 B_KM_3 C_km_2 C_km_3 D_hierarchical_3 D_hierarchical_4 D_km_2 E_hierarchical_2 E_hierarchical_3 E_km_2 F_hierarchical_10 F_km_2 F_km_3
attractor727 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor728 1 1 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor729 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor730 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor731 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor732 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor733 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor734 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor735 1 1 1 1 3 1 1 2 2 2 1 1 1 4 2 3
attractor736 2 2 1 1 1 1 1 2 2 2 1 1 1 8 2 3
attractor737 1 1 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor738 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 2
attractor739 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor740 2 2 1 1 3 1 3 2 3 2 1 1 1 2 2 2
attractor741 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 3
attractor742 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor743 1 3 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor744 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor745 1 1 2 2 2 2 3 1 1 1 1 3 2 3 1 1
attractor746 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor747 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor748 2 2 2 1 3 2 2 2 3 2 1 1 2 1 2 2
attractor749 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor750 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor751 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor752 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor753 1 1 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor754 1 1 1 1 1 1 3 2 2 2 2 2 1 4 2 3
attractor755 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor756 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor757 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor758 1 1 1 1 1 1 1 2 2 2 1 1 1 2 1 3
attractor759 1 1 1 2 2 1 1 2 2 2 2 2 1 10 2 2
attractor760 1 1 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor761 2 2 2 1 3 2 3 2 2 2 1 1 2 2 2 2
attractor762 2 2 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor763 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor764 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor765 1 1 2 2 2 2 2 1 1 1 1 3 2 1 1 1
attractor766 1 1 2 2 2 2 3 3 4 1 2 2 2 1 1 1
attractor767 1 1 2 2 2 2 1 1 1 1 1 3 2 1 1 1
attractor768 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor769 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor770 1 1 1 1 3 1 1 2 2 2 2 2 1 4 2 2
attractor771 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor772 2 2 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor773 2 2 1 1 1 1 1 2 3 2 1 1 1 2 2 3
attractor774 1 1 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor775 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor776 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2
attractor777 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor778 2 2 1 1 3 1 3 2 3 2 2 2 1 2 2 2
attractor779 1 3 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor780 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor781 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor782 1 3 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor783 1 1 2 1 3 2 1 2 2 2 1 1 2 3 2 2
attractor784 2 2 1 2 2 1 3 2 2 2 1 1 1 1 1 1
attractor785 1 1 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor786 2 2 1 1 1 1 3 2 2 2 1 1 1 2 2 2
attractor787 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor788 1 1 1 1 1 1 3 2 2 2 1 1 1 3 2 2
attractor789 1 1 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor790 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor791 1 1 2 1 1 2 1 2 2 2 2 2 2 2 2 3
attractor792 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor793 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor794 2 2 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor795 1 1 2 2 2 2 3 2 2 1 2 2 2 1 1 1
attractor796 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor797 1 1 2 1 3 2 1 2 3 2 1 1 2 2 2 2
attractor798 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor799 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor800 1 1 2 2 2 2 2 2 2 2 2 2 2 1 1 3
attractor801 1 3 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor802 1 1 2 1 3 2 1 2 2 2 1 3 2 2 2 2
attractor803 1 1 1 1 1 1 3 2 2 2 2 2 1 4 2 3
attractor804 2 2 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor805 1 3 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor806 1 3 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor807 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor808 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor809 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor810 1 1 1 1 3 1 1 2 3 2 2 2 1 2 2 2
attractor811 2 2 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor812 1 1 1 2 2 1 1 3 4 1 2 2 1 1 1 1
attractor813 1 1 2 1 1 2 3 2 2 2 1 1 2 2 2 3
attractor814 2 2 2 2 2 2 2 1 1 1 1 3 2 1 1 1
attractor815 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor816 1 1 2 1 3 2 2 2 3 2 2 2 2 2 2 2
attractor817 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor818 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor819 2 2 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor820 1 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1
attractor821 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor822 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor823 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor824 1 1 2 2 2 2 2 2 2 1 1 1 2 1 1 1
attractor825 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor826 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor827 2 2 2 1 3 2 3 2 2 2 1 1 2 2 2 2
attractor828 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor829 2 2 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor830 1 1 2 2 2 2 1 3 4 1 1 1 2 1 1 1
attractor831 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor832 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor833 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor834 1 1 1 1 1 1 1 2 2 2 1 3 1 2 2 2
attractor835 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor836 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor837 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor838 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 3
attractor839 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor840 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor841 2 2 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor842 1 1 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor843 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor844 2 2 2 2 2 2 3 2 2 2 2 2 2 1 1 1
attractor845 1 3 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor846 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor847 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor848 2 2 2 2 2 2 2 3 4 1 1 1 2 1 1 1
attractor849 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor850 2 2 2 2 2 2 2 2 2 2 1 3 2 1 1 1
attractor851 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor852 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor853 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor854 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor855 1 1 2 2 2 2 1 1 1 1 2 2 2 1 1 1
attractor856 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor857 2 2 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor858 2 2 2 1 3 2 3 2 3 2 1 1 2 2 2 2
attractor859 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor860 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 3
attractor861 2 2 1 2 2 1 1 2 2 1 1 1 1 1 1 1
attractor862 1 1 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor863 1 1 1 1 3 1 3 2 3 2 1 1 1 2 2 2
attractor864 1 1 2 2 2 2 1 1 1 1 2 2 2 1 1 1
attractor865 1 1 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor866 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor867 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor868 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor869 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor870 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor871 2 2 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor872 2 2 2 2 2 2 3 1 1 1 2 2 2 1 1 1
attractor873 1 3 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor874 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor875 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor876 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor877 1 1 2 1 1 2 2 2 2 2 1 3 2 2 2 2
attractor878 1 1 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor879 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 3
attractor880 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor881 2 2 2 1 3 2 2 2 3 2 1 1 2 2 2 2
attractor882 1 1 2 1 3 2 1 2 2 2 1 3 2 2 2 2
attractor883 1 1 1 1 1 1 1 2 2 2 1 3 1 2 2 2
attractor884 2 2 1 2 2 1 3 1 1 1 1 1 1 1 1 1
attractor885 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 3
attractor886 2 2 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor887 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor888 1 1 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor889 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor890 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor891 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor892 1 3 1 1 1 1 1 3 4 1 2 2 1 1 1 3
attractor893 1 3 2 1 1 2 2 2 2 2 2 2 2 2 2 2
attractor894 1 1 2 2 2 2 3 2 3 2 2 2 2 1 1 1
attractor895 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor896 1 1 2 1 1 2 2 2 2 2 1 3 2 2 2 3
attractor897 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor898 1 1 2 1 3 2 2 3 4 2 1 3 2 2 2 2
attractor899 1 1 1 1 1 1 1 2 2 2 2 2 1 4 2 3
attractor900 2 2 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor901 1 1 1 2 2 1 1 3 4 1 2 2 1 1 1 1
attractor902 1 1 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor903 1 1 1 2 2 1 1 2 2 1 1 1 1 1 1 1
attractor904 1 3 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor905 2 2 2 2 2 2 3 1 1 1 1 1 2 1 1 1
attractor906 1 1 2 2 2 2 1 2 2 2 2 2 2 1 1 1
attractor907 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor908 2 2 1 2 2 1 3 1 1 1 2 2 1 1 1 1
attractor909 1 1 2 1 1 2 2 2 2 2 1 3 2 2 2 2
attractor910 1 1 2 1 3 2 1 2 3 2 1 3 2 1 2 2
attractor911 1 1 2 1 3 2 3 2 2 2 1 3 2 2 2 2
attractor912 2 2 2 2 2 2 2 1 1 1 1 3 2 2 1 1
attractor913 1 1 1 2 2 1 3 1 1 1 1 1 1 2 1 1
attractor914 2 2 2 1 3 2 2 2 2 2 1 3 2 2 2 2
attractor915 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor916 1 1 2 1 1 2 3 2 2 2 2 2 2 2 2 3
attractor917 1 3 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor918 1 1 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor919 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor920 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor921 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor922 2 2 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor923 1 3 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor924 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor925 1 1 2 1 1 2 3 2 2 2 1 1 2 2 2 3
attractor926 1 1 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor927 1 1 2 2 2 2 2 2 2 2 1 3 2 2 1 3
attractor928 2 2 1 1 3 1 1 2 3 2 1 3 1 2 2 2
attractor929 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor930 2 2 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor931 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor932 2 2 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor933 1 1 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor934 1 1 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor935 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor936 2 2 2 2 2 2 2 1 1 1 1 3 2 1 1 1
attractor937 1 1 1 1 1 1 1 2 2 2 1 3 1 2 2 3
attractor938 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor939 1 1 1 2 2 1 1 1 1 1 2 2 1 1 1 1
attractor940 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor941 2 2 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor942 2 2 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor943 1 1 1 1 1 1 1 2 2 2 1 3 1 9 2 3
attractor944 1 1 1 2 2 1 1 3 4 1 1 1 1 1 1 1
attractor945 2 2 2 2 2 2 1 1 1 1 1 1 2 1 1 1
attractor946 1 1 1 1 1 1 2 2 2 2 2 2 1 2 2 3
attractor947 2 2 2 1 3 2 3 2 2 2 2 2 2 2 2 2
attractor948 2 2 1 2 2 1 1 2 2 2 1 1 1 2 2 3
attractor949 2 2 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor950 2 2 1 1 1 1 1 2 2 2 1 1 1 2 2 3
attractor951 1 1 1 1 1 1 3 2 2 2 1 1 1 3 2 3
attractor952 1 1 2 2 2 2 2 1 1 1 1 3 2 1 1 1
attractor953 1 1 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor954 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor955 2 2 1 1 3 1 3 2 3 2 2 2 1 2 2 2
attractor956 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor957 2 2 2 2 2 2 2 2 2 2 1 3 2 1 1 1
attractor958 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor959 1 3 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor960 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 3
attractor961 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor962 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor963 2 2 1 1 3 1 1 2 2 2 1 3 1 2 2 2
attractor964 1 3 1 2 2 1 1 3 4 1 2 2 1 1 1 1
attractor965 1 1 2 2 2 2 1 1 1 1 1 3 2 1 1 1
attractor966 2 2 2 1 1 2 2 2 3 2 1 1 2 2 2 3
attractor967 1 1 1 1 1 1 3 2 2 2 2 2 1 2 2 3
attractor968 1 3 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor969 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor970 1 1 1 1 3 1 1 2 2 2 2 2 1 2 2 2
attractor971 2 2 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor972 1 1 2 2 2 2 2 1 1 1 2 2 2 1 1 1
attractor973 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor974 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor975 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor976 2 2 1 2 2 1 1 1 1 1 1 1 1 1 1 1
attractor977 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor978 1 1 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor979 1 1 1 1 1 1 3 2 2 2 1 1 1 2 2 3
attractor980 2 2 2 1 1 2 2 2 2 2 1 1 2 2 2 3
attractor981 2 2 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor982 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
attractor983 2 2 2 2 2 2 2 3 4 1 2 2 2 1 1 1
attractor984 1 1 1 1 3 1 3 2 2 2 2 2 1 2 2 2
attractor985 1 1 2 1 3 2 1 2 2 2 1 1 2 2 2 2
attractor986 2 2 2 2 2 2 2 1 1 1 1 1 2 2 1 1
attractor987 1 1 1 1 3 1 1 2 2 2 1 1 1 2 2 2
attractor988 1 1 2 2 2 2 2 3 4 1 1 1 2 1 1 1
attractor989 2 2 2 2 2 2 2 1 1 1 1 3 2 1 1 1
attractor990 1 1 1 1 3 1 3 2 3 2 1 1 1 2 2 2
attractor991 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 3
attractor992 1 3 1 1 1 1 1 2 2 2 2 2 1 2 2 3
attractor993 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor994 1 3 2 2 2 2 2 1 1 1 1 1 2 1 1 1
attractor995 2 2 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor996 1 1 2 1 3 2 2 3 4 2 1 1 2 1 2 2
attractor997 1 3 2 1 3 2 2 2 2 2 1 1 2 2 2 2
attractor998 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 3
attractor999 1 1 1 1 3 1 3 2 2 2 1 1 1 2 2 2
attractor1000 1 1 2 1 3 2 2 2 2 2 2 2 2 2 2 2
