ID	average_intensity
B4DK95	3.4
B4DKF8	3.24
B4DKL4	22.1
B4DKV0	0.428
B4DL13	9.52
B4DL14	2690.0
B4DL54	28.8
B4DL79	4.77
B4DLE8	1.41
B4DLH4	793.0
B4DLN1	619.0
B4DLN5	11.5
B4DLQ9	56.4
B4DLT4	1640.0
B4DLZ9	1.36
B4DME1	47.0
B4DME4	65.7
B4DMG5	13.4
B4DMM8	8.87
B4DMU4	49.9
B4DN00	235.0
B4DN25	301.0
B4DN45	967.0
B4DN60	1610.0
B4DN67	10.9
B4DN88	98.2
B4DNE4	898.0
B4DNG9	2.97
B4DNI9	13.3
B4DNK1	20.2
B4DNL6	699.0
B4DNM1	29.9
B4DNT0	554.0
B4DNY1	3.04
B4DP11	6370.0
B4DP36	7.32
B4DP62	427.0
B4DP98	20.8
B4DPF6	60.9
B4DPJ6	1470.0
B4DPR4	51.7
B4DPY6	4.37
B4DPY8	84.9
B4DQ14	403.0
B4DQ19	614.0
B4DQ51	38.9
B4DQA8	31.4
B4DQH9	3.12
B4DQI6	229.0
B4DQR4	1560.0
B4DQU7	8.45
B4DQW8	514.0
B4DQX7	1130.0
B4DR12	0.561
B4DR13	119.0
B4DR63	964.0
B4DR67	142.0
B4DR80	259.0
B4DRD1	1.55
B4DRF9	109.0
B4DRL9	20.4
B4DRW9	35.3
B4DS44	5.59
B4DS49	42.3
B4DS52	4.76
B4DS55	2.82
B4DS61	249.0
B4DSJ8	4.55
B4DSL5	10.6
B4DSM5	2.27
B4DT31	1930.0
B4DT35	113.0
B4DT77	571.0
B4DT96	25.8
B4DTD1	10.1
B4DTE2	44.9
B4DTE8	1.87
B4DTG6	65.6
B4DTJ5	36.9
B4DTL2	26.6
B4DTN4	22.6
B4DTU0	76.6
B4DTU4	7.55
B4DTZ6	16.1
B4DU04	162.0
B4DU28	45.9
B4DUB9	10.6
B4DUE9	1.87
B4DUL4	157.0
B4DUR8	4520.0
B4DUT8	1400.0
B4DUV4	167.0
B4DUV6	121.0
B4DV59	17.5
B4DV65	119.0
B4DVE7	784.0
B4DVK3	17.8
B4DVN5	529.0
B4DVQ4	14.4
B4DVV9	100.0
B4DVY1	691.0
B4DW59	738.0
B4DW73	783.0
B4DWB0	12.4
B4DWD7	0.938
B4DWJ1	229.0
B4DWL3	313.0
B4DWR7	0.527
B4DWR9	28.4
B4DWT1	836.0
B4DWW1	514.0
B4DWZ0	101.0
B4DX30	15.0
B4DX66	15.4
B4DXM1	2.11
B4DXP9	646.0
B4DXW1	2470.0
B4DXW4	97.4
B4DXY7	1110.0
B4DXZ6	154.0
B4DY08	11500.0
B4DY35	228.0
B4DY49	3.84
B4DYB4	130.0
B4DYV5	55.9
B4DZ70	144.0
B4DZ91	0.289
B4DZG6	25.1
B4DZH0	3.54
B4DZM8	627.0
B4DZU5	1.11
B4E024	0.907
B4E040	224.0
B4E0G8	384.0
B4E0K5	217.0
B4E0K6	57.7
B4E0Q3	1.96
B4E0T7	1.5
B4E0V0	764.0
B4E0W6	4.1
B4E0X2	37.7
B4E107	3.59
B4E1G1	288.0
B4E1J0	34.5
B4E1K0	6.42
B4E1Q4	7.92
B4E1S6	2.53
B4E241	3660.0
B4E283	388.0
B4E2C0	3.19
B4E2G4	16.6
B4E2I7	331.0
B4E2S7	921.0
B4E2V1	459.0
B4E2V5	1.26
B4E2W0	3370.0
B4E3C4	680.0
B4E3E5	0.406
B4E3H6	4.03
B4E3L3	0.0747
B4E3P0	2310.0
B4E3U2	4.1
B5LY68	290.0
B5MBZ0	22.1
B5MC38	10.5
B5MC53	3.05
B5MC59	686.0
B5MC72	17.9
B5MCC5	20.2
B5MCC7	764.0
B5MCI0	0.482
B5MCP5	3.92
B5MCR8	11.4
B5MCW3	7.54
B5MCW9	24.1
B5MCX3	1890.0
B5MCX7	2.63
B5MD38	2880.0
B5MD58	10.5
B5MD87	575.0
B5MDE0	17.1
B5MDL5	1.46
B5MDZ7	22.5
B5ME19	462.0
B5ME25	1.15
B5ME91	951.0
B5MEE5	39.1
B5MEG9	522.0
B7WP27	4.09
B7WPF4	20.8
B7Z1C6	0.812
B7Z1E9	15.5
B7Z1G9	69.7
B7Z1J9	44.1
B7Z1N3	34.4
B7Z230	108.0
B7Z233	1210.0
B7Z254	4580.0
B7Z265	1.66
B7Z2L0	5.43
B7Z2S5	270.0
B7Z2X9	11300.0
B7Z2Y5	14.9
B7Z321	71.7
B7Z341	237.0
B7Z367	34.1
B7Z3B5	72.0
B7Z3D5	27.3
B7Z3I9	43.6
B7Z3M9	14.7
B7Z3R2	0.895
B7Z3T9	3.31
B7Z3X2	0.557
B7Z3Z9	682.0
B7Z403	612.0
B7Z452	631.0
B7Z463	736.0
B7Z468	862.0
B7Z493	84.4
B7Z4K6	83.3
B7Z4L4	2040.0
B7Z4M0	165.0
B7Z4Q3	444.0
B7Z4R0	143.0
B7Z4V9	30.5
B7Z509	165.0
B7Z514	630.0
B7Z524	73.3
B7Z528	166.0
B7Z594	243.0
B7Z5R1	41.8
B7Z5W1	320.0
B7Z5W8	1050.0
B7Z5X7	13.0
B7Z5Z4	4.61
B7Z651	13.9
B7Z660	3.17
B7Z683	42.3
B7Z686	14.1
B7Z6A8	306.0
B7Z6B8	2640.0
B7Z6E8	1.12
B7Z6I5	130.0
B7Z6L5	672.0
B7Z6M1	1600.0
B7Z6P0	247.0
B7Z6P2	18.0
B7Z6Q6	4.85
B7Z6U3	0.341
B7Z6V3	5.4
B7Z6Z4	6050.0
B7Z7A3	305.0
B7Z7A5	108.0
B7Z7A9	17000.0
B7Z7B0	13.6
B7Z7D6	74.2
B7Z7G5	0.0656
B7Z7M6	2.71
B7Z7P0	6.53
B7Z7X8	28.1
B7Z7Z8	541.0
B7Z817	22.8
B7Z840	380.0
B7Z8H7	160.0
B7Z8R1	124.0
B7Z8Z3	0.536
B7Z952	173.0
B7Z9C2	957.0
B7Z9D5	151.0
B7Z9I1	723.0
B7Z9I3	18.0
B7Z9K1	237.0
B7Z9L0	4390.0
B7Z9L2	642.0
B7Z9S8	200.0
B7Z9U9	715.0
B7ZAP0	59.4
B7ZAQ6-2	7.01
B7ZAR1	3730.0
B7ZAV6	2520.0
B7ZAX5	58.3
B7ZBG9	1440.0
B7ZBJ4	0.605
B7ZBQ3	25.6
B7ZC06	10.9
B7ZKK9	82.8
B7ZL90	2.55
B7ZLQ8	2.52
B7ZLZ2	16.5
B7ZM82	2.85
B7ZMI3	22.3
B8ZZ43	729.0
B8ZZ54	35100.0
B8ZZ77	27.0
B8ZZ80	13.9
B8ZZA8	640.0
B8ZZC9	2970.0
B8ZZD4	21.8
B8ZZD8	19.1
B8ZZF0	43.0
B8ZZG1	4.69
B8ZZJ1	112.0
B8ZZJ9	46.2
B8ZZK5	8.47
B8ZZQ4	311.0
B8ZZQ6	3130.0
B8ZZS2	13.0
B8ZZW2	4.81
B8ZZY8	40.4
B9A008	56.9
B9A053	41.4
B9A054	0.986
B9A057	21.3
B9A058	210.0
B9EG97	5.83
