ID,Ensembl ID,UniProt ID,Average Intensity
ENO2,ENSG00000111674,P09104,12491.47364
S100A4,ENSG00000196154,P26447,11932.19609
RPS12,ENSG00000112306,P25398,11581.78498
CALR,ENSG00000179218,P27797,11484.15657
YWHAB,ENSG00000166913,P31946-2,11450.55407
EEF1B2,ENSG00000114942,P24534,11229.0762
RPS14,ENSG00000164587,P62263,10897.39053
RACK1,ENSG00000204628,P63244,10809.4564
RAN,ENSG00000132341,P62826,10696.01409
HINT1,ENSG00000169567,P49773,10645.332
EEF2,ENSG00000167658,P13639,10592.84214
ACTN1,ENSG00000072110,"P12814,P12814-2",10432.63376
EIF6,ENSG00000242372,P56537,10295.33159
SOD1,ENSG00000142168,P00441,10270.28501
HNRNPK,ENSG00000165119,"P61978,P61978-2,P61978-3",10232.05595
GSTP1,ENSG00000084207,P09211,10071.65797
TPT1,ENSG00000133112,P13693,9412.390327
LMNA,ENSG00000160789,"P02545,P02545-2,P02545-3",9367.947382
SLC25A5,ENSG00000005022,P05141,9292.036188
TMSB4X,ENSG00000205542,P62328,9246.253663
CTSD,ENSG00000117984,P07339,9217.536368
YWHAQ,ENSG00000134308,P27348,9207.799303
EEF1D,ENSG00000104529,"P29692-2,P29692-3",9197.146675
PCBP2,ENSG00000197111,"Q15366,Q15366-2,Q15366-3,Q15366-5",8995.074658
SLC25A6,ENSG00000169100,P12236,8531.957031
HNRNPC,ENSG00000092199,"P07910,P07910-2",8443.051353
BANF1,ENSG00000175334,O75531,8395.651797
TUBAL3,ENSG00000178462,A6NHL2-2,8287.637231
WDR1,ENSG00000071127,O75083,8148.357804
HSPA2,ENSG00000126803,P54652,7936.827387
FLNB,ENSG00000136068,"O75369-2,O75369-8",7820.104355
PRDX2,ENSG00000167815,P32119,7773.226247
PCBP1,ENSG00000169564,Q15365,7750.478658
HSP90B1,ENSG00000166598,P14625,7737.205232
RPS3,ENSG00000149273,P23396,7656.91223
HMGA1,ENSG00000137309,"P17096,P17096-2",7540.430791
GLO1,ENSG00000124767,Q04760,7508.842388
RPL30,ENSG00000156482,P62888,7432.643239
RPS28,ENSG00000233927,P62857,7410.311547
RPL23,ENSG00000125691,P62829,7331.202638
TKT,ENSG00000163931,P29401,7286.788438
RPS21,ENSG00000171858,P63220,7243.384019
EEF1G,ENSG00000254772,P26641,7225.096996
STMN1,ENSG00000117632,P16949,7223.21413
RPL38,ENSG00000172809,P63173,7221.339389
RPL12,ENSG00000197958,P30050,7086.517301
MYL12B,ENSG00000118680,O14950,7052.296875
MYH9,ENSG00000100345,P35579,7050.66298
MYL12A,ENSG00000101608,P19105,7012.34319
PEBP1,ENSG00000089220,P30086,6926.460481
PRDX6,ENSG00000117592,P30041,6892.508091
RPS27L,ENSG00000185088,Q71UM5,6761.108499
RPS27,ENSG00000177954,P42677,6712.449617
FLNA,ENSG00000196924,P21333-2,6628.051348
RPL7A,ENSG00000148303,P62424,6626.615397
YWHAG,ENSG00000170027,P61981,6613.047793
LASP1,ENSG00000002834,Q14847,6600.210878
EIF4A2,ENSG00000156976,Q14240,6583.703035
HNRNPH1,ENSG00000169045,P31943,6486.996355
