ID	Transpath peptides ID	Ensembl ID	Gene symbol ID
MO000089991	MO000089991	ENSG00000138160	KIF11
MO000090056	MO000090056	ENSG00000162772	ATF3
MO000090107	MO000090107	ENSG00000115414	FN1
MO000090114	MO000090114	ENSG00000115414	FN1
MO000090117	MO000090117	ENSG00000132522	GPS2
MO000090118	MO000090118	ENSG00000132522	GPS2
MO000090312	MO000090312	ENSG00000104852	SNRNP70
MO000090340	MO000090340	ENSG00000132906	CASP9
MO000090630	MO000090630	ENSG00000197323	TRIM33
MO000090712	MO000090712	ENSG00000197122	SRC
MO000092099	MO000092099	ENSG00000197323	TRIM33
MO000092260	MO000092260	ENSG00000026103	FAS
MO000092287	MO000092287	ENSG00000161638	ITGA5
MO000092473	MO000092473	ENSG00000064012	CASP8
MO000092535	MO000092535	ENSG00000164305	CASP3
MO000092697	MO000092697	ENSG00000164305	CASP3
MO000093434	MO000093434	ENSG00000145675	PIK3R1
MO000093985	MO000093985	ENSG00000047410	TPR
MO000093986	MO000093986	ENSG00000047410	TPR
MO000094114	MO000094114	ENSG00000133226	SRRM1
MO000094115	MO000094115	ENSG00000133226	SRRM1
MO000094187	MO000094187	ENSG00000163932	PRKCD
MO000094398	MO000094398	ENSG00000170836	PPM1D
MO000094773	MO000094773	ENSG00000139618	BRCA2
MO000094794	MO000094794	ENSG00000165806	CASP7
MO000094810	MO000094810	ENSG00000143379	SETDB1
MO000095081	MO000095081	ENSG00000124762	CDKN1A
MO000095123	MO000095123	ENSG00000169679	BUB1
MO000095383	MO000095383	ENSG00000164109	MAD2L1
MO000095600	MO000095600	ENSG00000143207	RFWD2
MO000095615	MO000095615	ENSG00000131788	PIAS3
MO000095627	MO000095627	ENSG00000143207	RFWD2
MO000095668	MO000095668	ENSG00000164305	CASP3
MO000096187	MO000096187	ENSG00000166851	PLK1
MO000096268	MO000096268	ENSG00000132906	CASP9
MO000096604	MO000096604	ENSG00000064012	CASP8
MO000097549	MO000097549	ENSG00000064012	CASP8
MO000097639	MO000097639	ENSG00000115317	HTRA2
MO000098066	MO000098066	ENSG00000166313	APBB1
MO000098164	MO000098164	ENSG00000048392	RRM2B
MO000098166	MO000098166	ENSG00000048392	RRM2B
MO000098606	MO000098606	ENSG00000164305	CASP3
MO000099566	MO000099566	ENSG00000165119	HNRNPK
MO000100468	MO000100468	ENSG00000196230	TUBB
MO000100469	MO000100469	ENSG00000196230	TUBB
MO000100544	MO000100544	ENSG00000118898	PPL
MO000100558	MO000100558	ENSG00000170421	KRT8
MO000101494	MO000101494	ENSG00000039068	CDH1
MO000101495	MO000101495	ENSG00000039068	CDH1
MO000101713	MO000101713	ENSG00000169083	AR
MO000101714	MO000101714	ENSG00000169083	AR
MO000101761	MO000101761	ENSG00000120656	TAF12
MO000101938	MO000101938	ENSG00000125170	DOK4
MO000101939	MO000101939	ENSG00000125170	DOK4
MO000102132	MO000102132	ENSG00000158092	NCK1
MO000102172	MO000102172	ENSG00000105647	PIK3R2
MO000102186	MO000102186	ENSG00000141551	CSNK1D
MO000102187	MO000102187	ENSG00000141551	CSNK1D
MO000102313	MO000102313	ENSG00000130402	ACTN4
MO000102404	MO000102404	ENSG00000197971	MBP
MO000102417	MO000102417	ENSG00000114423	CBLB
MO000102457	MO000102457	ENSG00000072062	PRKACA
MO000102458	MO000102458	ENSG00000072062	PRKACA
MO000102547	MO000102547	ENSG00000170027	YWHAG
MO000103042	MO000103042	ENSG00000109320	NFKB1
MO000103118	MO000103118	ENSG00000171150	SOCS5
MO000103238	MO000103238	ENSG00000135605	TEC
MO000103525	MO000103525	ENSG00000165806	CASP7
MO000103622	MO000103622	ENSG00000164305	CASP3
MO000103679	MO000103679	ENSG00000105325	FZR1
MO000103759	MO000103759	ENSG00000123143	PKN1
MO000103911	MO000103911	ENSG00000077942	FBLN1
MO000103913	MO000103913	ENSG00000077942	FBLN1
MO000103923	MO000103923	ENSG00000077942	FBLN1
MO000103924	MO000103924	ENSG00000077942	FBLN1
MO000104289	MO000104289	ENSG00000165806	CASP7
MO000104360	MO000104360	ENSG00000113721	PDGFRB
MO000104454	MO000104454	ENSG00000165806	CASP7
MO000104614	MO000104614	ENSG00000080815	PSEN1
MO000105110	MO000105110	ENSG00000132906	CASP9
MO000106033	MO000106033	ENSG00000064012	CASP8
MO000106035	MO000106035	ENSG00000064012	CASP8
MO000106042	MO000106042	ENSG00000132906	CASP9
MO000106103	MO000106103	ENSG00000088986	DYNLL1
MO000106446	MO000106446	ENSG00000147065	MSN
MO000106897	MO000106897	ENSG00000064012	CASP8
MO000107319	MO000107319	ENSG00000106089	STX1A
MO000107321	MO000107321	ENSG00000106089	STX1A
MO000107562	MO000107562	ENSG00000132470	ITGB4
MO000107621	MO000107621	ENSG00000125753	VASP
MO000107625	MO000107625	ENSG00000141198	TOM1L1
MO000107626	MO000107626	ENSG00000141198	TOM1L1
MO000107765	MO000107765	ENSG00000064012	CASP8
MO000107766	MO000107766	ENSG00000165806	CASP7
MO000107769	MO000107769	ENSG00000165806	CASP7
MO000107850	MO000107850	ENSG00000138794	CASP6
MO000107854	MO000107854	ENSG00000137752	CASP1
MO000107859	MO000107859	ENSG00000137752	CASP1
MO000108349	MO000108349	ENSG00000137752	CASP1
MO000108619	MO000108619	ENSG00000064012	CASP8
MO000108947	MO000108947	ENSG00000068028	RASSF1
MO000108955	MO000108955	ENSG00000068028	RASSF1
MO000109118	MO000109118	ENSG00000123159	GIPC1
MO000109201	MO000109201	ENSG00000117153	KLHL12
MO000109203	MO000109203	ENSG00000117153	KLHL12
MO000109635	MO000109635	ENSG00000198959	TGM2
MO000109695	MO000109695	ENSG00000088325	TPX2
MO000109941	MO000109941	ENSG00000064012	CASP8
MO000110322	MO000110322	ENSG00000164104	HMGB2
MO000110737	MO000110737	ENSG00000061938	TNK2
MO000111161	MO000111161	ENSG00000115760	BIRC6
MO000111167	MO000111167	ENSG00000115760	BIRC6
MO000112576	MO000112576	ENSG00000130340	SNX9
MO000114120	MO000114120	ENSG00000148180	GSN
MO000114289	MO000114289	ENSG00000188313	PLSCR1
MO000114290	MO000114290	ENSG00000188313	PLSCR1
MO000115327	MO000115327	ENSG00000010810	FYN
MO000115482	MO000115482	ENSG00000066027	PPP2R5A
MO000115501	MO000115501	ENSG00000186318	BACE1
MO000115818	MO000115818	ENSG00000133226	SRRM1
MO000115894	MO000115894	ENSG00000196504	PRPF40A
MO000115895	MO000115895	ENSG00000196504	PRPF40A
MO000116466	MO000116466	ENSG00000186153	WWOX
MO000117396	MO000117396	ENSG00000157227	MMP14
MO000117413	MO000117413	ENSG00000198959	TGM2
MO000117419	MO000117419	ENSG00000198959	TGM2
MO000117420	MO000117420	ENSG00000198959	TGM2
MO000117421	MO000117421	ENSG00000198959	TGM2
MO000117447	MO000117447	ENSG00000006125	AP2B1
MO000117602	MO000117602	ENSG00000116017	ARID3A
MO000117786	MO000117786	ENSG00000145386	CCNA2
MO000117799	MO000117799	ENSG00000163565	IFI16
MO000118054	MO000118054	ENSG00000150093	ITGB1
MO000118402	MO000118402	ENSG00000005884	ITGA3
MO000118404	MO000118404	ENSG00000005884	ITGA3
MO000120186	MO000120186	ENSG00000109072	VTN
MO000120371	MO000120371	ENSG00000125730	C3
MO000121791	MO000121791	ENSG00000148660	CAMK2G
MO000121795	MO000121795	ENSG00000148660	CAMK2G
MO000121796	MO000121796	ENSG00000148660	CAMK2G
MO000122709	MO000122709	ENSG00000058335	RASGRF1
MO000122800	MO000122800	ENSG00000145675	PIK3R1
MO000124405	MO000124405	ENSG00000170004	CHD3
MO000124752	MO000124752	ENSG00000196405	EVL
MO000124754	MO000124754	ENSG00000196405	EVL
MO000125205	MO000125205	ENSG00000085117	CD82
MO000125206	MO000125206	ENSG00000085117	CD82
MO000125831	MO000125831	ENSG00000196352	CD55
MO000125832	MO000125832	ENSG00000196352	CD55
MO000125835	MO000125835	ENSG00000147526	TACC1
MO000125947	MO000125947	ENSG00000143153	ATP1B1
MO000125949	MO000125949	ENSG00000143153	ATP1B1
MO000126451	MO000126451	ENSG00000026508	CD44
MO000126454	MO000126454	ENSG00000026508	CD44
MO000126559	MO000126559	ENSG00000091409	ITGA6
MO000126623	MO000126623	ENSG00000151694	ADAM17
MO000127191	MO000127191	ENSG00000125730	C3
MO000127434	MO000127434	ENSG00000125730	C3
MO000127686	MO000127686	ENSG00000136448	NMT1
MO000127687	MO000127687	ENSG00000136448	NMT1
MO000127689	MO000127689	ENSG00000136448	NMT1
MO000127872	MO000127872	ENSG00000173402	DAG1
MO000127873	MO000127873	ENSG00000173402	DAG1
MO000128038	MO000128038	ENSG00000008710	PKD1
MO000128040	MO000128040	ENSG00000008710	PKD1
MO000128074	MO000128074	ENSG00000125730	C3
MO000128295	MO000128295	ENSG00000182492	BGN
MO000128999	MO000128999	ENSG00000096696	DSP
MO000129111	MO000129111	ENSG00000196961	AP2A1
MO000129600	MO000129600	ENSG00000163235	TGFA
MO000129618	MO000129618	ENSG00000109686	SH3D19
MO000129620	MO000129620	ENSG00000109686	SH3D19
MO000129621	MO000129621	ENSG00000109686	SH3D19
MO000129622	MO000129622	ENSG00000109686	SH3D19
MO000130009	MO000130009	ENSG00000006125	AP2B1
MO000130501	MO000130501	ENSG00000161057	PSMC2
MO000130808	MO000130808	ENSG00000171033	PKIA
MO000133058	MO000133058	ENSG00000077312	SNRPA
MO000133499	MO000133499	ENSG00000105426	PTPRS
MO000133500	MO000133500	ENSG00000105426	PTPRS
MO000133535	MO000133535	ENSG00000105426	PTPRS
MO000133979	MO000133979	ENSG00000148498	PARD3
MO000133994	MO000133994	ENSG00000148498	PARD3
MO000133997	MO000133997	ENSG00000197249	SERPINA1
MO000134001	MO000134001	ENSG00000197249	SERPINA1
MO000134396	MO000134396	ENSG00000189091	SF3B3
MO000134397	MO000134397	ENSG00000189091	SF3B3
MO000134727	MO000134727	ENSG00000177479	ARIH2
MO000134884	MO000134884	ENSG00000082781	ITGB5
MO000137189	MO000137189	ENSG00000197043	ANXA6
MO000137191	MO000137191	ENSG00000197043	ANXA6
MO000138335	MO000138335	ENSG00000113658	SMAD5
MO000139008	MO000139008	ENSG00000099940	SNAP29
MO000139098	MO000139098	ENSG00000118579	MED28
MO000139099	MO000139099	ENSG00000118579	MED28
MO000139410	MO000139410	ENSG00000085365	SCAMP1
MO000139666	MO000139666	ENSG00000135823	STX6
MO000139667	MO000139667	ENSG00000135823	STX6
MO000140381	MO000140381	ENSG00000116670	MAD2L2
MO000140511	MO000140511	ENSG00000168395	ING5
MO000140515	MO000140515	ENSG00000168395	ING5
MO000142179	MO000142179	ENSG00000171604	CXXC5
MO000143402	MO000143402	ENSG00000135924	DNAJB2
MO000143418	MO000143418	ENSG00000135924	DNAJB2
MO000143673	MO000143673	ENSG00000105855	ITGB8
MO000143844	MO000143844	ENSG00000133818	RRAS2
MO000144522	MO000144522	ENSG00000035115	SH3YL1
MO000144818	MO000144818	ENSG00000113140	SPARC
MO000144819	MO000144819	ENSG00000113140	SPARC
MO000144912	MO000144912	ENSG00000125743	SNRPD2
MO000144913	MO000144913	ENSG00000125743	SNRPD2
MO000145136	MO000145136	ENSG00000168078	PBK
MO000145244	MO000145244	ENSG00000120693	SMAD9
MO000146091	MO000146091	ENSG00000150991	UBC
MO000149964	MO000149964	ENSG00000115317	HTRA2
MO000151979	MO000151979	ENSG00000142864	SERBP1
MO000151980	MO000151980	ENSG00000142864	SERBP1
MO000152296	MO000152296	ENSG00000142864	SERBP1
MO000152297	MO000152297	ENSG00000142864	SERBP1
MO000153586	MO000153586	ENSG00000113070	HBEGF
MO000154412	MO000154412	ENSG00000108854	SMURF2
MO000154813	MO000154813	ENSG00000132906	CASP9
MO000155590	MO000155590	ENSG00000175216	CKAP5
MO000160418	MO000160418	ENSG00000064012	CASP8
MO000160419	MO000160419	ENSG00000164305	CASP3
MO000161681	MO000161681	ENSG00000151694	ADAM17
MO000164773	MO000164773	ENSG00000163565	IFI16
MO000165730	MO000165730	ENSG00000168610	STAT3
MO000167295	MO000167295	ENSG00000124788	ATXN1
MO000170261	MO000170261	ENSG00000137752	CASP1
MO000170878	MO000170878	ENSG00000013810	TACC3
MO000171006	MO000171006	ENSG00000169439	SDC2
MO000171374	MO000171374	ENSG00000137752	CASP1
MO000172355	MO000172355	ENSG00000076641	PAG1
MO000172481	MO000172481	ENSG00000080815	PSEN1
MO000173303	MO000173303	ENSG00000196754	S100A2
MO000178907	MO000178907	ENSG00000142798	HSPG2
MO000179426	MO000179426	ENSG00000135679	MDM2
MO000190094	MO000190094	ENSG00000100106	TRIOBP
MO000190095	MO000190095	ENSG00000100106	TRIOBP
MO000190482	MO000190482	ENSG00000134871	COL4A2
MO000196429	MO000196429	ENSG00000125730	C3
MO000196430	MO000196430	ENSG00000125730	C3
MO000196432	MO000196432	ENSG00000125730	C3
MO000196855	MO000196855	ENSG00000039068	CDH1
MO000196856	MO000196856	ENSG00000039068	CDH1
MO000197494	MO000197494	ENSG00000180370	PAK2
MO000197993	MO000197993	ENSG00000106799	TGFBR1
MO000199179	MO000199179	ENSG00000041982	TNC
MO000199335	MO000199335	ENSG00000104067	TJP1
MO000199336	MO000199336	ENSG00000104067	TJP1
MO000199509	MO000199509	ENSG00000101266	CSNK2A1
MO000201095	MO000201095	ENSG00000168056	LTBP3
MO000201096	MO000201096	ENSG00000168056	LTBP3
MO000201097	MO000201097	ENSG00000168056	LTBP3
MO000202530	MO000202530	ENSG00000166913	YWHAB
MO000207469	MO000207469	ENSG00000108821	COL1A1
MO000209040	MO000209040	ENSG00000135924	DNAJB2
MO000215079	MO000215079	ENSG00000183496	MEX3B
MO000215333	MO000215333	ENSG00000075643	MOCOS
MO000216313	MO000216313	ENSG00000152465	NMT2
MO000219259	MO000219259	ENSG00000132670	PTPRA
MO000219915	MO000219915	ENSG00000173156	RHOD
MO000222479	MO000222479	ENSG00000197321	SVIL
MO000223911	MO000223911	ENSG00000154310	TNIK
MO000223912	MO000223912	ENSG00000154310	TNIK
MO000223913	MO000223913	ENSG00000154310	TNIK
MO000254082	MO000254082	ENSG00000061938	TNK2
MO000254118	MO000254118	ENSG00000151694	ADAM17
MO000254363	MO000254363	ENSG00000186318	BACE1
MO000254442	MO000254442	ENSG00000012048	BRCA1
MO000254589	MO000254589	ENSG00000130177	CDC16
MO000254666	MO000254666	ENSG00000103266	STUB1
MO000254880	MO000254880	ENSG00000204209	DAXX
MO000255164	MO000255164	ENSG00000141736	ERBB2
MO000255430	MO000255430	ENSG00000047932	GOPC
MO000255432	MO000255432	ENSG00000114745	GORASP1
MO000255433	MO000255433	ENSG00000114745	GORASP1
MO000255573	MO000255573	ENSG00000080824	HSP90AA1
MO000255727	MO000255727	ENSG00000138448	ITGAV
MO000255924	MO000255924	ENSG00000182541	LIMK2
MO000256036	MO000256036	ENSG00000089022	MAPKAPK5
MO000256191	MO000256191	ENSG00000169032	MAP2K1
MO000256808	MO000256808	ENSG00000123143	PKN1
MO000256830	MO000256830	ENSG00000124181	PLCG1
MO000256857	MO000256857	ENSG00000140464	PML
MO000257000	MO000257000	ENSG00000142949	PTPRF
MO000257001	MO000257001	ENSG00000142949	PTPRF
MO000257387	MO000257387	ENSG00000143379	SETDB1
MO000257670	MO000257670	ENSG00000147526	TACC1
MO000257675	MO000257675	ENSG00000147526	TACC1
MO000257681	MO000257681	ENSG00000115750	TAF1B
MO000257720	MO000257720	ENSG00000101849	TBL1X
MO000259075	MO000259075	ENSG00000148498	PARD3
MO000259085	MO000259085	ENSG00000140464	PML
MO000273449	MO000273449	ENSG00000105329	TGFB1
MO000277218	MO000277218	ENSG00000149554	CHEK1
MO000279907	MO000279907	ENSG00000008710	PKD1
MO000286843	MO000286843	ENSG00000119335	SET
MO000293950	MO000293950	ENSG00000137752	CASP1
MO000308687	MO000308687	ENSG00000164305	CASP3
MO000316553	MO000316553	ENSG00000014216	CAPN1
MO000318792	MO000318792	ENSG00000130402	ACTN4
MO000328354	MO000328354	ENSG00000197321	SVIL
MO000333783	MO000333783	ENSG00000140443	IGF1R
