Gene_Symbol	MCF10A_1_FPKM	MCF10A_2_FPKM	MCF10A_3_FPKM	MCF10A_4_FPKM	MDA_MB-231_1_FPKM	MDA_MB-231_2_FPKM	MDA_MB-231_3_FPKM	MDA_MB-231_4_FPKM	MDA_MB-231/MCF10A.fc	MDA_MB-231/MCF10A.baseMean	MDA_MB-231/MCF10A.lfcSE	MDA_MB-231/MCF10A.stat	MDA_MB-231/MCF10A.raw.pval	MDA_MB-231/MCF10A.bh.pval	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4	MCF10A_1_Read_Count	MCF10A_2_Read_Count	MCF10A_3_Read_Count	MCF10A_4_Read_Count	MDA_MB-231_1_Read_Count	MDA_MB-231_2_Read_Count	MDA_MB-231_3_Read_Count	MDA_MB-231_4_Read_Count
ABL1	27.502097	16.130784	26.902269	22.520935	17.368583	16.094066	17.381446	18.002204	-1.541928333	1565.172387	0.146110327	-4.275780665	1.90469E-05	7.29913E-05	10.89117442	10.26578734	10.85909265	10.54758773	10.8229175	10.80052128	10.43212696	10.34419772	10.40961649	10.40620234	1749	1712	2165	1807	1104	962	1415	1676
ABL2	8.685357	2.479108	5.97955	7.923719	14.590786	10.505542	15.917486	7.320243	1.614267623	1423.246445	0.394428296	1.751597906	0.079842973	0.127318009	10.0887512	10.77932609	10.42313316	9.5666919	10.12223624	10.47114229	10.79890777	10.47942213	10.85477899	10.20238303	1167	543	1051	1363	1851	1260	2591	1465
ABR	29.266029	36.967205	38.648497	36.816661	31.328291	24.781226	36.049219	24.277129	-1.531826042	2078.467009	0.21856676	-2.814940711	0.004878623	0.010940107	11.29623354	10.6813476	10.86168305	11.28222167	11.19831123	11.27985228	10.93316454	10.68742773	10.91880592	10.64380031	1455	3313	2773	2601	1648	1190	2135	1816
ACAA1	21.62521	13.720616	20.328784	15.284647	12.866588	10.135984	13.885368	11.014067	-1.762712943	355.2695825	0.172684781	-4.735782422	2.18212E-06	9.95203E-06	8.825118433	8.005562597	8.77213655	8.49273088	8.73488803	8.61531941	8.24734049	8.06053105	8.29703764	8.11735381	426	434	527	394	239	183	335	318
ACACA	5.71239	8.088058	5.624516	8.127632	17.93891	13.534204	18.314718	14.373441	1.819835748	1521.583866	0.238230555	3.625933898	0.000287919	0.000864877	10.07553447	10.93967203	10.04052531	10.43360613	10.02935662	10.43394952	10.85619774	10.66451206	10.88835148	10.62703733	680	1557	865	1226	1869	1467	2551	2265
ACACB	1.592342	0.422851	1.329905	0.418016	0.474973	0.44308	0.379862	0.512134	-2.341425046	86.9617401	0.440325769	-2.787451793	0.005312436	0.011819792	6.929947076	5.700170285	7.06879299	6.08611372	6.90831544	6.0755817	6.0217401	5.94859764	5.85797429	6.04500308	165	71	178	55	48	42	50	78
ACADM	21.278738	19.332398	21.040251	15.795618	16.628586	23.79541	18.180326	19.952471	-1.157052009	676.4705359	0.142280427	-1.479147334	0.139100942	0.20410833	9.502811303	9.293359864	9.47361534	9.52833197	9.4796959	9.34045064	9.21653129	9.47051461	9.29410798	9.34293867	611	914	794	577	467	616	677	854
ACADS	1.524512	0.793101	1.387764	0.861817	4.857605	2.724796	5.200219	2.553004	2.921887935	62.63411432	0.359638666	4.301263997	1.69827E-05	6.561E-05	5.000658668	6.543087757	5.57540499	5.23829721	5.49432349	5.29311686	6.41106593	5.90141182	6.47230551	5.85704571	34	28	39	24	103	54	145	82
ACADSB	8.801895	5.923509	8.791372	5.394131	6.533972	7.043226	6.466378	7.06848	-1.2295758	552.533126	0.156446684	-1.905829317	0.056672354	0.094543199	9.251564796	8.9528328	9.30868942	9.0878154	9.30749224	9.01538521	9.00085492	9.02984119	8.98202867	9.03867182	579	629	746	454	420	423	541	689
ACADVL	54.480033	77.267495	52.728142	75.128239	53.830776	58.001633	49.818892	56.321986	-1.413744083	1864.101617	0.217482859	-2.29682922	0.021628514	0.040796991	11.09241941	10.59312444	10.76556913	11.19485898	10.73478366	11.16318613	10.69186917	10.72318219	10.64190138	10.70329819	1397	3198	1738	2431	1331	1344	1651	2115
ACAT1	20.529577	18.309011	20.610126	18.836023	54.85788	60.640381	55.068714	57.430569	2.487437674	1053.343322	0.07506294	17.51410717	1.11827E-68	1.79431E-66	9.238200734	10.55341047	9.51988288	9.54003953	9.52320014	9.55979467	10.28759871	10.34822021	10.29055515	10.30210436	489	705	634	569	1265	1315	1672	2014
ACAT2	14.320501	44.560807	14.400309	41.634449	27.593702	53.279878	29.084574	54.714627	1.174366146	727.9199406	0.488889346	0.474304231	0.635282975	0.713408576	9.386941051	9.61900853	8.7522085	9.79988734	8.75569279	9.73346146	9.19963229	9.73778107	9.24258706	9.76434256	248	1249	322	914	463	841	643	1395
ASIC1	2.117917	1.200996	1.666039	1.218441	0.507229	0.469177	0.74985	0.343714	-3.419373301	57.71972446	0.307983934	-5.75917033	8.45284E-09	5.59372E-08	6.480931676	4.706983028	6.31511027	5.96708952	6.10807431	5.97382366	5.20525434	5.16767036	5.44906821	4.97325672	95	88	96	70	22	20	43	23
ACLY	41.385757	79.243957	38.572006	84.145256	74.328617	92.763119	72.433335	90.245297	1.127082438	4175.402013	0.338490155	0.509890877	0.610127913	0.690557931	11.93879678	12.11144015	11.55936896	12.22317069	11.50493659	12.27333729	11.98074144	12.14465686	11.9580039	12.12358986	2008	6213	2415	5171	3493	4100	4482	6451
ACO1	18.279362	20.004822	18.292422	20.242753	65.525454	65.540851	67.816375	67.895139	2.961986849	1966.695008	0.125359667	12.49656507	7.79471E-36	3.77661E-34	9.95502505	11.52200277	10.21765287	10.3946139	10.21874208	10.40088931	11.23179374	11.20444487	11.26405046	11.236331	724	1282	936	1017	2523	2382	3442	3973
ACO2	28.209616	26.075661	27.983192	26.239376	34.494957	33.402866	34.483231	30.40292	1.045415648	1100.802794	0.095217822	0.672948171	0.500980265	0.589094049	10.0713507	10.13659242	10.05845389	10.11164982	10.05187363	10.11301229	10.16886657	10.1127927	10.16785134	10.03528857	863	1290	1105	1017	1022	931	1345	1369
ACOX1	5.703058	3.870818	5.671234	4.139737	5.851136	4.975399	6.17637	5.089834	-1.021606657	533.3025428	0.156980173	-0.196456857	0.844252598	0.888630162	9.074489671	9.042958845	9.15241873	8.94509558	9.14783186	8.99838735	9.11164377	8.94808758	9.15730628	8.95218788	494	542	634	455	490	392	681	635
ACP1	52.179999	49.436108	56.818014	54.069296	54.625257	61.546776	55.509008	61.02137	-1.066993727	1126.881048	0.092886247	-1.007164113	0.313855915	0.403337824	10.18419198	10.09052706	10.09550237	10.15780767	10.1614881	10.23816316	10.0697387	10.13652119	10.08433202	10.14434829	887	1340	1237	1158	895	942	1200	1532
ACP2	16.065697	12.230068	15.072183	11.357177	25.688066	16.994263	24.586138	18.556259	1.350600935	495.7834253	0.193740328	2.238054753	0.025217485	0.046620085	8.720598341	9.154092345	8.88991758	8.77968146	8.83665756	8.71832501	9.23230141	8.84933127	9.19297316	8.91907158	385	473	466	345	595	371	750	650
ACTA2	22.079367	27.347763	22.234955	27.106787	2.773857	2.243663	2.899916	1.602239	-12.10307018	341.9553167	0.253948278	-14.16548751	1.49824E-45	1.01707E-43	9.302505735	5.713391477	8.53768954	8.87353694	8.53804509	8.85990657	6.83145612	6.70204791	6.8528874	6.51418961	435	861	561	669	53	41	73	47
ACTB	1388.665771	5432.624023	1396.428589	5411.253906	2924.158203	4004.188232	2903.427246	3989.036133	-1.207701975	85190.79335	0.5206967	-0.522884981	0.601054297	0.682100288	16.50812929	16.23586407	15.57146131	16.84715102	15.57605596	16.83919837	16.10084156	16.34242555	16.09413891	16.34191714	28054	177623	36431	138641	57233	73719	74813	118727
ACTG1	1201.366814	2361.176407	1207.983688	2346.212982	1140.189751	1488.810196	1153.274048	1520.232727	-1.638241519	43130.6864	0.334130844	-2.131344877	0.03306074	0.059146459	15.70899778	14.99685156	15.11683573	15.85525863	15.12656156	15.84957948	15.01611796	15.21057879	15.0185207	15.23038452	26802	86772	34995	67885	24650	30342	32577	50055
ACTN4	84.941759	282.905017	78.430752	267.403686	277.497952	268.518851	264.374689	261.457793	1.23348003	11891.40796	0.475357564	0.636856089	0.524218587	0.61147287	13.37832803	13.68108147	12.71913498	13.82950136	12.66289507	13.77377237	13.61880009	13.55995571	13.57481754	13.53937094	3757	20245	4479	14995	11889	10820	14908	17033
ACTL6A	16.988762	29.83263	19.208429	32.715557	50.506016	96.39119	50.479725	87.269136	2.399966538	1176.863747	0.347694878	3.632536378	0.000280649	0.000845403	9.435022929	10.6983037	9.34678664	9.88695263	9.43382556	9.95988315	10.15299192	10.71097959	10.15171698	10.62027765	360	1022	525	878	1036	1859	1363	2720
ACTN1	127.211649	371.906768	120.701038	366.08552	222.357821	216.894326	210.524753	212.071299	-1.388332587	11845.72378	0.441172617	-1.072943335	0.283296541	0.370344806	13.74942147	13.27608432	12.97260821	14.0237003	12.93273204	14.00509197	13.36969139	13.3203173	13.32256736	13.30403855	5282	24990	6472	19284	8948	8210	11153	12977
ACVR1	17.942005	12.91692	17.521274	15.584858	11.900847	7.024807	12.991955	6.902241	-1.884168959	509.9429845	0.245008472	-3.730190775	0.000191335	0.0006032	9.379972864	8.466021266	9.24551739	9.06493672	9.22704133	9.2269387	8.81598121	8.42569762	8.88762384	8.41514023	584	668	738	632	369	218	530	347
ACVR1B	6.732505	4.846629	6.264725	4.844514	8.001366	3.707368	6.883361	4.441028	-1.131636632	354.7707645	0.277173363	-0.6436794	0.519783351	0.607662889	8.557125637	8.378857525	8.61186968	8.43207065	8.52818845	8.44565914	8.70196179	8.04457979	8.54620235	8.18319238	352	400	412	320	406	177	447	342
ACVR2A	3.282775	1.554247	2.89021	1.381312	2.28585	1.363564	2.19066	1.617224	-1.391219957	146.8208822	0.309798787	-1.537612646	0.124143353	0.185128682	7.417136738	6.939303965	7.56616658	7.07646985	7.45485735	6.98009318	7.19076213	6.79578563	7.18138778	6.89638664	193	151	219	105	129	75	168	139
ACVR2B	0.681968	0.39347	0.7289	0.369213	1.540921	0.683841	1.595886	0.869294	1.886863434	127.3751446	0.358425841	2.55559143	0.010600751	0.021861505	6.464048244	7.379103129	6.79177026	6.48705333	6.84360146	6.44734742	7.41201562	6.71850982	7.44369845	6.90124501	87	81	120	60	190	80	259	163
ACYP1	2.561438	2.502454	2.546942	2.430272	5.966866	17.659679	6.510247	17.23957	3.386258381	63.9553508	0.396221542	4.441182198	8.9466E-06	3.64442E-05	4.867008877	6.625397052	5.31258967	5.35453448	5.31319163	5.36883309	5.77871114	6.51649057	5.81114309	6.57567073	23	35	30	28	48	114	66	195
ACYP2	9.482781	7.064969	9.00846	7.368926	7.22114	5.749729	8.257592	5.427592	-1.335162328	122.9006022	0.225016441	-1.853265262	0.063844348	0.10467172	7.134483308	6.718302088	7.1561686	7.00676343	7.09699181	6.86848743	6.92372561	6.66678432	6.9670368	6.62844109	134	157	161	104	105	73	146	112
ADA	6.412955	4.941655	7.023563	5.031552	4.054709	1.647438	4.833113	2.680638	-2.019211979	97.86436377	0.329166387	-3.079878184	0.002070853	0.005098722	7.033364619	6.016452387	6.83081538	6.72891726	6.89733847	6.74752328	6.41066852	5.81111654	6.54361553	6.08659837	112	139	156	112	69	27	108	69
ADAM8	0.207255	0.161635	0.288797	0.143673	65.992069	22.836019	62.99044	26.438411	184.0435095	906.0522385	0.47651543	15.78942169	3.67938E-56	3.78822E-54	3.288058912	10.81565268	6.34498504	6.29644301	6.39037884	6.29593668	10.32826995	9.1905241	10.2759332	9.32855452	8	10	14	7	2320	758	2911	1400
ADAM10	53.532853	39.44234	30.243619	42.650684	55.65597	41.624573	59.790632	45.458886	1.04475626	3085.784974	0.229975505	0.274665784	0.783573021	0.840003876	11.55959003	11.6225664	11.72367237	11.5811385	11.24199779	11.64673043	11.6952866	11.42006881	11.75772468	11.49535052	3000	3575	2180	3036	3022	2129	4274	3754
ADAR	65.296876	50.176915	67.987216	43.113793	46.967783	28.9392	46.192025	33.941987	-1.673715196	4271.147551	0.217157719	-3.421725271	0.000622252	0.001734638	12.38461701	11.64156101	12.30970725	12.19920403	12.34579747	12.060614	11.95671704	11.54810991	11.94191427	11.66452987	4807	5965	6455	4009	3344	1964	4330	3674
ADARB1	1.733227	1.771836	2.190816	1.504077	7.069536	4.51868	6.461313	4.678494	2.306094503	240.655517	0.145381683	8.291633493	1.11704E-16	1.73597E-15	7.182620953	8.392481512	7.35443338	7.49791822	7.43641989	7.56466124	8.20793126	8.16650403	8.18734453	8.05045032	103	176	149	151	307	285	395	402
ADCY3	10.569736	15.516669	10.939415	16.704632	10.598583	14.150381	10.575583	14.613809	-1.282053297	831.7470832	0.257324679	-1.393011508	0.163616311	0.233859269	9.868087433	9.509716568	9.50972504	9.96172163	9.53768503	10.02418089	9.45515926	9.66630077	9.45103375	9.6957788	558	1325	745	1118	543	681	712	1136
ADCY6	9.32257	6.202351	9.134124	5.86081	4.434122	3.596266	4.859364	3.195413	-2.187617596	485.0288854	0.209441221	-5.392255478	6.95787E-08	4.05302E-07	9.378683281	8.24972298	9.2853603	9.04680853	9.26724631	8.99360283	8.58775664	8.39793	8.65905238	8.31271094	635	683	803	506	293	223	422	321
ADCY7	1.60851	1.682755	1.477437	1.64286	6.297369	5.210852	6.654906	4.905506	3.048380706	289.8292572	0.18177022	8.846570645	9.02498E-19	1.67927E-17	7.160371222	8.770197917	7.48658468	7.63186515	7.43446542	7.61114686	8.56140856	8.36134598	8.59536451	8.3093326	109	187	131	143	418	326	571	495
ADCY9	7.800624	5.826427	7.425408	5.550194	10.151895	7.061324	9.843002	7.350788	1.115786288	781.1709986	0.184216437	0.858016416	0.390883399	0.48262677	9.52830566	9.686356923	9.63883643	9.51217207	9.5972376	9.46872378	9.80397598	9.46756382	9.77620756	9.50220931	673	813	827	607	848	555	1082	933
ADD1	85.151411	79.434559	81.611342	78.577699	55.458988	66.118379	54.232392	63.51797	-1.588798104	3799.897464	0.09784374	-6.826556394	8.69771E-12	8.38223E-11	12.18736135	11.51952075	12.0352964	12.10376322	11.99845242	12.08846858	11.61374019	11.72862989	11.59626077	11.69972582	3762	5703	4656	4413	2383	2665	3073	4148
ADD3	37.242919	15.930389	42.646769	17.14931	15.902174	13.909081	16.089207	13.132497	-2.14333104	1277.653209	0.310609184	-3.54095999	0.000398674	0.001157607	10.76684575	9.666976314	10.76015405	10.12169169	10.88370498	10.18276706	9.96264684	9.82889002	9.96306661	9.79048255	1828	1253	2688	1060	766	630	1010	967
ADH5	54.237797	39.75119	57.057838	41.143116	37.163845	33.626743	38.861725	37.21806	-1.516663729	1515.608801	0.122535058	-4.903912899	9.39462E-07	4.56431E-06	10.83533057	10.23377471	10.76727546	10.62065029	10.81172617	10.64674261	10.38467733	10.27813712	10.42043083	10.36087776	1604	1902	2178	1543	1065	906	1466	1621
ADK	12.722294	16.523205	14.214014	14.909845	39.80196	42.771941	39.971696	42.640488	2.39786722	769.8787021	0.160272452	7.87254301	3.47504E-15	4.77046E-14	8.8226515	10.08611245	8.93580513	9.26172825	9.02312805	9.16984911	9.80686174	9.8715984	9.82625284	9.87594986	299	640	434	449	896	936	1206	1515
ADM	14.231385	14.02427	13.250521	14.775335	16.043123	22.824505	16.41198	24.295818	1.199300263	357.9445407	0.189166699	1.386041545	0.165734218	0.236394166	8.347078542	8.608297796	8.34731602	8.45116657	8.28950574	8.49185435	8.38598415	8.65488492	8.4045021	8.71279464	253	403	304	333	276	369	372	635
ADORA1	0.385608	0.365203	0.228147	0.494552	0.179727	0.294867	0.14124	0.224515	-2.106447356	12.06135551	0.47380196	-2.268483357	0.023299762	0.043550463	4.029164263	2.962729955	3.67485462	3.73137703	3.42374186	3.90178866	3.31225199	3.48596443	3.2135483	3.3631661	13	20	10	21	6	9	6	11
ADORA2B	1.510554	1.550747	1.365496	1.571395	35.926682	44.21246	32.368736	41.468647	21.5524762	468.4162181	0.188291634	23.52617385	2.2017E-122	1.7002E-119	5.374509134	9.806304218	6.71136648	6.78124948	6.66368412	6.79143436	9.08295872	9.25702332	8.97956797	9.19681052	32	53	38	42	732	847	868	1284
PARP1	72.829865	81.887772	72.460724	78.798729	39.363033	86.090759	40.593109	84.367455	-1.446806789	3750.802528	0.304284947	-1.751227847	0.079906671	0.127386699	12.11496443	11.58207075	11.88498278	12.11492955	11.88128187	12.07615896	11.32437704	11.93966888	11.34699825	11.92481887	3236	5889	4158	4440	1695	3486	2301	5523
PARP4	37.257839	21.783966	37.561516	21.96409	54.555191	44.19289	53.117111	44.831108	1.442330917	2818.212377	0.202848062	2.604916198	0.009189673	0.019260121	11.17237001	11.70066371	11.42463019	11.09854383	11.43224036	11.10176836	11.69660925	11.4815164	11.67188412	11.49677833	2272	2150	2958	1699	3223	2456	4131	4028
ADRA1B	3.095345	1.954474	2.880256	2.381577	5.412873	3.785226	5.322155	3.482688	1.50786146	104.8114998	0.237813577	2.491463645	0.012721799	0.025632391	6.385974139	6.977182853	6.6112655	6.37695818	6.55850976	6.51560699	7.00644038	6.68708275	6.99313917	6.62177258	78	80	94	76	132	87	171	129
ADRB1	0.1524	0.113527	0.118963	0.095938	0.094506	0.033715	0.144536	0.04171	-1.75683033	3.967351592	0.737599732	-1.102189753	0.270379186	0.355981974	2.341957251	1.518436098	2.07795148	2.03226037	2.00216127	1.98226555	1.92608557	1.76632941	2.03947916	1.77446385	5	6	5	4	3	1	6	2
ADRB2	10.86334	15.405573	10.378987	14.473855	7.090083	14.312328	5.461445	11.269715	-1.601866973	311.4543554	0.341916328	-1.988072194	0.046803706	0.080002738	8.582618066	7.904075911	8.21577776	8.64251586	8.1784834	8.58159399	7.82132986	8.35867112	7.62912827	8.15969688	248	568	306	418	157	297	159	378
GRK2	9.122042	8.263343	8.259331	7.602335	14.77275	16.058609	13.437941	15.956628	1.54513274	527.4743347	0.107317001	5.84931351	4.93606E-09	3.40889E-08	8.694868136	9.323172181	8.85064191	8.88483363	8.77038489	8.81463949	9.19622055	9.23961652	9.11384735	9.23733947	351	514	410	371	550	562	659	903
GRK3	0.660182	0.897543	0.881953	0.740922	0.807713	1.350794	1.03396	1.22023	1.178169671	114.3780155	0.224746302	1.052508173	0.292566463	0.380410297	6.712238465	6.953055708	6.56743832	6.9111224	6.78224528	6.75431987	6.66908078	7.04699752	6.85555282	6.96370005	67	147	115	95	80	125	134	182
ADSL	29.666846	35.645635	29.579631	38.034795	71.259535	90.354677	71.005186	97.026965	2.121251662	1274.435739	0.18711895	5.798000637	6.71102E-09	4.51851E-08	9.673400137	10.75848969	9.77038187	10.01126282	9.76263917	10.05485366	10.44314546	10.6278116	10.44226966	10.6606806	565	1077	722	894	1325	1582	1744	2642
ADSS	71.403625	53.521721	74.864403	55.243095	42.617409	49.185341	44.631256	51.737659	-1.574858613	2080.922939	0.113920805	-5.751559712	8.84238E-09	5.839E-08	11.31395848	10.65816562	11.23066391	11.10157001	11.27388902	11.12564964	10.73063763	10.82044834	10.76716202	10.86480105	2215	2687	2999	2174	1281	1391	1766	2365
AP2A1	40.858051	33.4277	38.043015	33.367825	49.674419	46.835144	48.226585	46.42635	1.125389638	1925.239853	0.079018327	2.156772889	0.031023365	0.055947113	10.82305528	10.99355512	10.89504359	10.84493585	10.85085561	10.83971721	11.01794368	10.921852	10.97507343	10.91691861	1565	2071	1917	1620	1878	1634	2355	2618
AP2A2	22.56621	16.518847	21.401042	15.354722	19.297776	17.714672	19.72737	16.524476	-1.196434868	1157.802419	0.134177632	-1.928353162	0.053811213	0.090515663	10.30070097	10.04207009	10.34621472	10.20073066	10.2912104	10.13474908	10.15158921	10.05157477	10.16970054	9.99415187	1170	1388	1417	1011	971	838	1307	1259
AP1B1	20.377906	24.606781	19.499402	24.124087	18.930237	23.452125	17.252679	23.926581	-1.255230705	1205.859046	0.192756014	-1.701386856	0.088870368	0.139234891	10.39045322	10.06265823	10.18083453	10.46611365	10.14478829	10.44098305	10.05625519	10.21199685	9.9860204	10.23099893	944	1845	1167	1411	845	991	1020	1633
AP2B1	63.820446	64.787472	63.225252	63.603567	99.773052	102.984158	102.06588	105.440486	1.368097708	6293.590391	0.092603378	4.88288094	1.04547E-06	5.03578E-06	12.37589247	12.82814421	12.40891643	12.54208357	12.40109205	12.51962614	12.72866696	12.7276129	12.74719049	12.75105895	4083	6723	5219	5153	6185	6008	8323	9943
AP1G1	10.239318	8.575201	10.334571	9.023523	13.803594	17.508778	14.572109	15.403725	1.373655529	1118.847516	0.098573376	4.646490623	3.37629E-06	1.48502E-05	9.880526265	10.33882449	9.98021955	9.95149606	9.98815919	9.98951606	10.17217852	10.34831383	10.21733934	10.23975121	782	1060	1019	874	1022	1218	1419	1732
AES	209.015811	144.972961	206.587921	135.778168	96.87159	71.733911	96.15185	71.357605	-2.389263834	2993.632391	0.191268643	-6.569640228	5.0437E-11	4.40699E-10	12.0432559	10.78675645	11.91675225	11.71455193	11.90759986	11.65282589	11.18913069	10.91986865	11.17920265	10.92259935	3944	4437	5039	3260	1783	1230	2321	1990
AFG3L1P	2.068042	1.357659	1.754551	1.733417	1.464013	3.423679	1.319558	3.269362	1.148860524	83.00002741	0.337339249	0.593478701	0.552860833	0.637881914	6.272466166	6.470802384	6.41186369	6.19329751	6.28481661	6.29190073	6.1042878	6.71134424	6.02316729	6.60554503	74	78	81	70	51	108	60	153
AGA	9.017082	6.073764	9.360841	5.774077	12.95062	6.555271	13.572148	7.641699	1.173942247	246.4424111	0.300739515	0.769308402	0.441710251	0.532786307	7.824935715	8.056033099	7.95996734	7.74585287	7.99153493	7.70459726	8.20952293	7.62358289	8.24627086	7.73975998	212	229	284	171	295	141	405	264
AGL	5.844798	4.27815	5.997938	4.423424	6.372621	4.708244	6.371229	4.758732	-1.07197424	525.3861263	0.176905743	-0.566800355	0.570849829	0.653768042	9.086488137	8.986239299	9.11952746	8.97451103	9.1419616	9.00054161	9.13075795	8.85139896	9.13079465	8.86261063	481	569	637	462	507	353	668	577
JAG1	5.232146	8.888344	4.395239	8.821714	32.694462	20.363907	33.1437	20.858698	3.279562293	1296.868676	0.350283529	4.891760919	9.99378E-07	4.83072E-06	9.243119409	10.95692806	9.35518538	9.8603589	9.23596947	9.85033543	10.82644575	10.35715259	10.83861503	10.3818586	350	961	379	747	2115	1239	2822	2052
AHCY	163.482766	69.854281	162.226579	71.65156	141.528808	144.137949	134.696172	154.190966	1.057063079	4081.982867	0.271362998	0.295034587	0.767967458	0.827438558	11.95451257	12.03448804	12.19857686	11.63454946	12.20165581	11.64512182	11.98763755	12.01897577	11.97930921	12.0350156	4321	3117	5595	2486	3535	3565	4613	5852
AHR	15.186264	10.120203	14.783906	10.138653	46.928528	27.480011	47.846607	27.435253	2.585256024	2011.955649	0.26226963	5.224803049	1.74341E-07	9.56898E-07	10.13236687	11.50259051	10.53075889	10.3251424	10.50971723	10.32358011	11.4579333	10.94094305	11.47545708	10.94223854	1058	1141	1330	896	3167	1745	4251	2816
CRYBG1	38.173199	19.186924	38.880222	20.463865	16.851637	12.254637	16.450636	12.162177	-2.313214968	2234.100237	0.261398329	-4.628565709	3.68207E-06	1.60636E-05	11.60714437	10.39724953	11.57104463	11.078359	11.58895352	11.13069372	10.78843848	10.51160342	10.76820873	10.5073691	3210	2612	4222	2183	1373	940	1765	1507
