B_KM_2 B_KM_3
attractor840 1 2
attractor841 2 1
attractor842 2 1
attractor843 1 3
attractor844 2 1
attractor845 2 1
attractor846 1 3
attractor847 1 2
attractor848 1 3
attractor849 1 2
attractor850 1 2
attractor851 1 2
attractor852 2 1
attractor853 1 2
attractor854 1 3
attractor855 1 2
attractor856 1 2
attractor857 1 3
attractor858 1 2
attractor859 2 1
attractor860 1 2
attractor861 1 3
attractor862 2 1
attractor863 1 3
attractor864 1 2
attractor865 2 1
attractor866 1 3
attractor867 2 1
attractor868 1 2
attractor869 1 2
attractor870 1 3
attractor871 2 1
attractor872 1 2
attractor873 1 2
attractor874 2 1
attractor875 1 3
attractor876 2 1
attractor877 1 3
attractor878 1 2
attractor879 1 3
attractor880 2 1
attractor881 2 1
attractor882 2 1
attractor883 1 3
attractor884 1 2
attractor885 2 1
attractor886 1 2
attractor887 1 2
attractor888 2 1
attractor889 1 2
attractor890 1 2
attractor891 2 1
attractor892 2 1
attractor893 1 2
attractor894 1 3
attractor895 2 1
attractor896 1 2
attractor897 1 3
attractor898 2 1
attractor899 1 2
attractor900 1 2
attractor901 1 2
attractor902 2 1
attractor903 2 1
attractor904 2 1
attractor905 2 1
attractor906 1 2
attractor907 1 2
attractor908 1 3
attractor909 1 3
attractor910 1 2
attractor911 1 3
attractor912 1 2
attractor913 2 1
attractor914 1 3
attractor915 1 3
attractor916 1 3
attractor917 1 2
attractor918 1 2
attractor919 1 3
attractor920 1 3
attractor921 1 2
attractor922 1 3
attractor923 1 3
attractor924 1 2
attractor925 1 2
attractor926 1 2
attractor927 2 1
attractor928 2 1
attractor929 1 3
attractor930 2 1
attractor931 1 3
attractor932 1 2
attractor933 1 2
attractor934 1 3
attractor935 2 1
attractor936 1 2
attractor937 2 1
attractor938 2 1
attractor939 2 1
attractor940 1 3
attractor941 1 3
attractor942 1 2
attractor943 1 2
attractor944 1 2
attractor945 2 1
attractor946 1 2
attractor947 1 3
attractor948 1 2
attractor949 2 1
attractor950 1 3
attractor951 1 3
attractor952 1 2
attractor953 1 2
attractor954 1 2
attractor955 1 2
attractor956 1 2
attractor957 1 2
attractor958 1 3
attractor959 2 1
attractor960 2 1
attractor961 1 3
attractor962 1 2
attractor963 1 2
attractor964 1 2
attractor965 1 2
attractor966 1 2
attractor967 1 2
attractor968 2 1
attractor969 2 1
attractor970 1 2
attractor971 1 2
attractor972 1 2
attractor973 1 2
attractor974 2 1
attractor975 1 2
attractor976 2 1
attractor977 1 2
attractor978 1 2
attractor979 2 1
attractor980 2 1
attractor981 1 2
attractor982 1 3
attractor983 2 1
attractor984 1 3
attractor985 1 3
attractor986 2 1
attractor987 1 2
attractor988 1 2
attractor989 1 2
attractor990 1 2
attractor991 2 1
attractor992 1 3
attractor993 1 3
attractor994 2 1
attractor995 1 3
attractor996 1 2
attractor997 1 2
attractor998 1 2
attractor999 1 3
attractor1000 2 1
attractor1001 2 1
attractor1002 1 2
attractor1003 2 1
attractor1004 1 3
attractor1005 1 2
attractor1006 1 2
attractor1007 1 2
attractor1008 1 2
attractor1009 1 2
attractor1010 2 1
attractor1011 1 2
attractor1012 1 2
attractor1013 1 2
attractor1014 2 1
attractor1015 2 1
attractor1016 1 2
attractor1017 2 1
attractor1018 1 2
attractor1019 1 2
attractor1020 2 1
attractor1021 2 1
attractor1022 2 1
attractor1023 1 2
attractor1024 2 1
attractor1025 2 1
attractor1026 2 1
attractor1027 2 1
attractor1028 1 2
attractor1029 1 2
attractor1030 2 1
attractor1031 1 2
attractor1032 2 1
attractor1033 2 1
attractor1034 1 2
attractor1035 1 2
attractor1036 1 2
attractor1037 2 1
attractor1038 1 2
attractor1039 1 2
attractor1040 1 3
attractor1041 1 2
attractor1042 1 2
attractor1043 1 2
attractor1044 1 3
attractor1045 1 2
attractor1046 1 2
attractor1047 1 2
attractor1048 1 2
attractor1049 1 3
attractor1050 1 2
attractor1051 2 1
attractor1052 1 3
attractor1053 1 3
attractor1054 2 1
attractor1055 1 3
attractor1056 2 1
attractor1057 2 1
attractor1058 1 2
attractor1059 1 2
attractor1060 2 1
attractor1061 2 1
attractor1062 1 3
attractor1063 2 1
attractor1064 1 2
attractor1065 1 2
attractor1066 1 2
attractor1067 2 1
attractor1068 2 1
attractor1069 2 1
attractor1070 1 2
attractor1071 1 3
attractor1072 1 2
attractor1073 2 1
attractor1074 2 1
attractor1075 2 1
attractor1076 1 2
attractor1077 1 2
attractor1078 1 2
attractor1079 1 2
attractor1080 2 1
attractor1081 2 1
attractor1082 2 1
attractor1083 1 3
attractor1084 1 2
attractor1085 1 2
attractor1086 2 1
attractor1087 1 2
attractor1088 1 3
attractor1089 2 1
attractor1090 1 3
attractor1091 1 2
attractor1092 2 1
attractor1093 1 2
attractor1094 1 2
attractor1095 2 1
attractor1096 2 3
attractor1097 2 1
attractor1098 1 2
attractor1099 1 2
attractor1100 1 2
attractor1101 1 3
attractor1102 1 2
attractor1103 1 2
attractor1104 1 3
attractor1105 1 2
attractor1106 2 1
attractor1107 1 2
attractor1108 2 1
attractor1109 2 1
attractor1110 1 2
attractor1111 1 2
attractor1112 1 2
attractor1113 1 3
attractor1114 1 2
attractor1115 2 1
attractor1116 1 2
attractor1117 2 1
attractor1118 1 2
attractor1119 1 2
attractor1120 1 2
attractor1121 2 1
attractor1122 2 1
attractor1123 1 2
attractor1124 1 3
attractor1125 1 2
attractor1126 1 2
attractor1127 1 2
attractor1128 1 2
attractor1129 1 2
attractor1130 1 2
attractor1131 1 2
attractor1132 1 3
attractor1133 1 2
attractor1134 1 2
attractor1135 1 2
attractor1136 2 1
attractor1137 1 2
attractor1138 1 2
attractor1139 2 1
attractor1140 2 1
attractor1141 1 2
attractor1142 1 3
attractor1143 1 2
attractor1144 1 2
attractor1145 1 2
attractor1146 2 1
attractor1147 1 2
attractor1148 1 2
attractor1149 2 1
attractor1150 2 1
attractor1151 1 2
attractor1152 1 2
attractor1153 1 3
attractor1154 1 2
attractor1155 2 1
attractor1156 1 3
attractor1157 1 2
attractor1158 1 2
attractor1159 2 1
attractor1160 1 3
attractor1161 1 2
attractor1162 1 2
attractor1163 1 2
attractor1164 1 2
attractor1165 1 2
attractor1166 1 2
attractor1167 1 2
attractor1168 1 2
attractor1169 1 3
attractor1170 1 2
attractor1171 1 2
attractor1172 1 2
attractor1173 1 3
attractor1174 2 1
attractor1175 1 2
attractor1176 1 2
attractor1177 1 3
attractor1178 1 2
attractor1179 1 2
attractor1180 1 2
attractor1181 1 2
attractor1182 2 1
attractor1183 1 2
attractor1184 1 2
attractor1185 1 2
attractor1186 1 2
attractor1187 2 1
attractor1188 1 2
attractor1189 1 2
attractor1190 1 2
attractor1191 1 2
attractor1192 1 2
attractor1193 1 2
attractor1194 1 2
attractor1195 1 2
attractor1196 1 2
attractor1197 1 3
attractor1198 1 2
attractor1199 2 1
attractor1200 1 3
attractor1201 1 2
attractor1202 1 2
attractor1203 2 1
attractor1204 1 2
attractor1205 1 3
attractor1206 1 2
attractor1207 1 2
attractor1208 1 2
attractor1209 2 1
attractor1210 1 2
attractor1211 1 2
attractor1212 1 2
attractor1213 1 3
attractor1214 2 1
attractor1215 2 1
attractor1216 1 2
attractor1217 1 2
attractor1218 2 1
attractor1219 1 2
attractor1220 1 3
attractor1221 1 2
attractor1222 1 2
attractor1223 2 1
attractor1224 1 2
attractor1225 1 3
attractor1226 1 3
attractor1227 1 2
attractor1228 1 2
attractor1229 2 1
attractor1230 1 2
attractor1231 1 2
attractor1232 1 3
attractor1233 1 2
attractor1234 1 3
attractor1235 1 2
attractor1236 2 1
attractor1237 1 3
attractor1238 2 1
attractor1239 1 2
attractor1240 2 1
attractor1241 1 3
attractor1242 1 2
attractor1243 1 2
attractor1244 2 1
attractor1245 2 1
attractor1246 2 1
attractor1247 2 1
attractor1248 1 2
attractor1249 2 1
attractor1250 1 2
attractor1251 1 3
attractor1252 1 3
attractor1253 2 1
attractor1254 1 2
attractor1255 1 2
attractor1256 1 2
attractor1257 2 3
attractor1258 1 2
attractor1259 1 3
attractor1260 1 3
attractor1261 1 2
attractor1262 1 2
attractor1263 1 2
attractor1264 1 2
attractor1265 1 2
attractor1266 1 2
attractor1267 1 2
attractor1268 1 2
attractor1269 1 2
attractor1270 1 2
attractor1271 1 3
attractor1272 1 2
attractor1273 2 1
attractor1274 1 3
attractor1275 1 3
attractor1276 1 2
attractor1277 1 3
attractor1278 1 2
attractor1279 2 1
attractor1280 2 1
attractor1281 1 2
attractor1282 1 2
attractor1283 1 2
attractor1284 1 2
attractor1285 1 2
attractor1286 1 2
attractor1287 1 3
attractor1288 1 2
attractor1289 1 3
attractor1290 1 3
attractor1291 1 2
attractor1292 1 2
attractor1293 2 1
attractor1294 2 1
attractor1295 1 3
attractor1296 2 1
attractor1297 1 2
attractor1298 1 2
attractor1299 1 2
attractor1300 1 3
attractor1301 2 1
attractor1302 1 2
attractor1303 1 2
attractor1304 1 2
attractor1305 2 1
attractor1306 1 3
attractor1307 1 2
attractor1308 1 2
attractor1309 1 2
attractor1310 1 3
attractor1311 2 1
attractor1312 1 3
attractor1313 2 1
attractor1314 1 3
attractor1315 1 2
attractor1316 1 2
attractor1317 1 2
attractor1318 1 2
attractor1319 2 1
attractor1320 1 2
attractor1321 1 3
attractor1322 1 2
attractor1323 1 2
attractor1324 2 1
attractor1325 1 2
attractor1326 1 2
attractor1327 1 3
attractor1328 2 1
attractor1329 2 1
attractor1330 1 2
attractor1331 1 2
attractor1332 2 1
attractor1333 1 2
attractor1334 1 2
attractor1335 2 1
attractor1336 1 2
attractor1337 1 3
attractor1338 1 2
attractor1339 2 1
attractor1340 2 1
attractor1341 1 3
attractor1342 1 2
attractor1343 1 2
attractor1344 2 1
attractor1345 2 1
attractor1346 1 2
attractor1347 2 1
attractor1348 2 1
attractor1349 1 3
attractor1350 2 1
attractor1351 2 1
attractor1352 1 2
attractor1353 2 1
attractor1354 2 1
attractor1355 2 1
attractor1356 2 1
attractor1357 2 1
attractor1358 1 2
attractor1359 1 2
