TF,symbol,gene
V.MYOGNF1_01,NFIC,MAPK8
V.MYOGNF1_01,NFIC,BUB1
V.MYOGNF1_01,NFIC,PML
V.MYOGNF1_01,NFIC,PIAS3
V.MYOGNF1_01,NFIC,PRPF40A
V.MYOGNF1_01,NFIC,ITGA5
V.MYOGNF1_01,NFIC,LRP1
V.MYOGNF1_01,NFIC,HUWE1
V.MYOGNF1_01,NFIC,SKIL
V.MYOGNF1_01,NFIC,TGFA
V.MYOGNF1_01,NFIC,HTT
V.MYOGNF1_01,NFIC,SCAMP1
V.MYOGNF1_01,NFIC,PPM1D
V.MYOGNF1_01,NFIC,SRPK1
V.MYOGNF1_01,NFIC,PIAS4
V.MYOGNF1_01,NFIC,SNRPD2
V.MYOGNF1_01,NFIC,NFKB1
V.MYOGNF1_01,NFIC,SOCS5
V.MYOGNF1_01,NFIC,HMGA2
V.MYOGNF1_01,NFIC,NDC80
V.MYOGNF1_01,NFIC,PIAS1
V.MYOGNF1_01,NFIC,CDK2
V.MYOGNF1_01,NFIC,PRKDC
V.MYOGNF1_01,NFIC,IL4R
V.MYOGNF1_01,NFIC,THBS1
V.MYOGNF1_01,NFIC,SNRPA
V.MYOGNF1_01,NFIC,CDC20
V.MYOGNF1_01,NFIC,NMT2
V.MYOGNF1_01,NFIC,CDC16
V.MYOGNF1_01,NFIC,CDC27
V.MYOGNF1_01,NFIC,PSMC2
V.MYOGNF1_01,NFIC,COL13A1
V.MYOGNF1_01,NFIC,EP300
V.MYOGNF1_01,NFIC,MOCOS
V.MYOGNF1_01,NFIC,MAD2L1
V.MYOGNF1_01,NFIC,SMAD2
V.MYOGNF1_01,NFIC,STAT3
V.MYOGNF1_01,NFIC,SHC1
V.MYOGNF1_01,NFIC,PTPN11
V.MYOGNF1_01,NFIC,RRM2B
V.MYOGNF1_01,NFIC,TOP2A
V.MYOGNF1_01,NFIC,TPX2
V.NF1_Q6,NFIC,CSNK2A1
V.NF1_Q6,NFIC,TGFA
V.NF1_Q6,NFIC,MAD2L1
V.NF1_Q6,NFIC,PIAS1
V.NF1_Q6,NFIC,AURKA
V.NF1C_01,NFIC,SCAMP1
V.NF1C_01,NFIC,MAD2L1
V.NF1C_01,NFIC,AURKA
V.NF1C_01,NFIC,PIAS3
V.NF1C_01,NFIC,CDC20
V.NF1C_01,NFIC,TGFA
V.NF1C_01,NFIC,EGFR
V.NF1C_01,NFIC,CDK2
V.NF1C_01,NFIC,SKIL
V.NF1C_01,NFIC,ITGA5
V.NF1C_01,NFIC,PIAS4
V.NF1C_01,NFIC,IL4R
V.NF1C_01,NFIC,RB1
V.NF1C_01,NFIC,CSNK2A1
V.NF1C_01,NFIC,PRKACA
V.NF1C_01,NFIC,EP300
V.NF1C_01,NFIC,COL13A1
V.NF1C_01,NFIC,HTT
V.NF1C_01,NFIC,CDC27
V.NF1C_03,NFIC,MAD2L1
V.NF1C_03,NFIC,HTT
V.NF1C_03,NFIC,SCAMP1
V.NF1C_03,NFIC,RB1
V.NF1C_03,NFIC,ITGA5
V.NFKAPPAB_01,RELA,PRKDC
V.NFKAPPAB_01,RELA,SMAD2
V.NFKAPPAB_01,RELA,CDC27
V.NFKAPPAB_01,RELA,ICAM1
V.NFKAPPAB_01,RELA,THBS1
V.NFKAPPAB_01,RELA,LRP1
V.NFKAPPAB_01,RELA,ITGA5
V.NFKAPPAB_01,RELA,NDC80
V.NFKAPPAB_01,RELA,HTT
V.NFKAPPAB_01,RELA,PSMC2
V.NFKAPPAB_01,RELA,CSNK2A1
V.NFKAPPAB_01,RELA,CHUK
V.NFKAPPAB_01,RELA,NFKB1
V.NFKAPPAB_01,RELA,EGFR
V.NFKAPPAB_01,RELA,PIAS1
V.NFKAPPAB_01,RELA,YWHAG
V.NFKAPPAB_01,RELA,NMT2
V.NFKAPPAB_01,RELA,PIAS4
V.NFKAPPAB_01,RELA,TEC
V.NFKAPPAB_01,RELA,HUWE1
V.NFKAPPAB_01,RELA,HDAC1
V.NFKAPPAB_01,RELA,CDC16
V.NFKAPPAB_01,RELA,SOCS5
V.NFKAPPAB_01,RELA,CDC20
V.NFKAPPAB_01,RELA,SNRNP70
V.NFKAPPAB_01,RELA,RB1
V.NFKAPPAB_01,RELA,MOCOS
V.NFKAPPAB_01,RELA,SKIL
V.NFKAPPAB_01,RELA,PRKACA
V.NFKAPPAB_01,RELA,CREBBP
V.NFKAPPAB_01,RELA,EP300
V.NFKAPPAB_01,RELA,PTPN11
V.NFKAPPAB_01,RELA,ANAPC10
V.NFKAPPAB_01,RELA,PML
V.NFKAPPAB_01,RELA,SRPK1
V.NFKAPPAB_01,RELA,CAV1
V.NFKAPPAB_01,RELA,FN1
V.NFKAPPAB_01,RELA,SCAMP1
V.NFKAPPAB_01,RELA,TP53
V.NFKAPPAB_01,RELA,RRM2B
V.NFKAPPAB_01,RELA,TPX2
V.NFKAPPAB_01,RELA,MAPK8
V.NFKAPPAB_01,RELA,HMGB2
V.NFKAPPAB_01,RELA,ARID3A
V.NFKAPPAB65_01,RELA,HMGA2
V.NFKAPPAB65_01,RELA,GRB2
V.NFKAPPAB65_01,RELA,STAT3
V.NFKAPPAB65_01,RELA,PSMC2
V.NFKAPPAB65_01,RELA,NMT2
V.NFKAPPAB65_01,RELA,ICAM1
V.NFKAPPAB65_01,RELA,HTT
V.NFKAPPAB65_01,RELA,SNRPA
V.NFKAPPAB65_01,RELA,RB1
V.NFKAPPAB65_01,RELA,BUB1
V.NFKAPPAB65_01,RELA,TEC
V.NFKAPPAB65_01,RELA,CDK1
V.NFKAPPAB65_01,RELA,SMAD2
V.NFKAPPAB65_01,RELA,HDAC1
V.NFKAPPAB65_01,RELA,CBL
V.NFKAPPAB65_01,RELA,NFKB1
V.NFKAPPAB65_01,RELA,CDC27
V.NFKAPPAB65_01,RELA,LRP1
V.NFKAPPAB65_01,RELA,TOP2A
V.NFKAPPAB65_01,RELA,SNRPD2
V.NFKAPPAB65_01,RELA,PIAS1
V.NFKAPPAB65_01,RELA,SKIL
V.NFKAPPAB65_01,RELA,CHUK
V.NFKAPPAB65_01,RELA,MOCOS
V.NFKAPPAB65_01,RELA,SCAMP1
V.NFKAPPAB65_01,RELA,ITGA5
V.NFKAPPAB65_01,RELA,CSNK2A1
V.NFKAPPAB65_01,RELA,TGFA
V.NFKAPPAB65_01,RELA,CREBBP
V.NFKAPPAB65_01,RELA,ARIH2
V.NFKAPPAB65_01,RELA,CDC20
V.NFKAPPAB65_01,RELA,NDC80
V.NFKAPPAB65_01,RELA,YWHAG
V.NFKAPPAB65_01,RELA,TP53
V.NFKAPPAB65_01,RELA,BRCA1
V.NFKAPPAB65_01,RELA,EP300
V.NFKAPPAB65_01,RELA,SRPK1
V.NFKAPPAB65_01,RELA,EGFR
V.NFKAPPAB65_01,RELA,ANXA1
V.NFKAPPAB65_01,RELA,SNRNP70
V.NFKAPPAB65_01,RELA,ANAPC10
V.NFKAPPAB65_01,RELA,TBP
V.NFKAPPAB65_01,RELA,JAK2
V.NFKAPPAB65_01,RELA,SHC1
V.NFKAPPAB65_01,RELA,HUWE1
V.NFKAPPAB65_01,RELA,HMGB2
V.NFKAPPAB65_01,RELA,PTPN11
V.NFKAPPAB65_01,RELA,FN1
V.NFKAPPAB65_01,RELA,DDX5
V.NFKAPPAB65_01,RELA,PRKDC
V.NFKAPPAB65_01,RELA,PRKACA
V.NFKAPPAB65_01,RELA,ARID3A
V.NFKAPPAB65_01,RELA,PML
V.NFKAPPAB65_01,RELA,THBS1
V.NFKAPPAB65_01,RELA,PIAS3
V.NFKAPPAB65_01,RELA,CAV1
V.NFKAPPAB65_01,RELA,PTTG1
V.NFKAPPAB65_01,RELA,CDC16
V.NFKAPPAB65_01,RELA,PPM1D
V.NFKAPPAB65_01,RELA,RRM2B
V.NFKAPPAB65_01,RELA,SOCS5
V.NFKB_Q6_01,RELA,HTT
V.NFKB_Q6_01,RELA,SOCS5
V.NFKB_Q6_01,RELA,EP300
V.NFKB_Q6_01,RELA,RB1
V.NFKB_Q6_01,RELA,CSNK2A1
V.NFKB_Q6_01,RELA,CDC16
V.NFKB_Q6_01,RELA,THBS1
V.NFKB_Q6_01,RELA,EGFR
V.NFKB_Q6_01,RELA,PTTG1
V.NFKB_Q6_01,RELA,JAK2
V.NFKB_Q6_01,RELA,ARIH2
V.NFKB_Q6_01,RELA,NDC80
V.NFKB_Q6_01,RELA,ARID3A
V.NFKB_Q6_01,RELA,PRKDC
V.NFKB_Q6_01,RELA,CBL
V.NFKB_Q6_01,RELA,ICAM1
V.NFKB_Q6_01,RELA,CKAP5
V.NFKB_Q6_01,RELA,STAT3
V.NFKB_Q6_01,RELA,GRB2
V.NFKB_Q6_01,RELA,TP53
V.NFKB_Q6_01,RELA,BUB1
