ID	#Yes sites per 1K	#No sites per 1K	Adj. site FE	Site P-value	Site FDR	Site cutoff	%Yes seq	%No seq	Adj. seq FE	Seq P-value	Seq FDR	Seq cutoff
V$RAX_03	0.6110601894286587	0.3738167748693753	1.0222044512046626	8.17057034536367E-5	4.5819739865473913E-4	0.9650174912543729	100.0	99.53917050691244	0.6197391984576991	0.12648765778534726	0.22725963643813052	0.6476761619190404
V$RXRA_13	0.9085328422344997	0.5898278042280893	1.0005127958013396	2.0983998990382688E-5	1.5842783154736397E-4	0.7627627627627628	100.0	98.61751152073732	0.6253343781185136	0.0034355057685608063	0.056673439534842315	0.7172172172172172
V$RXRG_03	0.47882136279926335	0.28430548836893516	1.021283398721202	2.3407154184140115E-4	0.0010314386412254323	0.7886056971514243	26.666666666666668	10.138248847926267	1.1168305789515613	7.402376892484129E-4	0.04690810499133194	0.8430784607696152
V$S8_02	0.43050430504305043	0.21043413199108948	1.2078836212225157	5.9369860041414356E-6	6.05239851665627E-5	0.8276723276723277	100.0	99.53917050691244	0.6197391984576991	0.009916569758631956	0.07288428354166239	0.6328671328671329
V$SHOX2_01	0.44280442804428044	0.19555495094121447	1.333066464705759	3.2630171235076637E-7	5.703910713494928E-6	0.8624127617148555	100.0	99.53917050691244	0.6197391984576991	0.001522897718289192	0.05104162540369424	0.5563310069790628
V$SHOX2_03	0.5428484293992071	0.33307895657746617	1.0061084726208964	2.0746974574812385E-4	9.464587695923424E-4	0.9660169915042479	100.0	100.0	0.6169790090731271	0.04322640784332775	0.13727273325477948	0.6821589205397302
V$SHOX2_04	0.5611466910643489	0.3394032405631143	1.0238829261803155	1.1341329244722597E-4	5.942203198337556E-4	0.9615192403798101	100.0	100.0	0.6169790090731271	0.04598640589104899	0.1422284735521095	0.696151924037981
V$SHOX_01	0.45745654162854527	0.26140373807345446	1.0535082494106813	1.2884214926836253E-4	6.544416674442743E-4	0.9930034982508745	100.0	100.0	0.6169790090731271	0.07246364255498947	0.17316765743099874	0.7041479260369815
V$SHOX_02	0.5367490088441598	0.32675467259181806	1.0123443783519859	1.8449701197473643E-4	8.667934678813081E-4	0.9794897448724362	100.0	100.0	0.6169790090731271	0.0875666283281972	0.18954368561682824	0.7568784392196098
V$SP1_01	0.51940116101436	0.2766666525869388	1.1443419694288337	7.453273339512225E-6	7.171157704016637E-5	0.9595404595404595	100.0	98.15668202764977	0.6281700475279637	0.046479619946357895	0.14300098716054405	0.8756243756243757
V$SP1_02	2.018348623853211	1.2408573965247538	1.1044117747209576	3.5829611804771447E-12	2.937523525571473E-10	0.8790604697651174	100.0	100.0	0.6169790090731271	0.016595187396293468	0.09061968652328731	0.7491254372813593
V$SP1_03	3.5135960892147877	2.3316029347784766	1.041786776479768	4.233251020778594E-15	6.484672155776893E-13	0.8591408591408591	100.0	98.15668202764977	0.6281700475279637	0.016896041778975062	0.09132020352406113	0.8071928071928072
V$SP1_05	0.39755351681957185	0.19447850166997843	1.1934160282226296	1.2683536969531184E-5	1.0700125898498698E-4	0.9865	100.0	97.6958525345622	0.6310315664078215	0.0733988283312674	0.17316765743099874	0.878
V$SP1_08	2.483900643974241	1.663988739989571	1.022176583824388	9.648217664206434E-11	4.680189585278804E-9	0.8401598401598401	100.0	98.61751152073732	0.6253343781185136	0.026662633810615934	0.1084965919661408	0.7527472527472527
V$SP1_09	2.5137614678899083	1.5685113939035218	1.0970116226720559	4.8500936867417407E-14	6.273865633449705E-12	0.8910544727636182	100.0	98.15668202764977	0.6281700475279637	0.011151422224930544	0.07504327025586208	0.824087956021989
V$SP1_10	0.5090463048144741	0.28192420690269165	1.09961196311767	2.6441379314361963E-5	1.8954502816089736E-4	0.9265	100.0	98.15668202764977	0.6281700475279637	0.0951754012319227	0.1949387792297755	0.7475
V$SP1_12	0.7043558850787767	0.34167154260430593	1.2936089479083925	6.940164133410939E-9	1.9999354168606475E-7	0.8445	100.0	100.0	0.6169790090731271	0.01627095711576571	0.08943648854662152	0.5705
