leuk_attr apop_attr Hamming_Distance Percent_accuracy
is_000609 is_019840 0.625 37.5
is_000609 is_019866 0.5 50.0
is_000609 is_020018 0.625 37.5
is_000609 is_020108 0.375 62.5
is_000609 is_020127 0.375 62.5
is_000609 is_020254 0.5 50.0
is_000609 is_020290 0.25 75.0
is_000609 is_020409 0.375 62.5
is_000609 is_020432 0.625 37.5
is_000609 is_020517 0.75 25.0
is_000609 is_020540 0.0 100.0
is_000609 is_020633 0.375 62.5
is_000609 is_020672 0.5 50.0
is_000609 is_020714 0.5 50.0
is_000609 is_020752 0.125 87.5
is_000609 is_020802 0.625 37.5
is_000609 is_020830 0.625 37.5
is_000609 is_020885 0.125 87.5
is_000609 is_021162 0.25 75.0
is_000609 is_021226 0.25 75.0
is_000609 is_021369 0.75 25.0
is_000609 is_021420 0.125 87.5
is_000609 is_021473 0.625 37.5
is_000609 is_021491 0.875 12.5
is_000609 is_021537 0.125 87.5
is_000609 is_021596 0.625 37.5
is_000609 is_021653 0.5 50.0
is_000609 is_021826 0.875 12.5
is_000609 is_021841 0.25 75.0
is_000609 is_021887 0.5 50.0
is_000609 is_022166 0.625 37.5
is_000609 is_022178 0.5 50.0
is_000609 is_022200 0.375 62.5
is_000609 is_022218 0.5 50.0
is_000609 is_022297 0.5 50.0
is_000609 is_022473 0.625 37.5
is_000609 is_022532 0.625 37.5
is_000609 is_022575 0.375 62.5
is_000609 is_022670 0.375 62.5
is_000609 is_022838 0.5 50.0
is_000609 is_022918 0.25 75.0
is_000609 is_022919 0.375 62.5
is_000609 is_023034 0.5 50.0
is_000609 is_023044 0.375 62.5
is_000609 is_023276 0.625 37.5
is_000609 is_023400 0.25 75.0
is_000609 is_023403 0.375 62.5
is_000609 is_023419 0.25 75.0
is_000609 is_023476 0.375 62.5
is_000609 is_023499 0.375 62.5
is_000609 is_023522 0.25 75.0
is_000609 is_023709 0.5 50.0
is_000609 is_023768 0.5 50.0
is_000609 is_023873 0.125 87.5
is_000609 is_023879 0.375 62.5
is_000609 is_023888 0.375 62.5
is_000609 is_023906 0.625 37.5
is_000609 is_024029 0.5 50.0
is_000609 is_024068 0.5 50.0
is_000609 is_024245 0.5 50.0
is_000609 is_024495 0.125 87.5
is_000609 is_024522 0.375 62.5
is_000609 is_024555 0.375 62.5
is_000609 is_024561 0.5 50.0
is_000609 is_024590 0.625 37.5
is_000609 is_024696 0.375 62.5
is_000609 is_024833 0.5 50.0
is_000609 is_024879 0.5 50.0
is_000609 is_024956 0.375 62.5
is_000609 is_025098 0.375 62.5
is_000609 is_025160 0.5 50.0
is_000609 is_025182 0.625 37.5
is_000609 is_025209 0.375 62.5
is_000609 is_025325 0.25 75.0
is_000609 is_025453 0.5 50.0
is_000609 is_025489 0.875 12.5
is_000609 is_025510 0.625 37.5
is_000609 is_025574 0.25 75.0
is_000609 is_025575 0.5 50.0
is_000609 is_025657 0.25 75.0
is_000609 is_025721 0.25 75.0
is_000609 is_025756 0.625 37.5
is_000609 is_025773 0.25 75.0
is_000609 is_025781 0.5 50.0
is_000609 is_025979 0.75 25.0
is_000609 is_026059 0.625 37.5
is_000609 is_026092 0.625 37.5
is_000609 is_026198 0.125 87.5
is_000609 is_026202 0.25 75.0
is_000609 is_026230 0.625 37.5
is_000609 is_026351 0.0 100.0
is_000609 is_026456 0.375 62.5
is_000609 is_026540 0.125 87.5
is_000609 is_026555 0.375 62.5
is_000609 is_026592 0.375 62.5
is_000609 is_026652 0.375 62.5
is_000609 is_026790 0.0 100.0
is_000609 is_026839 0.375 62.5
is_000609 is_027202 0.25 75.0
is_000609 is_027271 0.125 87.5
is_000609 is_027280 0.25 75.0
is_000609 is_027323 0.25 75.0
is_000609 is_027370 0.625 37.5
is_000609 is_027447 0.375 62.5
is_000609 is_027520 0.625 37.5
is_000609 is_027533 0.5 50.0
