Gene_Symbol	MCF10A.mean	MDA_MB-231.mean	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB-231_1	N_MDA_MB-231_2	N_MDA_MB-231_3	N_MDA_MB-231_4
ALDH3A2	11.80479434	9.572905864	11.75477895	10.81633717	11.71101125	10.92542294	10.17141268	9.94143324	10.21060581	9.92610981
ABCD2	3.801065792	3.114386054	3.94847736	3.07932837	3.53924316	3.16518259	3.58122312	3.13561243	3.233543	3.02964234
ALDOA	13.90056401	14.04484815	13.56261533	14.20753361	13.50227421	14.1675108	14.08077307	13.95917098	14.02007115	13.92536348
ALDOC	8.759803123	6.942089557	7.70497657	8.77987418	7.75373775	8.68000906	7.67694947	6.70709256	7.66759544	6.53737768
AKR1B1	11.95240952	11.55859209	12.02900583	11.58718644	12.04007855	11.60319195	11.92749435	11.06528724	11.96138743	11.09598992
ALOX5AP	6.750225522	6.482037316	6.12153667	6.76247499	6.23749942	6.89665411	6.81209203	5.30239129	7.00982998	5.34821895
ALOX15B	4.484107619	9.104058427	6.11187255	5.24450539	5.978779	5.12772664	8.89510869	6.93052507	8.83499081	6.98364815
AMD1	10.42600879	11.19974189	10.07748068	10.85459201	10.10198817	10.90486358	10.81808451	11.12515897	10.8750012	11.21646498
AMFR	10.1836489	9.330339537	9.8573955	10.09686601	9.91284341	10.1363757	9.86789688	9.37264663	9.35472937	9.31225025
AMH	5.272167615	5.169389337	5.21603641	5.45747696	5.2497955	4.9652029	5.18933442	5.18604358	5.22427941	5.15208754
AMPD2	9.206496591	8.903215419	9.10549817	9.18456666	9.09756389	9.18457396	9.02371915	8.88918397	9.0177877	8.93112101
AMPD3	6.347122968	7.95478144	6.95567741	6.44160867	7.02336664	6.21081439	7.78936147	7.36122074	7.82547476	7.4100028
BIN1	11.05079449	9.937157963	10.98369053	10.70274872	10.97234443	10.63915637	10.2656752	10.11572987	10.22781682	10.09480803
AMT	5.274750034	3.799946404	5.32760419	4.05823673	5.06269112	4.33058524	4.36644464	4.09909359	4.38173147	3.66245926
ANG	6.116779843	4.997866785	5.90627066	5.61468255	5.95859567	5.70720255	5.51653243	4.87665582	5.66869375	4.41700032
ANGPT1	10.74054252	6.222339562	10.43385514	9.0607398	10.5180511	8.99096843	7.7460113	6.80156572	7.72458756	6.89547837
ANK1	5.412051536	7.248825983	5.9048506	5.7249475	5.96686584	6.00209216	6.80655295	6.97222816	6.68572519	7.03197235
ANK2	3.460913022	5.851625992	4.10442218	4.13017577	4.04150582	4.47831582	5.62355824	4.45851997	5.71334906	4.84548434
ANK3	8.065028736	3.517355326	7.59851747	7.08544399	7.55566333	7.07717147	5.28621031	4.82072655	5.22596025	4.98288789
SLC25A4	8.904077979	8.742685862	8.49436873	9.11842002	8.49411597	9.09899479	8.47528968	8.90100012	8.54453292	8.99137612
SLC25A5	11.43782561	12.51171995	11.69341057	11.63898852	11.72005635	11.63551632	12.24092731	12.35482183	12.25627043	12.37583067
SLC25A6	11.35093423	11.56477048	11.50545973	11.29756816	11.47367287	11.23893774	11.72697201	11.29589402	11.68409167	11.25278423
