ID	expression
MO000019070	1
MO000019071	1
MO000019078	1
MO000019081	1
MO000019083	1
MO000019107	1
MO000019113	1
MO000019140	1
MO000019148	1
MO000019160	1
MO000019163	1
MO000019174	1
MO000019220	1
MO000019229	1
MO000019245	1
MO000019253	1
MO000019259	1
MO000019268	1
MO000019279	1
MO000019294	1
MO000019309	1
MO000019310	1
MO000019311	1
MO000019312	1
MO000019315	1
MO000019316	1
MO000019318	1
MO000019319	1
MO000019320	1
MO000019321	1
MO000019327	1
MO000019333	1
MO000019339	1
MO000019341	1
MO000019345	1
MO000019347	1
MO000019348	1
MO000019352	1
MO000019354	1
MO000019356	1
MO000019359	1
MO000019362	1
MO000019363	1
MO000019365	1
MO000019368	1
MO000019372	1
MO000019376	1
MO000019381	1
MO000019400	1
MO000019401	1
MO000019418	1
MO000019423	1
MO000019425	1
MO000019428	1
MO000019434	1
MO000019436	1
MO000019437	1
MO000019438	1
MO000019439	1
MO000019440	1
MO000019441	1
MO000019442	1
MO000019447	1
MO000019451	1
MO000019453	1
MO000019454	1
MO000019455	1
MO000019469	1
MO000019475	1
MO000019480	1
MO000019481	1
MO000019482	1
MO000019491	1
MO000019505	1
MO000019506	1
MO000019507	1
MO000019521	1
MO000019524	1
MO000019525	1
MO000019544	1
MO000019545	1
MO000019546	1
MO000019547	1
MO000019548	1
MO000019549	1
MO000019558	1
MO000019559	1
MO000019609	1
MO000019613	1
MO000019614	1
MO000019615	1
MO000019616	1
MO000019619	1
MO000019622	1
MO000019673	1
MO000019674	1
MO000019676	1
MO000019696	1
MO000019721	1
MO000019739	1
MO000019759	1
MO000019762	1
MO000019765	1
MO000019766	1
MO000019768	1
MO000019772	1
MO000019779	1
MO000019780	1
MO000019789	1
MO000019792	1
MO000019814	1
MO000019834	1
MO000019838	1
MO000019867	1
MO000019869	1
MO000019874	1
MO000019876	1
MO000019879	1
MO000019883	1
MO000019948	1
MO000019949	1
MO000019964	1
MO000019973	1
MO000019975	1
MO000019985	1
MO000019986	1
MO000019987	1
MO000020066	1
MO000020073	1
MO000020080	1
MO000020084	1
MO000020086	1
MO000020091	1
MO000020092	1
MO000020093	1
MO000020094	1
MO000020117	1
MO000020130	1
MO000020139	1
MO000020146	1
MO000020150	1
MO000020163	1
MO000020169	1
MO000020170	1
MO000020196	1
MO000020220	1
MO000020223	1
MO000020239	1
MO000020269	1
MO000020270	1
MO000020276	1
MO000020307	1
MO000020309	1
MO000020319	1
MO000020321	1
MO000020322	1
MO000020323	1
MO000020324	1
MO000020329	1
MO000020337	1
MO000020339	1
MO000020349	1
MO000020360	1
MO000020362	1
MO000020395	1
MO000020396	1
MO000020397	1
MO000020399	1
MO000020402	1
MO000020406	1
MO000020414	1
MO000020435	1
MO000020436	1
MO000020439	1
MO000020454	1
MO000020487	1
MO000020491	1
MO000020492	1
MO000020493	1
MO000020494	1
MO000020495	1
MO000020496	1
MO000020497	1
MO000020517	1
MO000020519	1
MO000020527	1
MO000020530	1
MO000020561	1
MO000020563	1
MO000020586	1
MO000020587	1
MO000020600	1
MO000020609	1
MO000020610	1
MO000020613	1
MO000020615	1
MO000020627	1
MO000020628	1
MO000020634	1
MO000020635	1
MO000020651	1
MO000020652	1
MO000020656	1
MO000020665	1
MO000020671	1
MO000020672	1
MO000020680	1
MO000020691	1
MO000020697	1
MO000020701	1
MO000020715	1
MO000020730	1
MO000020731	1
MO000020739	1
MO000020760	1
MO000020768	1
MO000020784	1
MO000020808	1
MO000020832	1
MO000020842	1
MO000020862	1
MO000020868	1
MO000020874	1
MO000020905	1
MO000020908	1
MO000020909	1
MO000020911	1
MO000020914	1
MO000020923	1
MO000020924	1
MO000020942	1
MO000020945	1
MO000020946	1
MO000020947	1
MO000020949	1
MO000020951	1
MO000020952	1
MO000020953	1
MO000020954	1
MO000020957	1
MO000020967	1
MO000020975	1
MO000021019	1
MO000021021	1
MO000021023	1
MO000021036	1
MO000021041	1
MO000021052	1
MO000021089	1
MO000021097	1
MO000021116	1
MO000021128	1
MO000021133	1
MO000021138	1
MO000021148	1
MO000021151	1
MO000021157	1
MO000021169	1
MO000021172	1
MO000021178	1
MO000021179	1
MO000021185	1
MO000021242	1
MO000021251	1
MO000021258	1
MO000021259	1
MO000021272	1
MO000021274	1
MO000021284	1
MO000021287	1
MO000021293	1
MO000021305	1
MO000021311	1
MO000021316	1
MO000021335	1
MO000021343	1
MO000021345	1
MO000021373	1
MO000021383	1
MO000021389	1
MO000021394	1
MO000021414	1
MO000021423	1
MO000021425	1
MO000021449	1
MO000021454	1
MO000021478	1
MO000021495	1
MO000021498	1
MO000021519	1
MO000021523	1
MO000021529	1
MO000021531	1
MO000021560	1
MO000021561	1
MO000021564	1
MO000021568	1
MO000021575	1
MO000021576	1
MO000021595	1
MO000021608	1
MO000021625	1
MO000021643	1
MO000021654	1
MO000021670	1
MO000021700	1
