"","TF","symbol","gene"
"171","V.BETACATENIN_Q6","CTNNB1","LTBP3"
"172","V.BETACATENIN_Q6","CTNNB1","PKIA"
"173","V.BETACATENIN_Q6","CTNNB1","FBLN1"
"174","V.BETACATENIN_Q6","CTNNB1","SHC1"
"175","V.BETACATENIN_Q6","CTNNB1","CABLES2"
"176","V.BETACATENIN_Q6","CTNNB1","HMGB2"
"177","V.BETACATENIN_Q6","CTNNB1","SH3YL1"
"178","V.BETACATENIN_Q6","CTNNB1","CXXC5"
"179","V.BETACATENIN_Q6","CTNNB1","ICAM1"
"180","V.BETACATENIN_Q6","CTNNB1","BGN"
"181","V.BETACATENIN_Q6","CTNNB1","BUB1"
"182","V.BETACATENIN_Q6","CTNNB1","SMAD4"
"183","V.BETACATENIN_Q6","CTNNB1","BACE1"
"184","V.BETACATENIN_Q6","CTNNB1","PTPRA"
"185","V.BETACATENIN_Q6","CTNNB1","MEX3B"
"186","V.BETACATENIN_Q6","CTNNB1","ARID3A"
"187","V.BETACATENIN_Q6","CTNNB1","TPX2"
"188","V.BETACATENIN_Q6","CTNNB1","IL7R"
"189","V.BETACATENIN_Q6","CTNNB1","VIM"
"190","V.BETACATENIN_Q6","CTNNB1","KAT2A"
"191","V.BETACATENIN_Q6","CTNNB1","SERPINA1"
"192","V.BETACATENIN_Q6","CTNNB1","TP53"
"193","V.BETACATENIN_Q6","CTNNB1","TNIK"
"194","V.BETACATENIN_Q6","CTNNB1","TGFB1"
"195","V.BETACATENIN_Q6","CTNNB1","PAG1"
"196","V.BETACATENIN_Q6","CTNNB1","FN1"
"197","V.BETACATENIN_Q6","CTNNB1","HMGA2"
"198","V.BETACATENIN_Q6","CTNNB1","NDC80"
"199","V.BETACATENIN_Q6","CTNNB1","COL13A1"
"200","V.BETACATENIN_Q6","CTNNB1","EGFR"
"201","V.BETACATENIN_Q6","CTNNB1","MAD2L2"
"202","V.BETACATENIN_Q6","CTNNB1","STX6"
"203","V.BETACATENIN_Q6","CTNNB1","S100A2"
"204","V.BETACATENIN_Q6","CTNNB1","SELPLG"
"205","V.BETACATENIN_Q6","CTNNB1","KLHL12"
"206","V.BETACATENIN_Q6","CTNNB1","IGF1R"
"207","V.BETACATENIN_Q6","CTNNB1","MAPT"
"208","V.BETACATENIN_Q6","CTNNB1","TGFA"
"209","V.BETACATENIN_Q6","CTNNB1","TRIOBP"
"210","V.BETACATENIN_Q6","CTNNB1","AURKA"
