ID	Hits	Hit names
MO000038398	[]	[]
MO000038411	[]	[]
MO000038428	[]	[]
MO000038439	[]	[]
MO000038456	[]	[]
MO000038458	[]	[]
MO000038464	[]	[]
MO000038471	[]	[]
MO000038473	[]	[]
MO000038476	[]	[]
MO000038477	[]	[]
MO000038481	[]	[]
MO000038496	[]	[]
MO000038508	[]	[]
MO000038509	[]	[]
MO000038533	[]	[]
MO000038538	[]	[]
MO000038551	[]	[]
MO000038552	[]	[]
MO000038553	[]	[]
MO000038558	[]	[]
MO000038560	[]	[]
MO000038564	[]	[]
MO000038574	[]	[]
MO000038576	[]	[]
MO000038577	[]	[]
MO000038581	[]	[]
MO000038582	[]	[]
MO000038584	[]	[]
MO000038586	[]	[]
MO000038589	[]	[]
MO000038598	[]	[]
MO000038599	[]	[]
MO000038603	[]	[]
MO000038604	[]	[]
MO000038612	[]	[]
MO000038623	[]	[]
MO000038630	[]	[]
MO000038636	[]	[]
MO000038637	[]	[]
MO000038638	[]	[]
MO000038641	[]	[]
MO000038645	[]	[]
MO000038647	[]	[]
MO000038648	[]	[]
MO000038649	[]	[]
MO000038652	[]	[]
MO000038653	[]	[]
MO000038654	[]	[]
MO000038655	[]	[]
MO000038656	[]	[]
MO000038657	[]	[]
MO000038664	[]	[]
MO000038665	[]	[]
MO000038666	[]	[]
MO000038667	[]	[]
MO000038668	[]	[]
MO000038670	[]	[]
MO000038684	[]	[]
MO000038685	[]	[]
MO000038707	[]	[]
MO000038712	[]	[]
MO000038720	[]	[]
MO000038721	[]	[]
MO000038724	[]	[]
MO000038731	[]	[]
MO000038732	[]	[]
MO000038753	[]	[]
MO000038766	[]	[]
MO000038769	[]	[]
MO000038771	[]	[]
MO000038776	[]	[]
MO000038779	[]	[]
MO000038780	[]	[]
MO000038781	[]	[]
MO000038782	[]	[]
MO000038786	[]	[]
MO000038789	[]	[]
MO000038790	[]	[]
MO000038791	[]	[]
