ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	P-value
V$CART1_03	0.8848484848484849	0.3854210305823209	2.2957971014492755	1.8760599151600113E-7
V$GKLF_05	1.7212121212121212	0.9844993715961458	1.7483120567375887	2.0705558709687964E-7
V$WT1_01	2.715151515151515	1.763720150816925	1.53944576405384	2.188070556697735E-7
V$EZI_07	2.4484848484848487	1.5542521994134897	1.5753459119496858	2.487407084735166E-7
V$E2F4_11	2.2303030303030305	1.3824884792626728	1.6132525252525254	2.554326004221704E-7
V$OCTAMER_02	0.9333333333333333	0.42312526183493926	2.205808580858086	2.7190844153539355E-7
V$ZAC_01	2.9212121212121214	1.9438625890238794	1.502787356321839	3.295891064652471E-7
V$POU6F1_07	1.1151515151515152	0.5529953917050692	2.0165656565656565	3.6596338689536457E-7
V$NKX63_01	1.0545454545454545	0.5111018014243821	2.0632786885245897	3.751273268879355E-7
V$POU4F3_02	1.5151515151515151	0.8462505236698785	1.7904290429042904	4.2591996376817663E-7
V$SHOX2_01	0.8727272727272727	0.38961038961038963	2.2399999999999998	4.3367938565485324E-7
V$ZNF404_03	1.3818181818181818	0.7498952660242982	1.84268156424581	4.7560108546913064E-7
V$BCL6B_04	1.2484848484848485	0.6535400083787181	1.9103418803418803	4.943210768805052E-7
V$HOXB4_01	0.8	0.34352744030163385	2.3287804878048783	4.953302976875423E-7
V$E2F4_12	2.327272727272727	1.478843736908253	1.5737110481586403	5.064392957953455E-7
V$ZFP575_01	1.9636363636363636	1.193967322999581	1.6446315789473684	5.339004663711751E-7
V$ZIC2_04	1.9515151515151516	1.1855886049434436	1.6460306242638398	5.555206058005861E-7
V$SP2_09	1.987878787878788	1.2149141181399246	1.6362298850574715	5.765060778220811E-7
V$EMX2_01	1.0666666666666667	0.5278592375366569	2.0207407407407407	6.065428602035389E-7
V$PMX2B_01	1.0303030303030303	0.5027230833682447	2.049444444444444	6.167399683917791E-7
V$ZNF257_04	1.9636363636363636	1.1981566820276497	1.638881118881119	6.246616858621992E-7
V$KLF14_03	2.2181818181818183	1.3992459153749477	1.5852694610778444	6.445000150622022E-7
