ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
V$REST_14	0.3636363636363636	0.20527859237536658	1.7714285714285711	0.8875	0.010857170691556553
V$CEBPA_08	0.4	0.22622538751571009	1.7681481481481482	0.9464	0.007978433240214257
V$XFD3_01	0.30303030303030304	0.17176372015081692	1.764227642276423	0.8828	0.01954896001388937
V$ZNF214_05	0.30303030303030304	0.17176372015081692	1.764227642276423	0.7474	0.01954896001388937
V$ZNF484_03	0.30303030303030304	0.17176372015081692	1.764227642276423	0.7246	0.01954896001388937
V$ZNF616_03	1.0787878787878786	0.611646418098031	1.7637442922374427	0.7718	2.65159408132897E-5
V$ZNF708_02	0.33939393939393936	0.19271051529116046	1.7611594202898548	0.8742	0.014267385430826389
V$SHOX_01	0.9212121212121213	0.5236698785085881	1.7591466666666669	0.9927	1.0348987085755519E-4
V$ZNF543_02	0.37575757575757573	0.213657310431504	1.7586928104575161	0.8398	0.010454408571212524
V$GCNF_Q3	0.20606060606060606	0.11730205278592376	1.7566666666666666	0.9587	0.049843238394267575
V$ZNF345_03	0.20606060606060606	0.11730205278592376	1.7566666666666666	0.8518	0.049843238394267575
V$ZNF647_07	0.7272727272727272	0.4147465437788018	1.7535353535353535	0.9459	5.474781974432765E-4
V$PNR_01	0.5212121212121212	0.29744449099287806	1.7523004694835682	0.8043	0.0031015160800385183
V$HOXD3_01	1.6	0.9132802681189778	1.7519266055045872	0.8423	4.952478293193496E-7
V$OCT1_03	1.6	0.9132802681189778	1.7519266055045872	0.9762	4.952478293193496E-7
V$OCTAMER_02	2.4	1.3699204021784668	1.751926605504587	0.8011	9.103742699917868E-10
V$HOXD8_01	1.612121212121212	0.9216589861751152	1.7491515151515151	0.804	4.791779091933533E-7
V$ZNF880_03	1.296969696969697	0.7415165479681609	1.7490772128060263	0.7036	5.81934642746229E-6
V$RFX2_03	0.703030303030303	0.4021784666945957	1.7480555555555555	0.7438	7.076762432607505E-4
V$E2F1_Q6_01	0.14545454545454545	0.0837871805613741	1.736	0.9319	0.09530372573321533
V$ELK1FOXI1_01	0.4	0.2304147465437788	1.736	0.7605	0.009671150243216322
V$FOXK1_03	0.4	0.2304147465437788	1.736	0.8665	0.009671150243216322
V$JUNB_01	0.4	0.2304147465437788	1.736	0.9415	0.009671150243216322
V$RBPJK_Q4	0.5818181818181818	0.3351487222454964	1.736	0.9459	0.0021376110247819935
V$ZNF492_02	0.14545454545454545	0.0837871805613741	1.736	0.8726	0.09530372573321533
V$ZNF729_03	0.14545454545454545	0.0837871805613741	1.736	0.8726	0.09530372573321533
V$ZNF730_02	0.4	0.2304147465437788	1.736	0.8587	0.009671150243216322
V$EGR4_04	0.21818181818181817	0.12568077084206117	1.7359999999999998	0.7824	0.047649748114105925
V$HNF3A_01	0.21818181818181817	0.12568077084206117	1.7359999999999998	0.9471	0.047649748114105925
